source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'04781b179',55337.72940170,9.903,0.025,20.870,9.233,0.020,6.008,6.110,0.020,2.266,3.485,0.038,0.824,1.0,83,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10277a103',55519.44894680,9.928,0.021,20.860,9.196,0.019,6.030,,,,,,,1.0,70,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'04773b179',55337.46479370,9.930,0.024,20.860,9.268,0.019,6.239,6.120,0.018,2.232,3.488,0.038,0.816,1.0,6,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'04777b179',55337.59709770,9.953,0.032,20.950,9.249,0.025,6.081,6.130,0.017,2.224,3.525,0.033,0.793,1.0,46,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10273a104',55519.31676990,9.862,0.022,21.110,9.168,0.018,6.240,,,,,,,1.0,94,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10274a128',55519.38285840,9.883,0.023,20.950,9.190,0.021,6.060,,,,,,,1.0,89,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10269a104',55519.18446570,9.863,0.027,21.100,9.163,0.027,6.298,,,,,,,1.0,65,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10270a127',55519.25055410,9.896,0.021,20.890,9.166,0.025,6.260,,,,,,,1.0,83,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10266b127',55519.11824990,9.908,0.024,20.860,9.192,0.018,6.050,,,,,,,1.0,46,b'0000',0.193685,50.941664
b'3383m258_ac51-024981',338.9425065,-26.0504361,b'22h35m46.20s',b'-26d03m01.57s',1,0,b'0000',b'10266b128',55519.11837720,9.776,0.024,22.730,9.193,0.024,6.042,,,,,,,1.0,46,b'0000',0.193685,50.941664
