source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06456a171',55393.09795560,10.994,0.022,1.982,10.063,0.023,2.133,7.672,0.025,1.630,5.277,0.068,1.461,0.5,21,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'11789a081',55569.44280920,11.052,0.024,2.072,10.168,0.024,2.836,,,,,,,0.5,74,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06460a171',55393.23025930,11.006,0.027,1.960,10.077,0.027,2.123,7.701,0.027,1.572,5.317,0.068,1.484,1.0,0,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06457b196',55393.16404380,10.992,0.029,1.989,10.097,0.024,2.168,7.717,0.027,1.580,5.341,0.056,1.512,1.0,7,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06464a172',55393.36256300,10.976,0.023,2.061,10.039,0.023,2.232,7.688,0.031,1.587,5.018,0.049,2.378,1.0,-12,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06461b196',55393.29634750,10.975,0.024,2.069,10.036,0.017,2.252,7.694,0.027,1.577,5.338,0.056,1.508,1.0,-10,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06472a172',55393.62717050,10.972,0.025,2.086,10.017,0.023,2.422,7.765,0.031,1.774,5.279,0.056,1.461,0.5,58,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'06468a172',55393.49486670,10.970,0.031,2.099,10.036,0.025,2.253,7.708,0.028,1.572,5.134,0.075,1.703,1.0,15,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'11762a105',55568.58314890,11.053,0.026,2.079,10.070,0.022,2.124,,,,,,,0.5,30,b'0000',0.100257,125.820896
b'0317m182_ac51-055664',32.1456037,-17.6596563,b'02h08m34.94s',b'-17d39m34.76s',1,0,b'hh00',b'11758b105',55568.45084450,11.010,0.022,1.957,10.134,0.019,2.422,,,,,,,0.5,71,b'0000',0.100257,125.820896
