ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
95.8963853,64.7600958,b'06h23m35.13s',b'64d45m36.34s',0.0460,0.0547,-0.0242,11.924,0.022,48.5,1.947,10.940,0.023,47.2,1.175,1,0,b'0000',b'AA',5,58754.04283895,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.129127,3.612154
95.8963826,64.7601025,b'06h23m35.13s',b'64d45m36.37s',0.0388,0.0485,-0.0156,11.803,0.021,51.7,1.428,10.844,0.023,47.6,0.818,1,0,b'0000',b'AA',10,58180.08029093,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.153063,1.494291
95.8963195,64.7600961,b'06h23m35.12s',b'64d45m36.35s',0.0623,0.0667,-0.0327,11.977,0.053,20.6,0.588,10.962,0.023,46.3,1.417,1,0,b'0000',b'AA',10,58909.24656756,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.159738,324.449668
95.8963343,64.7601006,b'06h23m35.12s',b'64d45m36.36s',0.0425,0.0504,-0.0129,11.826,0.023,48.0,1.788,10.889,0.025,44.1,1.615,1,0,b'0000',b'AA',5,57456.10232765,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.162115,334.360255
95.8963389,64.7601042,b'06h23m35.12s',b'64d45m36.38s',0.0427,0.0455,0.0079,11.937,0.026,41.4,1.771,10.839,0.022,48.6,0.859,1,0,b'0000',b'AA',10,56929.07427597,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.171185,338.371543
95.8963485,64.7601060,b'06h23m35.12s',b'64d45m36.38s',0.0411,0.0412,-0.0139,11.790,0.023,46.9,2.272,10.799,0.022,49.5,1.880,1,0,b'0000',b'AA',10,58179.88406177,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.172505,343.722323
95.8963766,64.7601081,b'06h23m35.13s',b'64d45m36.39s',0.0425,0.0438,-0.0131,11.886,0.024,45.0,1.003,10.871,0.023,47.6,1.511,1,0,b'0000',b'AA',10,57096.57078193,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.173242,358.27356
95.8963975,64.7601080,b'06h23m35.14s',b'64d45m36.39s',0.0430,0.0413,-0.0146,11.889,0.020,55.6,0.609,10.888,0.022,49.9,1.344,1,0,b'0000',b'AA',10,57097.42445638,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.174871,8.836563
95.8963366,64.7601051,b'06h23m35.12s',b'64d45m36.38s',0.0452,0.0497,0.0079,12.069,0.026,41.9,3.326,11.022,0.023,46.8,1.397,1,0,b'0000',b'AA',5,58908.39620399,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.175491,337.689888
95.8963427,64.7601134,b'06h23m35.12s',b'64d45m36.41s',0.0423,0.0508,-0.0126,12.036,0.026,42.1,1.456,10.992,0.022,48.9,1.300,1,0,b'0000',b'AA',10,58908.00387544,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.200585,343.413968
95.8963771,64.7601174,b'06h23m35.13s',b'64d45m36.42s',0.0435,0.0434,-0.0145,11.794,0.022,49.6,1.424,10.819,0.022,50.1,1.391,1,0,b'0000',b'AA',10,58180.01483877,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.206686,358.76585
95.8964074,64.7601164,b'06h23m35.14s',b'64d45m36.42s',0.0399,0.0379,-0.0176,11.799,0.019,56.6,1.091,10.858,0.019,58.2,1.227,1,0,b'0000',b'AA',10,57456.29893800,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.207347,11.703632
95.8962880,64.7601028,b'06h23m35.11s',b'64d45m36.37s',0.0385,0.0390,-0.0145,11.789,0.021,51.5,2.902,10.872,0.019,57.0,2.057,1,0,b'0000',b'AA',10,57463.70506118,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.209004,317.49225
95.8963780,64.7601187,b'06h23m35.13s',b'64d45m36.43s',0.0455,0.0418,-0.0169,12.051,0.021,50.7,1.864,11.003,0.022,49.4,1.914,1,0,b'0000',b'AA',10,58386.62436015,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.211341,359.167642
95.8963925,64.7601185,b'06h23m35.13s',b'64d45m36.43s',0.0441,0.0459,-0.0135,11.833,0.021,52.5,1.779,10.816,0.029,36.9,0.543,1,0,b'0000',b'AA',10,57821.91187279,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.211475,5.206018
95.8964018,64.7601180,b'06h23m35.14s',b'64d45m36.42s',0.0403,0.0391,-0.0141,11.816,0.019,58.2,2.025,10.856,0.020,53.1,1.139,1,0,b'0000',b'AA',10,57456.49554834,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.211475,9.105414
95.8963867,64.7601192,b'06h23m35.13s',b'64d45m36.43s',0.0411,0.0408,-0.0172,11.792,0.023,48.2,2.600,10.830,0.021,51.2,1.717,1,0,b'0000',b'AA',10,56737.72037360,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.213365,2.762901
95.8963697,64.7601194,b'06h23m35.13s',b'64d45m36.43s',0.0431,0.0444,0.0132,11.839,0.025,44.0,4.390,10.876,0.021,51.3,2.375,1,0,b'0000',b'AA',5,57097.29317091,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.214425,355.771268
95.8963534,64.7601190,b'06h23m35.12s',b'64d45m36.43s',0.0461,0.0413,-0.0123,11.922,0.025,43.3,1.246,10.855,0.021,53.0,0.708,1,0,b'0000',b'AA',10,57097.68715459,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.21629,349.117915
95.8963943,64.7601198,b'06h23m35.13s',b'64d45m36.43s',0.0442,0.0432,-0.0173,11.796,0.021,52.4,1.769,10.829,0.023,47.7,0.461,1,0,b'0000',b'AA',10,58180.40755159,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.216399,5.822177
95.8963361,64.7601172,b'06h23m35.12s',b'64d45m36.42s',0.0417,0.0398,-0.0180,11.814,0.020,55.5,1.596,10.836,0.020,55.0,1.907,1,0,b'0000',b'AA',10,57821.84642080,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.216661,341.878724
95.8963831,64.7601214,b'06h23m35.13s',b'64d45m36.44s',0.0394,0.0407,-0.0121,11.875,0.020,53.6,2.753,10.873,0.020,53.7,0.782,1,0,b'0000',b'AA',10,57097.09605170,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.221085,1.233318
95.8962872,64.7601071,b'06h23m35.11s',b'64d45m36.39s',0.0394,0.0370,0.0060,11.816,0.022,49.1,3.834,10.814,0.021,52.7,1.735,1,0,b'0000',b'AA',10,57456.16790689,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.221469,319.964928
95.8963865,64.7601216,b'06h23m35.13s',b'64d45m36.44s',0.0514,0.0505,-0.0145,11.971,0.026,41.8,1.940,10.925,0.025,44.1,1.000,1,0,b'0000',b'AA',10,58543.77756676,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.22198,2.576255
95.8963686,64.7601215,b'06h23m35.13s',b'64d45m36.44s',0.0424,0.0423,-0.0194,11.759,0.019,56.7,7.200,10.850,0.023,47.1,3.851,1,0,b'0000',b'AA',5,58022.47223604,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.222086,355.480643
95.8963567,64.7601218,b'06h23m35.13s',b'64d45m36.44s',0.0405,0.0426,-0.0104,11.917,0.022,50.0,2.273,10.939,0.023,47.7,1.222,1,0,b'0000',b'AA',10,58544.36652226,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.225338,350.866945
95.8964026,64.7601219,b'06h23m35.14s',b'64d45m36.44s',0.0490,0.0469,-0.0227,11.747,0.036,30.3,0.606,10.795,0.020,55.1,0.866,1,0,b'0000',b'AA',10,56738.64217199,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.225527,8.849002
95.8963246,64.7601183,b'06h23m35.12s',b'64d45m36.43s',0.0390,0.0413,-0.0160,11.779,0.021,51.8,1.663,10.840,0.019,55.7,1.107,1,0,b'0000',b'AA',10,57456.62657935,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.226446,337.942298
95.8963282,64.7601200,b'06h23m35.12s',b'64d45m36.43s',0.0420,0.0376,-0.0163,11.778,0.020,55.3,0.632,10.791,0.020,54.9,0.885,1,0,b'0000',b'AA',10,56738.04954190,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.23017,339.789672
95.8963188,64.7601188,b'06h23m35.12s',b'64d45m36.43s',0.0418,0.0433,-0.0194,11.864,0.021,52.7,0.834,10.861,0.022,49.3,1.226,1,0,b'0000',b'AA',10,57096.83335288,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.231582,336.067713
95.8963686,64.7601246,b'06h23m35.13s',b'64d45m36.45s',0.0446,0.0434,-0.0160,11.980,0.020,54.0,1.165,11.001,0.024,44.8,0.794,1,0,b'0000',b'AA',10,58908.98488785,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.233208,355.696681
95.8963851,64.7601254,b'06h23m35.13s',b'64d45m36.45s',0.0405,0.0445,-0.0175,11.879,0.021,52.2,0.727,10.883,0.027,40.8,0.705,1,0,b'0000',b'AA',10,57096.89905929,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.235566,1.904502
95.8962979,64.7601153,b'06h23m35.11s',b'64d45m36.42s',0.0410,0.0396,-0.0118,11.747,0.019,56.1,0.919,10.806,0.021,51.2,0.550,1,0,b'0000',b'AA',10,56738.11537551,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.235626,327.663771
95.8962846,64.7601115,b'06h23m35.11s',b'64d45m36.40s',0.0402,0.0402,-0.0063,11.793,0.022,48.4,1.296,10.861,0.020,54.4,0.900,1,0,b'0000',b'AA',10,57456.62670671,943165101351023671,11.869,0.023,10.917,0.021,7.964,0.019,5.446,0.034,518222277,15.215,0.0500,14.318,0.0485,13.407,0.0370,0.236267,321.695097
