source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08957b064',55475.82667530,9.296,0.025,2.392,8.226,0.016,1.408,,,,,,,1.0,106,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08988a040',55476.81876310,9.181,0.022,1.932,8.201,0.020,1.512,,,,,,,1.0,106,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03171a157',55284.44826640,9.157,0.026,2.103,8.208,0.019,1.473,5.968,0.015,3.569,3.968,0.028,1.010,1.0,99,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03163a182',55284.18365830,9.200,0.022,1.865,8.216,0.022,1.433,5.940,0.021,3.340,3.944,0.041,1.031,1.0,108,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03166a238',55284.31596240,9.210,0.025,1.855,8.209,0.021,1.465,5.942,0.013,3.349,3.966,0.029,1.009,1.0,109,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03169a214',55284.38217800,9.192,0.024,1.886,8.258,0.021,1.463,5.931,0.016,3.318,3.938,0.022,1.045,1.0,104,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08984a040',55476.68645900,9.193,0.023,1.883,8.211,0.018,1.457,,,,,,,1.0,94,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08957b066',55475.82680270,9.197,0.027,1.872,8.176,0.021,1.756,,,,,,,1.0,107,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03173a168',55284.51448210,9.201,0.023,1.863,8.214,0.020,1.441,5.919,0.016,3.330,3.955,0.022,1.014,1.0,93,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'03165a214',55284.24987400,9.258,0.025,2.024,8.217,0.022,1.431,5.942,0.017,3.350,3.943,0.029,1.032,1.0,111,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08953b065',55475.69449870,9.214,0.019,1.856,8.232,0.022,1.402,,,,,,,1.0,95,b'0000',0.168207,101.60522
b'1219p757_ac51-047422',122.7443598,76.0451306,b'08h10m58.65s',b'76d02m42.47s',1,0,b'0000',b'08956a040',55475.76058700,9.194,0.022,1.878,8.214,0.018,1.441,,,,,,,1.0,101,b'0000',0.168207,101.60522
