ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
122.7441973,76.0451116,b'08h10m58.61s',b'76d02m42.40s',0.0275,0.0304,-0.0139,9.301,0.019,58.0,3.370,8.266,0.015,72.9,4.598,1,0,b'0000',b'AA',10,57105.17513811,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.104953,166.948385
122.7442932,76.0451155,b'08h10m58.63s',b'76d02m42.42s',0.0269,0.0277,-0.0100,9.321,0.017,64.5,1.746,8.288,0.014,77.4,1.144,1,0,b'0000',b'AA',10,57106.09426388,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.138618,129.509652
122.7443271,76.0451492,b'08h10m58.64s',b'76d02m42.54s',0.0260,0.0261,-0.0094,9.466,0.016,67.9,1.433,8.389,0.014,78.0,15.590,1,0,b'0000',b'AA',10,58399.05559113,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.140345,76.350704
122.7442874,76.0451100,b'08h10m58.63s',b'76d02m42.40s',0.0249,0.0214,-0.0086,9.394,0.015,70.1,2.219,8.363,0.011,95.1,3.608,1,0,b'0000',b'AA',10,57467.37750225,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.148489,136.658157
122.7443204,76.0451180,b'08h10m58.64s',b'76d02m42.42s',0.0301,0.0282,-0.0109,9.498,0.020,53.6,4.129,8.465,0.014,80.1,3.838,1,0,b'0000',b'AA',10,58920.62842181,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.152723,121.239262
122.7443490,76.0451331,b'08h10m58.64s',b'76d02m42.48s',0.0266,0.0260,-0.0054,9.465,0.017,62.4,2.135,8.406,0.013,81.7,1.544,1,0,b'0000',b'AA',10,57667.22107780,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.157384,99.081455
122.7443348,76.0451214,b'08h10m58.64s',b'76d02m42.44s',0.0278,0.0251,-0.0052,9.274,0.015,74.2,1.306,8.261,0.015,73.0,1.553,1,0,b'0000',b'AA',10,56746.34764248,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.157954,115.079972
122.7443141,76.0451108,b'08h10m58.64s',b'76d02m42.40s',0.0249,0.0253,-0.0116,9.505,0.014,76.9,0.855,8.433,0.013,84.5,1.422,1,0,b'0000',b'AA',10,58189.31145796,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.163392,130.039194
122.7443023,76.0451075,b'08h10m58.63s',b'76d02m42.39s',0.0254,0.0219,-0.0051,9.298,0.017,65.0,1.104,8.293,0.012,88.9,1.781,1,0,b'0000',b'AA',10,57106.09439119,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.163969,135.529101
122.7443304,76.0451122,b'08h10m58.64s',b'76d02m42.40s',0.0277,0.0240,-0.0054,9.309,0.015,70.7,1.406,8.278,0.016,68.0,0.906,1,0,b'0000',b'AA',10,57105.70040741,1219175701351047422,9.211,0.023,8.234,0.020,5.928,0.015,3.964,0.021,1295367017,12.976,0.0222,12.088,0.0222,10.917,0.0213,0.171488,125.704212
