source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12454a113',55591.43715780,11.716,0.032,3.360,10.654,0.027,1.439,,,,,,,1.0,0,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12456a126',55591.50337360,11.608,0.028,2.468,10.717,0.030,1.716,,,,,,,1.0,18,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12446a120',55591.17267670,11.625,0.024,2.519,10.718,0.030,1.721,,,,,,,1.0,6,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12449b159',55591.30498090,11.593,0.027,2.455,10.711,0.027,1.667,,,,,,,1.0,-11,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12441b158',55591.04037240,11.628,0.036,2.528,10.712,0.027,1.675,,,,,,,1.0,40,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'12441b159',55591.04049970,11.676,0.030,2.871,10.655,0.029,1.439,,,,,,,0.5,39,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06825a120',55405.29588170,11.629,0.022,2.533,10.667,0.024,1.452,7.843,0.034,1.046,5.174,0.056,0.930,1.0,100,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06829a063',55405.42818550,11.626,0.027,2.520,10.670,0.024,1.458,7.861,0.036,1.121,5.248,0.055,0.997,1.0,79,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06817a120',55405.03127410,11.617,0.029,2.489,10.640,0.026,1.454,7.750,0.033,1.068,5.114,0.077,0.965,1.0,22,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06821a089',55405.16357790,11.626,0.030,2.523,10.651,0.027,1.440,7.814,0.033,0.974,5.175,0.056,0.930,1.0,64,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06813a120',55404.89897030,11.679,0.033,2.905,10.634,0.027,1.468,7.821,0.037,0.985,5.197,0.055,0.939,1.0,-11,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06814a144',55404.96518590,11.599,0.027,2.457,10.650,0.025,1.440,7.821,0.033,0.985,5.164,0.080,0.930,1.0,3,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06809a121',55404.76679320,11.620,0.027,2.498,10.704,0.036,1.615,7.768,0.029,1.006,5.174,0.070,0.930,1.0,-3,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'06810a144',55404.83288150,11.645,0.027,2.624,10.613,0.026,1.565,7.812,0.030,0.972,5.157,0.073,0.931,1.0,-13,b'0000',0.046206,17.981807
b'2144m197_ac51-049572',214.9572142,-19.4736778,b'14h19m49.73s',b'-19d28m25.24s',1,0,b'0000',b'01365b162',55224.72629520,11.534,0.025,2.719,10.573,0.022,1.950,7.771,0.031,0.997,5.145,0.066,0.936,1.0,88,b'0000',0.046206,17.981807
