ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
304.5053574,-55.6586921,b'20h18m01.29s',b'-55d39m31.29s',0.0394,0.0354,-0.0103,11.479,0.018,60.3,13.730,10.368,0.019,58.2,3.025,1,0,b'0000',b'AA',10,58949.95652497,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.53836,198.154986
304.5054155,-55.6587041,b'20h18m01.30s',b'-55d39m31.33s',0.0357,0.0388,-0.0111,11.441,0.022,50.1,16.880,10.351,0.019,56.8,3.065,1,0,b'0000',b'AA',10,58950.67598424,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.556989,185.12505
304.5054208,-55.6587050,b'20h18m01.30s',b'-55d39m31.34s',0.0355,0.0329,-0.0107,11.356,0.017,63.9,15.620,10.179,0.017,62.9,2.359,1,0,b'0000',b'AA',10,57854.42278760,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.559359,183.997231
304.5053925,-55.6587067,b'20h18m01.29s',b'-55d39m31.34s',0.0376,0.0331,-0.0145,11.408,0.018,61.5,13.660,10.246,0.017,64.8,2.394,1,0,b'0000',b'AA',10,57490.21284630,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.572306,189.703743
304.5054084,-55.6587087,b'20h18m01.30s',b'-55d39m31.35s',0.0351,0.0310,-0.0036,11.340,0.018,59.2,15.260,10.188,0.017,65.1,2.156,1,0,b'0000',b'AA',10,57126.54209727,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.574917,186.408975
304.5053437,-55.6587037,b'20h18m01.28s',b'-55d39m31.33s',0.0360,0.0354,-0.0041,11.385,0.021,51.3,12.760,10.175,0.017,62.9,1.015,1,0,b'0000',b'AA',10,57862.34627646,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.586862,199.465824
304.5053598,-55.6587078,b'20h18m01.29s',b'-55d39m31.35s',0.0385,0.0330,-0.0121,11.410,0.017,62.9,14.340,10.218,0.018,60.1,2.340,1,0,b'0000',b'AA',10,57123.78483937,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.590968,195.998019
304.5054244,-55.6587143,b'20h18m01.30s',b'-55d39m31.37s',0.0376,0.0372,-0.0025,11.400,0.019,56.3,13.940,10.174,0.018,60.8,1.871,1,0,b'0000',b'AA',10,57855.27404302,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.592325,183.065965
304.5054090,-55.6587170,b'20h18m01.30s',b'-55d39m31.38s',0.0374,0.0318,-0.0128,11.401,0.018,61.7,12.620,10.215,0.017,65.3,1.533,1,0,b'0000',b'AA',10,57123.65355384,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.604489,185.97806
304.5054613,-55.6587178,b'20h18m01.31s',b'-55d39m31.38s',0.0376,0.0354,0.0092,11.471,0.020,54.5,15.680,10.394,0.018,61.2,3.333,1,0,b'0000',b'AA',5,58950.80676030,3039056101351048102,11.127,0.023,9.871,0.020,6.805,0.016,4.417,0.028,1144407858,14.266,0.0788,13.484,0.0991,12.834,0.0659,0.605629,175.90417
