source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'02392a023',55258.65636980,12.558,0.030,2.085,11.390,0.028,1.418,8.497,0.048,0.997,6.287,0.117,1.139,1.0,88,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'02388a024',55258.52406580,12.604,0.029,1.582,11.380,0.036,1.474,8.519,0.040,1.018,6.443,0.133,1.050,1.0,62,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07879a213',55440.16774910,12.754,0.041,1.753,11.448,0.035,1.335,,,,,,,1.0,100,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07869a233',55439.83692490,12.691,0.037,1.386,11.450,0.030,1.340,,,,,,,1.0,49,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'02513b043',55262.69233650,12.627,0.031,1.444,11.396,0.030,1.389,8.503,0.041,1.000,6.798,0.211,1.189,1.0,96,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'02396a023',55258.78867390,12.662,0.031,1.354,11.406,0.028,1.351,8.512,0.041,1.009,6.420,0.134,1.056,1.0,121,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07889a217',55440.49844590,12.727,0.040,1.549,11.493,0.034,1.551,,,,,,,1.0,85,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07885a233',55440.36614170,12.695,0.035,1.399,11.516,0.035,1.752,,,,,,,1.0,115,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07827a188',55438.44804930,12.741,0.041,1.650,11.507,0.041,1.663,,,,,,,1.0,96,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'02516a020',55262.75855220,12.641,0.034,1.391,11.566,0.043,2.345,,,,,,,1.0,113,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07873a233',55439.96922910,12.689,0.036,1.380,11.453,0.034,1.348,,,,,,,1.0,59,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07870a257',55439.90314070,12.682,0.035,1.366,11.469,0.033,1.411,,,,,,,1.0,51,b'0000',0.12784,200.781813
b'2601p439_ac51-002780',260.5079727,43.2566668,b'17h22m01.91s',b'43d15m24.00s',1,0,b'0000',b'07834a257',55438.71253020,12.708,0.037,1.446,11.427,0.031,1.315,,,,,,,1.0,56,b'0000',0.12784,200.781813
