source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11853a135',55571.56528230,12.822,0.030,1.863,11.925,0.036,1.551,,,,,,,1.0,51,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11842b160',55571.23471240,12.858,0.035,1.908,11.947,0.037,1.562,,,,,,,1.0,105,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11845a135',55571.30080090,12.800,0.032,1.903,11.968,0.039,1.606,,,,,,,1.0,126,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11838a159',55571.10240790,12.851,0.031,1.890,12.092,0.051,2.439,,,,,,,0.5,63,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11841a135',55571.16849650,12.752,0.037,2.177,11.958,0.037,1.582,,,,,,,0.5,83,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11834a159',55570.97010360,12.861,0.033,1.918,12.044,0.042,2.009,,,,,,,0.5,31,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11837a136',55571.03631940,12.856,0.040,1.902,11.977,0.046,1.635,,,,,,,1.0,46,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11826a159',55570.70562220,12.910,0.038,2.187,12.030,0.046,1.912,,,,,,,0.5,32,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'11830a160',55570.83792650,12.868,0.042,1.944,12.064,0.040,2.172,,,,,,,0.5,18,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06540a120',55395.86984010,12.851,0.033,1.889,12.047,0.042,2.030,9.453,0.101,0.953,7.395,,1.041,1.0,113,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06544a121',55396.00214380,12.920,0.040,2.268,11.914,0.038,1.559,9.651,0.117,0.952,7.052,0.273,0.999,1.0,73,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'00897a135',55209.20968510,12.776,0.032,2.006,11.804,0.034,2.240,9.485,0.107,0.934,7.196,0.296,0.949,1.0,97,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06536a122',55395.73753630,12.827,0.036,1.861,12.056,0.043,2.103,9.753,0.135,1.037,7.619,0.540,0.908,1.0,103,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'00889a136',55208.94507570,12.792,0.033,1.930,11.849,0.038,1.819,9.640,0.146,0.946,7.391,0.466,0.916,1.0,27,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'00893a135',55209.07738040,12.766,0.029,2.071,11.820,0.038,2.069,9.595,0.115,0.927,7.274,,0.983,1.0,56,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06529b142',55395.53914430,12.903,0.038,2.136,11.886,0.043,1.625,9.599,0.113,0.928,7.136,,0.971,1.0,47,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06532a116',55395.60523240,12.844,0.033,1.875,11.923,0.036,1.552,,,,,,,1.0,63,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06528a117',55395.47292880,12.867,0.034,1.938,11.926,0.039,1.551,9.730,0.126,1.014,7.424,0.374,0.913,1.0,33,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06529b141',55395.53901690,12.860,0.045,1.913,11.939,0.037,1.554,9.540,0.109,0.920,7.135,,0.927,1.0,47,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06524a117',55395.34062500,12.915,0.036,2.232,11.968,0.037,1.607,9.466,0.126,0.944,6.925,0.244,1.067,1.0,22,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06525b142',55395.40684060,12.863,0.040,1.924,11.921,0.036,1.553,9.478,0.107,0.937,7.135,0.319,0.967,1.0,23,b'0000',0.056003,143.470185
b'0219p151_ac51-039861',21.4919296,15.3037975,b'01h25m58.06s',b'15d18m13.67s',1,0,b'0000',b'06517b142',55395.14223300,12.868,0.035,1.942,11.957,0.037,1.579,9.414,0.108,0.989,7.278,,0.971,1.0,44,b'0000',0.056003,143.470185
