ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
21.4919197,15.3038079,b'01h25m58.06s',b'15d18m13.71s',0.0544,0.0546,-0.0169,12.436,0.026,41.2,1.607,11.780,0.031,34.5,0.593,1,0,b'0000',b'AA',10,58478.21066957,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.007529,187.845463
21.4919188,15.3038121,b'01h25m58.06s',b'15d18m13.72s',0.0588,0.0500,-0.0170,12.188,0.022,48.4,1.962,11.480,0.030,35.7,0.963,1,0,b'0000',b'AA',10,58681.69982874,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.008693,331.137956
21.4919204,15.3038136,b'01h25m58.06s',b'15d18m13.73s',0.0714,0.0632,-0.0195,12.643,0.028,39.4,1.259,11.907,0.040,27.3,0.733,1,0,b'0000',b'AA',10,57034.88566595,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.01304,6.117103
21.4919162,15.3038107,b'01h25m58.06s',b'15d18m13.72s',0.0720,0.0677,-0.0172,12.812,0.028,38.4,1.142,12.089,0.040,26.8,0.744,1,0,b'0000',b'AA',10,57753.99015977,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.013397,280.812306
21.4919247,15.3038092,b'01h25m58.06s',b'15d18m13.71s',0.0741,0.0736,-0.0286,12.971,0.030,36.5,0.916,12.163,0.046,23.7,0.980,1,0,b'0000',b'AA',10,56671.71642799,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.016552,100.00797
21.4919210,15.3038054,b'01h25m58.06s',b'15d18m13.70s',0.0766,0.0677,-0.0254,12.834,0.028,38.4,1.851,12.139,0.042,25.9,1.039,1,0,b'0000',b'AA',10,57585.86489765,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.016835,168.15764
21.4919181,15.3038050,b'01h25m58.06s',b'15d18m13.70s',0.0656,0.0634,-0.0185,12.931,0.029,37.6,1.084,12.155,0.036,30.5,0.686,1,0,b'0000',b'AA',10,57395.26272595,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.019195,200.129156
21.4919246,15.3038057,b'01h25m58.06s',b'15d18m13.70s',0.0713,0.0707,-0.0329,12.768,0.033,32.6,1.209,11.984,0.038,28.5,0.463,1,0,b'0000',b'AA',10,58117.82740973,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.022164,134.102402
21.4919137,15.3038141,b'01h25m58.06s',b'15d18m13.73s',0.0546,0.0502,-0.0075,12.215,0.022,49.1,1.170,11.493,0.032,34.1,0.666,1,0,b'0000',b'AA',10,58681.96150788,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.02644,304.0083
21.4919120,15.3038094,b'01h25m58.06s',b'15d18m13.71s',0.0755,0.0743,-0.0291,12.904,0.030,36.1,1.070,12.136,0.051,21.3,0.639,1,0,b'0000',b'AA',10,57586.38902000,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.027832,265.553783
21.4919127,15.3038149,b'01h25m58.06s',b'15d18m13.73s',0.0528,0.0523,-0.0200,12.194,0.025,42.6,2.992,11.471,0.030,36.1,1.252,1,0,b'0000',b'AA',5,58682.35396274,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.030889,304.834442
21.4919102,15.3038151,b'01h25m58.06s',b'15d18m13.73s',0.0655,0.0613,0.0093,12.598,0.026,41.5,1.503,11.877,0.038,28.4,0.549,1,0,b'0000',b'AA',10,57035.01707900,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.038634,298.348653
21.4919065,15.3038134,b'01h25m58.06s',b'15d18m13.73s',0.0784,0.0751,-0.0277,12.729,0.031,35.5,2.394,11.918,0.047,23.1,0.806,1,0,b'0000',b'AA',10,58117.23821565,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.048403,284.63382
21.4919338,15.3038070,b'01h25m58.06s',b'15d18m13.71s',0.0822,0.0668,-0.0252,12.970,0.028,38.1,1.507,12.220,0.046,23.7,0.928,1,0,b'0000',b'AA',5,56671.98001855,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.049081,102.70129
21.4919228,15.3038234,b'01h25m58.06s',b'15d18m13.76s',0.0701,0.0653,-0.0213,12.660,0.029,37.1,3.649,11.874,0.036,30.1,2.012,1,0,b'0000',b'AA',10,57953.67109160,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.049177,11.395059
21.4919116,15.3037983,b'01h25m58.06s',b'15d18m13.67s',0.0684,0.0700,-0.0294,12.755,0.031,34.9,1.858,11.882,0.040,27.0,0.766,1,0,b'0000',b'AA',10,58117.50015075,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.051247,214.702222
21.4919142,15.3038232,b'01h25m58.06s',b'15d18m13.76s',0.0687,0.0647,-0.0223,12.901,0.028,38.4,2.239,12.109,0.042,25.8,0.955,1,0,b'0000',b'AA',10,56671.45296530,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.051614,337.03214
21.4919234,15.3037958,b'01h25m58.06s',b'15d18m13.66s',0.0684,0.0576,-0.0129,12.600,0.026,42.5,1.278,11.841,0.034,32.3,1.235,1,0,b'0000',b'AA',10,57953.47473681,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.052431,166.995758
21.4919242,15.3037959,b'01h25m58.06s',b'15d18m13.67s',0.0601,0.0612,-0.0219,12.640,0.026,41.0,1.107,11.894,0.037,29.4,0.670,1,0,b'0000',b'AA',10,57953.86757372,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.052791,163.970125
21.4919091,15.3037995,b'01h25m58.06s',b'15d18m13.68s',0.0697,0.0760,-0.0188,12.904,0.032,34.1,2.209,12.186,0.041,26.3,0.826,1,0,b'0000',b'AA',5,57586.45459892,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.053502,225.036769
21.4919244,15.3038243,b'01h25m58.06s',b'15d18m13.77s',0.0679,0.0666,-0.0270,12.798,0.029,37.9,1.208,11.915,0.037,29.4,1.309,1,0,b'0000',b'AA',10,59049.54373778,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.053678,16.529913
21.4919327,15.3038015,b'01h25m58.06s',b'15d18m13.69s',0.0797,0.0757,-0.0128,12.755,0.036,30.2,2.793,12.017,0.045,24.1,0.624,1,0,b'0000',b'AA',10,58317.79153236,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.053678,124.756663
21.4919234,15.3038252,b'01h25m58.06s',b'15d18m13.77s',0.0857,0.0780,-0.0381,12.833,0.034,31.7,1.115,12.001,0.038,29.0,0.626,1,0,b'0000',b'AA',10,57222.14417406,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.056003,12.175074
21.4919067,15.3038197,b'01h25m58.06s',b'15d18m13.75s',0.0514,0.0560,-0.0198,12.431,0.026,41.6,1.318,11.600,0.031,34.5,1.020,1,0,b'0000',b'AA',10,58842.65525785,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.057911,307.094241
21.4919190,15.3038262,b'01h25m58.06s',b'15d18m13.77s',0.0739,0.0776,-0.0279,12.859,0.032,34.3,2.155,12.062,0.048,22.8,0.837,1,0,b'0000',b'AA',5,57754.18663123,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.058398,356.592661
21.4919029,15.3038097,b'01h25m58.06s',b'15d18m13.71s',0.0687,0.0618,-0.0186,12.731,0.027,40.9,0.847,11.960,0.039,27.6,0.703,1,0,b'0000',b'AA',10,58117.95831328,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.059361,268.957973
21.4919030,15.3038065,b'01h25m58.06s',b'15d18m13.70s',0.0649,0.0713,-0.0096,12.792,0.031,35.0,1.330,11.974,0.036,30.6,0.634,1,0,b'0000',b'AA',10,57753.85912860,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.060386,257.950959
21.4919053,15.3038009,b'01h25m58.06s',b'15d18m13.68s',0.0623,0.0548,-0.0196,12.609,0.024,44.7,1.078,11.875,0.032,33.7,1.211,1,0,b'0000',b'AA',10,57035.27990498,219115101351039861,12.827,0.023,11.929,0.022,9.548,0.038,7.553,0.155,1166523990,15.275,0.0608,14.496,0.0644,13.581,0.0425,0.060621,237.307405
