ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
188.7277709,-64.5655375,b'12h34m54.67s',b'-64d33m55.94s',0.2355,0.1222,0.1199,,,,,7.002,0.039,28.0,4.906,3,0,b'dd00',b'XA',5,57592.83332682,,,,,,,,,,,,,,,,,0.244345,289.359839
188.7277216,-64.5656417,b'12h34m54.65s',b'-64d33m56.31s',0.1251,0.0728,0.0550,5.891,0.088,12.3,7.563,7.984,0.070,15.5,280.800,1,0,b'dd00',b'AA',5,58882.72701595,,,,,,,,,,,,,,,,,0.424978,226.204057
188.7278519,-64.5654365,b'12h34m54.68s',b'-64d33m55.57s',0.0295,0.0199,-0.0077,7.390,0.023,46.9,64.170,6.027,0.009,123.3,311.000,3,0,b'dd00',b'AA',5,57953.36777274,,,,,,,,,,,,,,,,,0.456901,346.676527
188.7281982,-64.5656573,b'12h34m54.77s',b'-64d33m56.37s',0.0269,0.0312,-0.0064,7.360,0.019,57.1,273.900,6.841,0.014,75.8,253.400,3,0,b'dd00',b'AA',5,58680.87340713,,,,,,,,,,,,,,,,,0.554712,129.15806
188.7274829,-64.5656020,b'12h34m54.60s',b'-64d33m56.17s',0.0489,0.0404,-0.0263,7.633,0.034,32.2,143.000,5.926,0.016,68.8,154.400,3,0,b'dd00',b'AA',5,59044.66326442,,,,,,,,,,,,,,,,,0.692519,257.388595
188.7276195,-64.5653318,b'12h34m54.63s',b'-64d33m55.19s',0.0917,0.0995,0.0566,6.796,0.121,9.0,26.420,6.813,0.051,21.2,921.800,1,0,b'dd00',b'BA',5,58320.62887344,,,,,,,,,,,,,,,,,0.943801,330.5095
188.7274061,-64.5657309,b'12h34m54.58s',b'-64d33m56.63s',0.1940,0.1101,-0.0524,8.079,0.505,2.2,34.830,,,,,1,0,b'Hh00',b'CX',5,56694.02503095,,,,,,,,,,,,,,,,,1.004903,232.248218
188.7283887,-64.5653357,b'12h34m54.81s',b'-64d33m55.21s',0.0387,0.0395,0.0155,7.220,0.027,40.2,258.000,6.992,0.019,56.7,988.300,3,0,b'dd00',b'AA',5,57592.30933194,,,,,,,,,,,,,,,,,1.084976,41.906481
188.7270882,-64.5652206,b'12h34m54.50s',b'-64d33m54.79s',0.0812,0.0636,-0.0112,6.296,0.062,17.6,122.800,7.908,0.055,19.7,326.400,2,0,b'dd00',b'AA',0,58313.03877503,,,,,,,,,,,,,,,,,1.773943,313.532513
188.7271309,-64.5659482,b'12h34m54.51s',b'-64d33m57.41s',0.0326,0.0305,0.0021,,,,,6.219,0.014,77.9,509.900,1,0,b'dd00',b'XA',5,58152.03658115,,,,,,,,,,,,,,,,,1.855142,221.120612
188.7270224,-64.5659386,b'12h34m54.49s',b'-64d33m57.38s',0.0444,0.0493,0.0042,7.948,0.040,26.9,725.700,6.176,0.023,46.2,251.100,2,0,b'hh00',b'AA',5,57592.76787523,,,,,,,,,,,,,,,,,1.945152,225.516738
188.7266799,-64.5653977,b'12h34m54.40s',b'-64d33m55.43s',0.2210,0.0890,0.0876,,,,,5.727,0.072,15.2,6.642,3,0,b'dd00',b'XA',5,56872.73448472,,,,,,,,,,,,,,,,,2.004399,286.947151
188.7268152,-64.5658677,b'12h34m54.44s',b'-64d33m57.12s',0.0384,0.0390,-0.0182,,,,,5.966,0.015,72.4,204.900,2,0,b'dd00',b'XA',5,59045.38259567,,,,,,,,,,,,,,,,,2.035878,237.036373
188.7265980,-64.5655754,b'12h34m54.38s',b'-64d33m56.07s',0.0385,0.0444,0.0235,6.121,0.045,24.4,80.790,5.964,0.018,59.6,220.200,2,0,b'dd00',b'AA',5,58313.75848874,,,,,,,,,,,,,,,,,2.044722,268.445712
188.7265428,-64.5655376,b'12h34m54.37s',b'-64d33m55.94s',0.0169,0.0247,-0.0032,4.481,0.018,59.9,695.800,5.465,0.008,128.1,706.400,1,0,b'dh00',b'AA',5,58312.90787178,,,,,,,,,,,,,,,,,2.130846,272.168206
188.7273214,-64.5661004,b'12h34m54.56s',b'-64d33m57.96s',0.0321,0.0346,-0.0104,,,,,6.051,0.014,78.5,481.700,1,0,b'dd00',b'XA',5,59044.79404024,,,,,,,,,,,,,,,,,2.154364,205.441436
188.7268250,-64.5660521,b'12h34m54.44s',b'-64d33m57.79s',0.2177,0.1814,-0.0988,,,,,8.109,0.115,9.5,399.600,1,0,b'dH00',b'XB',5,57786.84452091,,,,,,,,,,,,,,,,,2.450434,223.700311
188.7268325,-64.5660800,b'12h34m54.44s',b'-64d33m57.89s',0.0568,0.0519,0.0166,6.438,0.167,6.5,0.032,5.931,0.022,49.7,193.500,3,0,b'dd00',b'BA',5,58518.68864838,,,,,,,,,,,,,,,,,2.51624,221.929015
188.7268215,-64.5650382,b'12h34m54.44s',b'-64d33m54.14s',0.3006,0.1487,0.1495,7.186,,1.3,16.190,6.383,0.177,6.1,26.370,1,0,b'dd00',b'UB',10,58883.05351072,,,,,,,,,,,,,,,,,2.532459,317.881153
188.7264922,-64.5659192,b'12h34m54.36s',b'-64d33m57.31s',0.2791,0.1318,0.1356,,,,,6.008,0.159,6.8,23.810,2,0,b'dh00',b'XB',5,57056.41027160,,,,,,,,,,,,,,,,,2.558394,239.638649
188.7272013,-64.5662017,b'12h34m54.53s',b'-64d33m58.33s',0.0543,0.0688,-0.0140,6.547,0.462,2.4,5.177,5.794,0.028,38.9,631.900,1,0,b'dd00',b'CA',5,58313.88939199,,,,,,,,,,,,,,,,,2.563471,205.687559
188.7263408,-64.5658194,b'12h34m54.32s',b'-64d33m56.95s',0.1889,0.1713,0.1012,,,,,6.145,0.115,9.5,1.845,2,0,b'dd00',b'XB',5,56874.64225881,,,,,,,,,,,,,,,,,2.614111,249.069085
188.7293066,-64.5659837,b'12h34m55.03s',b'-64d33m57.54s',0.0429,0.0563,0.0269,7.207,0.018,61.1,1040.000,8.821,0.032,34.4,227.400,1,0,b'dH00',b'AA',5,59044.72871602,,,,,,,,,,,,,,,,,2.631089,125.432151
188.7263204,-64.5652141,b'12h34m54.32s',b'-64d33m54.77s',0.1534,0.0845,0.0805,6.447,0.241,4.5,5.719,5.724,0.086,12.6,42.030,1,0,b'dd00',b'BA',5,58152.23293712,,,,,,,,,,,,,,,,,2.768988,296.724319
188.7265597,-64.5660833,b'12h34m54.37s',b'-64d33m57.90s',0.0937,0.1713,0.0809,6.877,0.241,4.5,19.860,5.524,0.069,15.8,580.200,1,0,b'dd00',b'BA',5,58518.75410013,,,,,,,,,,,,,,,,,2.823529,228.147489
188.7261077,-64.5657036,b'12h34m54.27s',b'-64d33m56.53s',0.1164,0.0935,-0.0738,5.620,0.229,4.7,2.782,6.171,0.077,14.2,7.848,1,0,b'dd00',b'BA',5,57234.43608719,,,,,,,,,,,,,,,,,2.849316,259.545945
188.7275637,-64.5663434,b'12h34m54.62s',b'-64d33m58.84s',0.0388,0.0397,-0.0270,,,,,6.660,0.016,66.1,390.900,2,0,b'dd00',b'XA',5,56875.89207854,,,,,,,,,,,,,,,,,2.873537,191.052213
188.7285122,-64.5663523,b'12h34m54.84s',b'-64d33m58.87s',0.1358,0.0530,-0.0600,,,,,5.964,0.024,45.4,1134.000,2,0,b'dd00',b'XA',5,58680.74263064,,,,,,,,,,,,,,,,,2.995634,162.203316
