source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12269a071',55585.31257920,10.653,0.022,13.200,9.894,0.020,3.819,,,,,,,1.0,98,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12273a070',55585.44475620,10.622,0.021,14.420,9.856,0.020,4.364,,,,,,,1.0,73,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12265a069',55585.18027500,10.659,0.021,12.970,9.844,0.019,4.596,,,,,,,1.0,66,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12266a094',55585.24636340,10.651,0.028,13.270,9.821,0.021,5.161,,,,,,,1.0,85,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'01182a092',55218.66410990,10.963,0.023,11.430,9.948,0.022,3.596,7.216,0.027,1.070,5.070,0.058,1.166,1.0,4,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12261a071',55585.04809810,10.610,0.022,15.010,9.891,0.026,3.854,,,,,,,1.0,26,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12263a024',55585.11418650,10.655,0.022,13.140,9.848,0.022,4.509,,,,,,,1.0,46,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'06905b211',55407.98257520,10.851,0.022,10.250,9.982,0.019,3.740,7.225,0.022,1.051,5.112,0.066,1.144,1.0,57,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'06908a187',55408.04879080,10.823,0.023,10.220,9.968,0.021,3.658,7.230,0.023,1.047,5.030,0.057,1.242,1.0,35,b'0011',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'01254a094',55221.04622400,10.939,0.028,11.040,9.985,0.025,3.768,7.210,0.025,1.089,5.171,0.077,1.199,1.0,25,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'12261a070',55585.04797070,10.710,0.026,11.530,9.792,0.021,6.075,,,,,,,1.0,26,b'0000',0.091022,326.564759
b'0484m213_ac51-038220',47.8283651,-20.7716989,b'03h11m18.81s',b'-20d46m18.12s',1,0,b'0000',b'06901b211',55407.85027140,10.819,0.025,10.230,9.954,0.020,3.606,7.221,0.023,1.057,5.143,0.047,1.161,1.0,97,b'0000',0.091022,326.564759
