ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
124.7405013,-22.8767202,b'08h18m57.72s',b'-22d52m36.19s',0.0378,0.0413,-0.0117,11.406,0.019,57.3,14.920,10.686,0.021,51.7,2.346,1,0,b'0000',b'AA',10,57698.28809495,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.004347,99.479803
124.7404975,-22.8767216,b'08h18m57.72s',b'-22d52m36.20s',0.0415,0.0437,-0.0103,11.648,0.019,57.8,19.620,10.986,0.022,48.9,2.277,1,0,b'0000',b'AA',10,57137.26079839,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.010194,235.214694
124.7405023,-22.8767173,b'08h18m57.72s',b'-22d52m36.18s',0.0392,0.0391,-0.0086,11.550,0.018,59.9,21.390,11.013,0.023,47.3,3.787,1,0,b'0000',b'AA',10,56778.78131410,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.012294,38.126529
124.7405033,-22.8767185,b'08h18m57.72s',b'-22d52m36.19s',0.0424,0.0470,0.0029,11.687,0.022,50.0,20.090,11.008,0.023,48.2,2.956,1,0,b'0000',b'AA',10,57136.86694108,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.012294,63.74054
124.7404963,-22.8767178,b'08h18m57.72s',b'-22d52m36.18s',0.0428,0.0408,-0.0107,11.587,0.019,57.1,21.570,10.953,0.022,48.4,2.602,1,0,b'0000',b'AA',10,58951.61026287,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.01474,302.836421
124.7405025,-22.8767237,b'08h18m57.72s',b'-22d52m36.21s',0.0446,0.0473,0.0102,11.568,0.022,49.5,23.170,10.863,0.027,40.8,6.976,1,0,b'0000',b'AA',5,57859.74539495,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.015672,148.096525
124.7405061,-22.8767215,b'08h18m57.72s',b'-22d52m36.20s',0.0409,0.0462,-0.0186,11.608,0.021,51.7,18.880,10.897,0.025,42.9,3.919,1,0,b'0000',b'AA',10,58950.89093082,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.020846,104.943613
124.7404951,-22.8767241,b'08h18m57.72s',b'-22d52m36.21s',0.0441,0.0433,-0.0142,11.656,0.019,56.2,20.560,10.965,0.024,44.7,3.863,1,0,b'0000',b'AA',10,58062.81392749,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.02195,227.755272
124.7404921,-22.8767167,b'08h18m57.72s',b'-22d52m36.18s',0.0397,0.0413,-0.0021,11.586,0.022,48.4,25.670,11.056,0.022,48.4,10.120,1,0,b'0000',b'AA',0,56778.05739716,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.028833,294.388733
124.7404910,-22.8767234,b'08h18m57.72s',b'-22d52m36.20s',0.0416,0.0443,-0.0102,11.624,0.022,48.7,20.760,10.942,0.022,49.3,3.476,1,0,b'0000',b'AA',10,58062.22473415,1254022801351013473,11.781,0.023,11.334,0.021,8.953,0.027,6.579,0.059,69538735,14.279,0.0870,13.590,0.1154,13.100,0.0745,0.032236,247.704933
