ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
255.8341226,37.6235584,b'17h03m20.19s',b'37d37m24.81s',0.0535,0.0505,-0.0188,12.217,0.022,48.7,6.060,11.758,0.029,37.2,1.755,1,0,b'0000',b'AA',5,58905.46730098,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.02195,254.731037
255.8341422,37.6235630,b'17h03m20.19s',b'37d37m24.83s',0.0640,0.0712,0.0067,12.641,0.028,39.5,8.939,12.307,0.048,22.5,1.222,1,0,b'0000',b'AA',5,57977.54666854,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.036367,72.752167
255.8341438,37.6235628,b'17h03m20.19s',b'37d37m24.83s',0.0716,0.0694,0.0303,12.680,0.034,32.1,12.590,12.308,0.038,28.5,2.696,1,0,b'0000',b'AA',5,57255.51445876,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.04066,75.631382
255.8341238,37.6235705,b'17h03m20.19s',b'37d37m24.85s',0.0674,0.0679,0.0085,12.678,0.030,36.1,5.242,12.318,0.043,25.1,0.855,1,0,b'0000',b'AA',10,57977.74315058,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.041692,334.935452
255.8341343,37.6235725,b'17h03m20.19s',b'37d37m24.86s',0.0578,0.0584,-0.0142,12.594,0.024,45.4,8.360,12.128,0.037,29.0,1.644,1,0,b'0000',b'AA',10,57443.72860829,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.046613,15.240931
255.8341160,37.6235677,b'17h03m20.19s',b'37d37m24.84s',0.0584,0.0671,-0.0202,12.513,0.028,38.1,3.108,12.082,0.043,25.3,1.050,1,0,b'0000',b'AA',10,58542.22162748,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.048598,304.776526
255.8341145,37.6235662,b'17h03m20.19s',b'37d37m24.84s',0.0594,0.0635,-0.0071,12.613,0.026,42.4,7.404,12.237,0.040,26.9,1.792,1,0,b'0000',b'AA',10,57255.58003785,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.049465,296.794961
255.8341119,37.6235623,b'17h03m20.19s',b'37d37m24.82s',0.0667,0.0683,-0.0319,12.687,0.027,40.6,6.468,12.255,0.042,26.0,1.211,1,0,b'0000',b'AA',10,56896.76519836,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.052251,279.11466
255.8341110,37.6235570,b'17h03m20.19s',b'37d37m24.81s',0.0595,0.0605,-0.0139,12.547,0.024,44.9,5.522,12.255,0.053,20.4,0.837,1,0,b'0000',b'AA',10,56717.91399486,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.055239,258.725761
255.8341098,37.6235569,b'17h03m20.19s',b'37d37m24.80s',0.0568,0.0617,-0.0156,12.475,0.024,44.6,4.399,12.105,0.038,28.9,1.164,1,0,b'0000',b'AA',10,58541.69814234,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.05864,259.034262
255.8341383,37.6235783,b'17h03m20.19s',b'37d37m24.88s',0.0654,0.0857,0.0182,12.473,0.038,28.7,5.177,12.069,0.049,22.3,1.810,1,0,b'0000',b'AA',10,56717.45290458,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.070021,19.759839
255.8341159,37.6235402,b'17h03m20.19s',b'37d37m24.74s',0.0827,0.0757,-0.0354,12.656,0.034,32.0,3.670,12.209,0.049,22.1,1.254,1,0,b'0000',b'AA',10,57976.89202513,2557137801351018981,12.039,0.022,11.428,0.020,9.135,0.029,6.594,0.056,245852806,14.461,0.0540,13.720,0.0606,13.030,0.0393,0.081841,209.424203
