source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'04608a056',55331.96316670,10.469,0.024,3.074,9.408,0.018,3.117,6.519,0.019,3.313,4.200,0.039,0.845,1.0,92,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'04620a056',55332.36007860,10.498,0.031,3.232,9.527,0.030,2.914,6.531,0.019,3.211,4.194,0.049,0.849,1.0,34,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'04605b080',55331.89695090,10.478,0.021,3.108,9.475,0.017,2.645,6.547,0.018,3.136,4.177,0.044,0.874,1.0,111,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'09994a220',55510.13518220,10.425,0.023,3.084,9.465,0.019,2.655,,,,,,,1.0,82,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'09990a220',55510.00287820,10.419,0.021,3.111,9.442,0.020,2.752,,,,,,,1.0,51,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10002a220',55510.39966310,10.470,0.028,3.078,9.502,0.023,2.719,,,,,,,1.0,103,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'09998a221',55510.26748630,10.434,0.025,3.056,9.559,0.022,3.308,,,,,,,1.0,122,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10005a197',55510.46587880,10.405,0.028,3.195,9.641,0.035,5.053,,,,,,,1.0,85,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10002a221',55510.39979050,10.455,0.026,3.045,9.443,0.026,2.747,,,,,,,1.0,103,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10009a197',55510.59818290,10.420,0.030,3.105,9.467,0.019,2.651,,,,,,,1.0,58,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10006b220',55510.53196720,10.416,0.025,3.125,9.499,0.022,2.705,,,,,,,1.0,69,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10013a196',55510.73035970,10.533,0.022,3.576,9.532,0.027,2.967,,,,,,,1.0,41,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10010a221',55510.66427130,10.451,0.023,3.041,9.543,0.025,3.093,,,,,,,1.0,51,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10017a197',55510.86266430,10.443,0.021,3.043,9.489,0.025,2.666,,,,,,,1.0,35,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10014a221',55510.79657590,10.452,0.026,3.042,9.478,0.018,2.646,,,,,,,1.0,34,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10021a197',55510.99496840,10.431,0.024,3.065,9.454,0.019,2.688,,,,,,,1.0,50,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10018a220',55510.92875270,10.438,0.030,3.049,9.521,0.024,2.857,,,,,,,1.0,39,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10029a196',55511.25944930,10.419,0.022,3.113,9.486,0.019,2.659,,,,,,,0.5,119,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'10025a196',55511.12714510,10.472,0.023,3.086,9.449,0.020,2.710,,,,,,,1.0,80,b'0000',4.149834,230.759191
b'3102p287_ac51-024480',311.0177336,28.5526308,b'20h44m04.26s',b'28d33m09.47s',1,0,b'0h00',b'04577b080',55330.97082310,10.453,0.024,3.042,9.474,0.019,2.645,6.539,0.021,3.167,4.232,0.034,0.857,1.0,90,b'0000',4.149834,230.759191
