source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'01529a050',55230.10887730,13.125,0.067,2.855,12.524,0.075,1.344,9.775,0.159,0.940,7.232,0.466,1.030,1.0,41,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'12510a071',55593.31182850,13.149,0.038,2.828,12.603,0.055,1.211,,,,,,,1.0,88,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'12510a072',55593.31195590,13.313,0.045,3.098,12.658,0.060,1.425,,,,,,,1.0,88,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07276a204',55420.22215070,13.238,0.042,2.857,12.636,0.051,1.264,,,,,,,1.0,-9,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'12506b072',55593.17965160,13.264,0.040,2.984,12.590,0.050,1.231,,,,,,,1.0,61,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07268a204',55419.95754280,13.237,0.039,2.860,12.676,0.051,1.256,,,,,,,1.0,61,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07272a204',55420.08984680,13.124,0.041,3.044,12.731,0.069,1.313,,,,,,,1.0,20,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07261b229',55419.75915050,13.157,0.040,2.823,12.702,0.056,1.296,,,,,,,1.0,88,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07264a204',55419.82523890,13.047,0.037,3.239,12.629,0.055,1.303,,,,,,,1.0,97,b'0000',0.313942,198.709097
b'0591m303_ac51-027167',59.7867976,-30.3029426,b'03h59m08.83s',b'-30d18m10.59s',2,1,b'0000',b'07260a204',55419.69293490,13.186,0.036,2.888,12.585,0.046,1.213,,,,,,,1.0,74,b'0000',0.313942,198.709097
