source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09525b094',55494.61180200,11.843,0.034,2.209,10.811,0.029,1.694,,,,,,,1.0,83,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09528a069',55494.67789030,11.806,0.024,2.009,10.834,0.026,1.872,,,,,,,1.0,95,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09517b093',55494.34719400,11.812,0.025,2.028,10.801,0.024,1.642,,,,,,,1.0,63,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09522a012',55494.47949800,11.814,0.024,2.033,10.806,0.026,1.668,,,,,,,1.0,66,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03773a185',55304.35883380,11.743,0.025,2.153,10.693,0.023,2.111,7.549,0.027,0.982,5.095,0.049,0.929,1.0,117,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03889a150',55308.19591040,11.755,0.030,2.076,10.669,0.025,2.511,7.541,0.028,0.999,4.990,0.060,0.872,1.0,111,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03765a132',55304.09422540,11.723,0.024,2.350,10.721,0.025,1.798,7.584,0.035,0.996,4.999,0.057,0.864,1.0,93,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03769a185',55304.22652960,11.735,0.022,2.225,10.750,0.023,1.617,7.560,0.027,0.970,5.027,0.049,0.856,1.0,117,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03750a209',55303.63109700,11.723,0.029,2.350,10.687,0.026,2.196,7.639,0.029,1.300,4.994,0.050,0.868,1.0,77,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03762a210',55304.02813690,11.766,0.030,2.027,10.741,0.025,1.653,7.578,0.029,0.984,4.960,0.050,0.917,1.0,82,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03747a129',55303.49879280,11.730,0.026,2.272,10.718,0.024,1.824,7.606,0.027,1.078,5.062,0.052,0.879,1.0,94,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03749a186',55303.56500860,11.736,0.024,2.213,10.759,0.026,1.590,7.538,0.026,1.007,4.951,0.061,0.938,1.0,87,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03742a209',55303.36648860,11.697,0.023,2.709,10.769,0.023,1.578,7.577,0.026,0.981,5.074,0.050,0.894,1.0,115,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03745a133',55303.43270440,11.729,0.025,2.281,10.729,0.034,1.734,7.511,0.026,1.145,5.018,0.051,0.856,1.0,104,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03738a209',55303.23418440,11.732,0.022,2.250,10.743,0.030,1.647,7.561,0.024,0.970,5.148,0.068,1.065,1.0,118,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03741a186',55303.30040020,11.779,0.030,1.994,10.731,0.029,1.714,7.497,0.028,1.247,4.962,0.053,0.912,1.0,126,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03730a210',55302.96957600,11.733,0.023,2.240,10.716,0.021,1.840,7.590,0.025,1.013,5.018,0.061,0.856,1.0,74,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'03735a133',55303.10188020,11.717,0.022,2.410,10.694,0.024,2.098,7.547,0.032,0.985,4.945,0.064,0.951,1.0,94,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09548a069',55495.33928280,11.872,0.028,2.485,10.793,0.025,1.612,,,,,,,1.0,63,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09677b089',55499.63795240,11.795,0.026,1.989,10.800,0.024,1.638,,,,,,,1.0,88,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09552a012',55495.47145940,11.827,0.038,2.099,10.853,0.026,2.065,,,,,,,1.0,66,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09544a069',55495.20697880,11.875,0.028,2.528,10.803,0.025,1.655,,,,,,,1.0,75,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09552a013',55495.47158680,11.954,0.031,3.831,10.765,0.032,1.580,,,,,,,1.0,65,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09537b094',55495.00858660,11.855,0.026,2.314,10.895,0.037,2.670,,,,,,,1.0,101,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09540a051',55495.07467490,11.889,0.028,2.710,10.823,0.024,1.778,,,,,,,1.0,92,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09533b093',55494.87628260,11.881,0.035,2.600,10.809,0.031,1.687,,,,,,,1.0,126,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09536a069',55494.94249830,11.902,0.030,2.887,10.852,0.028,2.056,,,,,,,1.0,113,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09529b094',55494.74410600,11.834,0.027,2.141,10.836,0.024,1.887,,,,,,,1.0,108,b'0000',0.066278,64.920856
b'1386p560_ac51-000015',139.8049894,55.4652978,b'09h19m13.20s',b'55d27m55.07s',1,0,b'0000',b'09532a069',55494.81019430,11.814,0.028,2.034,10.792,0.025,1.608,,,,,,,1.0,121,b'0000',0.066278,64.920856
