ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
195.9979069,53.7916477,b'13h03m59.50s',b'53d47m29.93s',0.0542,0.0592,0.0099,12.164,0.026,42.1,10.190,11.664,0.035,30.8,2.495,1,0,b'0000',b'AA',5,58614.10624860,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.010647,218.526533
195.9979145,53.7916467,b'13h03m59.50s',b'53d47m29.93s',0.0442,0.0472,-0.0104,12.040,0.019,55.7,9.836,11.356,0.034,32.1,2.681,1,0,b'0000',b'AA',5,56808.54269277,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.015368,141.147451
195.9979089,53.7916547,b'13h03m59.50s',b'53d47m29.96s',0.0379,0.0407,-0.0104,11.547,0.017,62.5,6.294,10.934,0.022,48.5,2.806,1,0,b'0000',b'AA',5,57167.79579852,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.017113,352.128508
195.9979014,53.7916484,b'13h03m59.50s',b'53d47m29.93s',0.0401,0.0441,-0.0071,11.756,0.019,56.6,11.410,10.964,0.027,40.2,3.938,1,0,b'0000',b'AA',0,57528.90936318,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.019195,252.51834
195.9979107,53.7916557,b'13h03m59.50s',b'53d47m29.96s',0.0537,0.0581,0.0163,12.260,0.024,45.2,11.420,11.712,0.037,29.6,3.222,1,0,b'0000',b'AA',5,58981.18627301,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.020618,4.149251
195.9979014,53.7916467,b'13h03m59.50s',b'53d47m29.93s',0.0380,0.0419,-0.0122,11.548,0.018,61.9,10.670,10.895,0.023,46.4,1.516,1,0,b'0000',b'AA',5,57170.09246366,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.021734,236.993131
195.9979016,53.7916464,b'13h03m59.50s',b'53d47m29.93s',0.0367,0.0396,-0.0100,11.503,0.019,56.6,8.130,10.909,0.021,51.5,2.437,1,0,b'0000',b'AA',5,57167.13962679,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.022164,234.039011
195.9979192,53.7916536,b'13h03m59.50s',b'53d47m29.95s',0.0473,0.0543,-0.0124,12.173,0.021,51.5,12.690,11.629,0.027,40.7,2.640,1,0,b'0000',b'AA',5,58614.76038334,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.023408,56.47888
195.9978982,53.7916493,b'13h03m59.50s',b'53d47m29.94s',0.0371,0.0373,-0.0100,11.513,0.019,58.3,11.370,10.919,0.023,47.3,4.267,1,0,b'0000',b'AA',5,57170.42061303,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.025158,264.265433
195.9978973,53.7916495,b'13h03m59.50s',b'53d47m29.94s',0.0503,0.0531,0.0146,12.197,0.023,47.3,16.120,11.635,0.040,27.1,3.308,1,0,b'0000',b'AA',5,58613.38666206,1965154501351007850,11.586,0.023,10.898,0.020,8.420,0.022,6.475,0.055,636390457,14.462,0.0586,13.638,0.0575,13.038,0.0446,0.027145,266.187038
