source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04897a109',55341.52788730,14.071,0.053,2.150,13.078,0.074,1.228,10.738,0.334,1.020,7.022,,0.860,1.0,55,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04890a134',55341.32949510,14.327,0.072,2.518,13.043,0.076,1.250,10.542,0.251,0.947,7.173,,0.861,1.0,117,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04883a043',55341.06488740,14.051,0.056,2.212,13.211,0.082,1.370,10.200,0.192,0.930,7.842,,1.057,1.0,44,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04887a064',55341.19719130,14.061,0.054,2.179,12.987,0.075,1.349,10.246,0.208,0.920,7.657,0.460,0.866,1.0,86,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04874a134',55340.80027960,14.076,0.058,2.137,13.059,0.068,1.236,10.162,0.186,0.943,7.231,0.313,0.949,1.0,8,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'04878a134',55340.93258350,14.203,0.064,2.109,13.018,0.066,1.285,10.547,0.279,0.948,7.507,0.511,0.881,1.0,14,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10656a145',55531.98639920,14.095,0.059,2.097,13.143,0.074,1.257,,,,,,,1.0,65,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10656a144',55531.98627190,14.228,0.067,2.160,12.978,0.064,1.374,,,,,,,1.0,66,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10648a145',55531.72179070,14.276,0.072,2.307,13.183,0.074,1.314,,,,,,,1.0,93,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10652a145',55531.85409500,14.244,0.098,2.203,13.230,0.078,1.416,,,,,,,1.0,107,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10644a144',55531.58948650,14.171,0.064,2.066,13.102,0.074,1.229,,,,,,,1.0,50,b'0000',0.154293,51.978955
b'1557m031_ac51-039130',155.2628838,-2.6118136,b'10h21m03.09s',b'-02d36m42.53s',1,0,b'0000',b'10645b170',55531.65570230,14.226,0.065,2.156,13.088,0.075,1.227,,,,,,,1.0,72,b'0000',0.154293,51.978955
