ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
155.2628494,-2.6118278,b'10h21m03.08s',b'-02d36m42.58s',0.1141,0.1265,-0.0173,13.623,0.046,23.5,1.624,12.685,0.069,15.6,0.753,1,0,b'0000',b'AA',5,57521.49345885,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.044007,357.187364
155.2628626,-2.6118404,b'10h21m03.09s',b'-02d36m42.63s',0.1495,0.1783,0.0774,14.086,0.080,13.6,0.973,13.009,0.086,12.6,1.047,1,0,b'0000',b'AA',5,59182.42519235,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.045381,91.820193
155.2628491,-2.6118261,b'10h21m03.08s',b'-02d36m42.57s',0.1020,0.1283,0.0357,13.955,0.047,23.0,1.683,13.004,0.069,15.8,0.868,1,0,b'0000',b'AA',5,58976.26975716,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.050129,356.29921
155.2628326,-2.6118339,b'10h21m03.08s',b'-02d36m42.60s',0.1120,0.1185,0.0293,13.738,0.049,22.0,1.149,12.706,0.059,18.4,0.951,1,0,b'0000',b'AA',10,57884.69702431,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.06635,289.337975
155.2628498,-2.6118205,b'10h21m03.08s',b'-02d36m42.55s',0.1242,0.1327,-0.0359,13.877,0.049,22.0,1.507,12.684,0.067,16.1,0.906,1,0,b'0000',b'AA',10,58818.55132433,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.070223,359.412982
155.2628657,-2.6118271,b'10h21m03.09s',b'-02d36m42.58s',0.1162,0.1276,-0.0221,13.682,0.044,24.4,1.916,12.647,0.075,14.4,0.683,1,0,b'0000',b'AA',10,57524.17978088,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.073123,50.562345
155.2628422,-2.6118176,b'10h21m03.08s',b'-02d36m42.54s',0.0925,0.1066,-0.0175,13.644,0.042,25.8,1.569,12.559,0.056,19.5,1.114,1,0,b'0000',b'AA',10,57521.23139727,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.085399,340.819639
155.2628619,-2.6118186,b'10h21m03.09s',b'-02d36m42.55s',0.1571,0.1558,-0.0625,14.119,0.055,19.6,2.273,12.990,0.079,13.7,0.569,1,0,b'0000',b'AA',5,59181.96741191,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.088121,29.052045
155.2628432,-2.6118658,b'10h21m03.08s',b'-02d36m42.72s',0.1250,0.1328,-0.0432,13.718,0.047,23.1,0.994,12.579,0.076,14.3,0.374,1,0,b'0000',b'AA',10,57524.50742198,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.096022,194.750753
155.2628211,-2.6118348,b'10h21m03.08s',b'-02d36m42.61s',0.1002,0.1194,0.0164,13.815,0.044,24.4,1.496,12.734,0.055,19.7,0.799,1,0,b'0000',b'AA',10,58609.38429981,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.105626,280.210516
155.2628335,-2.6118155,b'10h21m03.08s',b'-02d36m42.54s',0.1487,0.1427,-0.0825,13.694,0.063,17.2,1.683,12.737,0.064,17.0,1.127,1,0,b'0000',b'AA',5,58245.31858527,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.106295,326.068526
155.2628219,-2.6118306,b'10h21m03.08s',b'-02d36m42.59s',0.0929,0.1022,-0.0154,13.680,0.042,25.8,2.193,12.566,0.053,20.6,0.662,1,0,b'0000',b'AA',10,57162.40278922,1557003101351039130,14.126,0.028,13.085,0.028,10.335,0.077,7.793,0.204,,,,,,,,0.106561,288.51402
