source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'04982a141',55344.37324340,12.134,0.028,1.638,10.957,0.025,1.396,7.755,0.029,1.108,4.979,0.054,0.813,1.0,105,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10756a137',55535.29210100,12.228,0.031,2.110,11.044,0.031,1.522,,,,,,,0.5,10,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'04986a141',55344.50554720,12.089,0.029,1.845,10.950,0.025,1.433,7.731,0.039,1.024,4.970,0.057,0.814,1.0,63,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10748a136',55535.02749240,12.156,0.031,1.647,11.092,0.032,2.027,,,,,,,0.5,55,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10752a084',55535.15979670,12.201,0.027,1.863,11.025,0.032,1.404,,,,,,,1.0,27,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10744a137',55534.89531540,12.174,0.030,1.701,11.010,0.025,1.346,,,,,,,1.0,96,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10745b162',55534.96140380,12.117,0.027,1.681,10.972,0.034,1.340,,,,,,,1.0,76,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10737b162',55534.69692260,12.183,0.031,1.745,11.009,0.026,1.345,,,,,,,1.0,86,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10741b161',55534.82909950,12.141,0.026,1.634,11.013,0.033,1.356,,,,,,,1.0,118,b'0000',0.138891,200.641545
b'1603p000_ac51-055057',160.5348364,0.7016739,b'10h42m08.36s',b'00d42m06.03s',1,0,b'0000',b'10730a114',55534.43231390,12.127,0.026,1.650,11.010,0.027,1.346,,,,,,,1.0,14,b'0000',0.138891,200.641545
