ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
207.2850122,44.6915915,b'13h49m08.40s',b'44d41m29.73s',0.0620,0.0619,-0.0093,12.474,0.032,34.3,2.256,11.778,0.033,33.3,1.657,1,0,b'0000',b'AA',5,57187.41510587,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.007529,46.196347
207.2850109,44.6915921,b'13h49m08.40s',b'44d41m29.73s',0.0404,0.0418,0.0049,11.654,0.020,54.8,4.721,10.941,0.024,45.0,1.267,1,0,b'0000',b'AA',10,58270.26192421,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.008132,16.944541
207.2850126,44.6915914,b'13h49m08.40s',b'44d41m29.73s',0.0604,0.0770,0.0152,12.348,0.031,34.7,2.207,11.806,0.035,31.1,0.788,1,0,b'0000',b'AA',10,57545.94373123,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.008132,52.85849
207.2850104,44.6915932,b'13h49m08.40s',b'44d41m29.74s',0.0368,0.0423,-0.0060,11.675,0.019,56.4,3.349,10.931,0.021,52.1,1.183,1,0,b'0000',b'AA',5,58841.82717943,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.0115,5.078127
207.2850050,44.6915869,b'13h49m08.40s',b'44d41m29.71s',0.0415,0.0465,-0.0036,11.854,0.021,52.0,4.122,11.087,0.027,39.7,2.027,1,0,b'0000',b'AA',10,58475.02670869,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.017113,228.907324
207.2850030,44.6915887,b'13h49m08.40s',b'44d41m29.72s',0.0529,0.0615,0.0152,12.457,0.026,41.5,3.851,11.897,0.033,32.6,1.749,1,0,b'0000',b'AA',10,57018.15278373,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.018442,255.359405
207.2850154,44.6915863,b'13h49m08.40s',b'44d41m29.71s',0.0378,0.0416,0.0035,11.677,0.019,56.0,2.829,10.930,0.026,42.5,0.916,1,0,b'0000',b'AA',10,58842.35053836,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.019195,133.944663
207.2850024,44.6915889,b'13h49m08.40s',b'44d41m29.72s',0.0570,0.0609,0.0128,12.454,0.026,41.1,2.040,11.830,0.037,29.1,1.344,1,0,b'0000',b'AA',10,56828.93886963,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.019919,258.492105
207.2850158,44.6915941,b'13h49m08.40s',b'44d41m29.74s',0.0527,0.0596,-0.0116,12.482,0.028,38.4,4.890,11.844,0.030,36.5,1.613,1,0,b'0000',b'AA',5,57017.56129753,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.020846,45.161893
207.2850028,44.6915938,b'13h49m08.40s',b'44d41m29.74s',0.0419,0.0423,0.0085,11.867,0.021,51.7,4.773,11.034,0.026,42.0,1.674,1,0,b'0000',b'AA',10,58474.89593255,2066145401351002612,12.150,0.020,11.355,0.020,8.851,0.026,7.052,0.083,1077046624,14.832,0.0586,14.070,0.0726,13.571,0.0529,0.023001,306.590384
