source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03100a182',55282.09595350,13.070,0.037,1.152,11.188,0.029,1.225,7.741,0.025,0.774,5.807,0.091,0.857,1.0,29,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08606a099',55464.22390920,13.068,0.050,1.147,11.173,0.032,1.285,,,,,,,1.0,55,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08603a033',55464.09160530,13.070,0.047,1.152,11.249,0.035,1.297,,,,,,,1.0,31,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08605a069',55464.15769360,13.108,0.048,1.290,11.236,0.031,1.241,,,,,,,1.0,44,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08610a098',55464.35608590,13.042,0.048,1.126,11.209,0.030,1.194,,,,,,,1.0,70,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08609a075',55464.28999760,12.935,0.046,1.756,11.227,0.030,1.216,,,,,,,1.0,64,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08617a074',55464.55447820,12.989,0.045,1.281,11.226,0.029,1.214,,,,,,,1.0,47,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08613a036',55464.42230150,13.072,0.046,1.156,11.205,0.032,1.196,,,,,,,1.0,71,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08621a075',55464.68678210,13.041,0.043,1.127,11.228,0.033,1.216,,,,,,,1.0,25,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08617a075',55464.55460550,13.003,0.047,1.214,11.209,0.033,1.194,,,,,,,1.0,47,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08601a075',55464.02551640,13.135,0.050,1.463,11.236,0.038,1.241,,,,,,,1.0,18,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08625a075',55464.81908620,13.016,0.046,1.169,11.206,0.031,1.195,,,,,,,1.0,9,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08598a099',55463.95930070,13.024,0.046,1.147,11.258,0.038,1.350,,,,,,,1.0,8,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08601a074',55464.02538960,13.049,0.054,1.126,11.211,0.029,1.194,,,,,,,1.0,19,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08590a099',55463.69482000,13.053,0.047,1.128,11.207,0.032,1.195,,,,,,,1.0,23,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'08594a098',55463.82699670,13.070,0.048,1.151,11.202,0.032,1.198,,,,,,,1.0,9,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03112b174',55282.49299290,12.997,0.035,1.243,11.196,0.029,1.207,7.750,0.031,0.780,5.941,0.108,0.893,1.0,24,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03116a182',55282.62529700,13.092,0.040,1.220,11.220,0.031,1.202,,,,5.841,0.089,0.851,1.0,50,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03104a182',55282.22825750,13.067,0.036,1.145,11.229,0.027,1.219,7.740,0.030,0.774,5.834,0.089,0.851,1.0,11,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03108a181',55282.36056160,13.040,0.038,1.128,11.207,0.029,1.195,7.762,0.029,0.802,5.896,0.097,0.863,1.0,5,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03093b206',55281.89743370,13.026,0.039,1.144,11.220,0.030,1.202,7.716,0.028,0.808,5.835,0.082,0.851,1.0,65,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03102a159',55282.16216920,13.017,0.038,1.166,11.183,0.031,1.243,7.719,0.028,0.799,5.803,0.089,0.859,1.0,19,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03085b207',55281.63282560,13.045,0.032,1.126,11.204,0.027,1.196,7.755,0.029,0.786,5.808,0.081,0.857,1.0,51,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03082a140',55281.50052160,12.990,0.032,1.280,11.187,0.028,1.227,7.770,0.028,0.823,5.850,0.115,0.851,1.0,25,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03092a182',55281.83134540,13.119,0.035,1.354,11.181,0.028,1.248,7.738,0.030,0.774,5.862,0.118,0.852,1.0,71,b'0000',2.962974,282.674824
b'2796m576_ac51-046715',279.7748156,-57.2514194,b'18h39m05.96s',b'-57d15m05.11s',1,0,b'0000',b'03089b206',55281.76512970,13.091,0.036,1.214,11.179,0.026,1.257,7.755,0.028,0.786,5.931,0.112,0.885,1.0,68,b'0000',2.962974,282.674824
