source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05825b051',55372.24452090,9.160,0.030,3.752,8.149,0.026,2.443,5.248,0.017,1.361,3.016,0.027,0.911,1.0,76,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05828a026',55372.31060910,9.140,0.030,3.499,8.098,0.027,1.969,5.243,0.013,1.390,3.069,0.019,0.612,1.0,71,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11254a254',55551.80265050,8.970,0.028,3.758,8.011,0.021,2.359,,,,,,,0.5,68,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11257a231',55551.86886630,8.913,0.021,5.047,7.965,0.019,3.280,,,,,,,0.5,69,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05821b051',55372.11221720,9.152,0.033,3.637,8.146,0.030,2.397,5.238,0.017,1.432,3.050,0.018,0.674,1.0,94,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05824a026',55372.17830540,9.136,0.022,3.450,8.119,0.027,2.103,5.261,0.013,1.329,3.055,0.023,0.652,1.0,85,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11250a255',55551.67047340,8.945,0.019,4.241,7.989,0.025,2.746,,,,,,,1.0,74,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11253a231',55551.73656190,8.940,0.018,4.343,8.016,0.022,2.298,,,,,,,0.5,69,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05817b051',55371.97991340,9.111,0.030,3.226,8.142,0.030,2.350,5.249,0.016,1.355,3.091,0.019,0.607,1.0,110,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05820a026',55372.04600160,9.126,0.026,3.357,8.117,0.022,2.089,5.244,0.018,1.387,3.084,0.027,0.602,1.0,101,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11246b255',55551.53816900,8.932,0.022,4.551,7.987,0.018,2.781,,,,,,,1.0,92,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11249a230',55551.60425750,9.105,0.029,3.183,8.028,0.023,2.156,,,,,,,1.0,82,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05813b051',55371.84760960,9.121,0.023,3.305,8.136,0.021,2.277,5.248,0.016,1.360,3.103,0.023,0.630,1.0,120,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05816a026',55371.91369780,9.157,0.024,3.702,8.115,0.021,2.070,5.269,0.016,1.342,3.089,0.032,0.605,1.0,120,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11238a255',55551.27368740,8.967,0.027,3.820,8.021,0.017,2.230,,,,,,,1.0,122,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11241a231',55551.33977600,8.938,0.018,4.407,8.092,0.025,1.944,,,,,,,1.0,119,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05812a026',55371.78139400,9.113,0.024,3.240,8.138,0.019,2.295,5.278,0.012,1.386,3.083,0.022,0.602,1.0,111,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05812a027',55371.78152130,9.109,0.028,3.215,8.137,0.024,2.294,5.239,0.012,1.424,3.129,0.034,0.744,1.0,112,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11234b255',55551.14138300,8.958,0.020,3.982,8.079,0.022,1.916,,,,,,,1.0,102,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11237a230',55551.20747150,9.038,0.024,3.087,8.049,0.022,1.983,,,,,,,1.0,114,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05804a027',55371.51691390,9.187,0.034,4.163,8.107,0.024,2.017,5.297,0.016,1.587,3.113,0.029,0.663,1.0,74,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05809b051',55371.71530580,9.098,0.020,3.145,8.136,0.023,2.277,5.259,0.017,1.330,3.077,0.021,0.603,1.0,101,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11229a231',55550.94299010,9.009,0.022,3.270,8.018,0.018,2.261,,,,,,,1.0,74,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11230a254',55551.00907860,9.054,0.023,3.046,7.995,0.017,2.624,,,,,,,0.5,82,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'05805b051',55371.58300210,9.151,0.026,3.628,8.145,0.021,2.382,5.273,0.014,1.359,3.040,0.020,0.725,1.0,82,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11225a230',55550.81068560,8.988,0.023,3.502,7.974,0.017,3.055,,,,,,,1.0,68,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11226a255',55550.87690150,8.963,0.021,3.882,7.991,0.016,2.698,,,,,,,1.0,69,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11221a231',55550.67850860,8.924,0.024,4.757,7.997,0.025,2.578,,,,,,,1.0,73,b'0000',5.981958,142.251848
b'3212p575_ac51-002555',321.9391549,56.9430461,b'21h27m45.40s',b'56d56m34.97s',1,0,b'hh00',b'11222a255',55550.74459710,8.975,0.020,3.679,8.005,0.019,2.451,,,,,,,1.0,68,b'0000',5.981958,142.251848
