ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
346.9536558,22.7102878,b'23h07m48.88s',b'22d42m37.04s',0.0522,0.0484,-0.0087,11.519,0.029,37.7,47.560,10.856,0.023,47.7,10.610,1,0,b'0000',b'AA',10,58814.79306678,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.122173,76.710893
346.9536071,22.7103219,b'23h07m48.87s',b'22d42m37.16s',0.0403,0.0359,-0.0099,11.346,0.017,65.4,49.570,10.801,0.022,49.5,8.577,1,0,b'0000',b'AA',10,56643.38788315,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.156813,344.145145
346.9536282,22.7103277,b'23h07m48.87s',b'22d42m37.18s',0.0392,0.0359,-0.0126,11.257,0.018,60.6,54.360,10.828,0.023,47.9,6.331,1,0,b'0000',b'AA',10,56642.99249843,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.173868,9.010902
346.9535876,22.7103197,b'23h07m48.86s',b'22d42m37.15s',0.0392,0.0395,-0.0056,11.312,0.020,53.6,47.280,10.822,0.025,44.3,9.381,1,0,b'0000',b'AA',10,58814.20438369,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.178903,323.025891
346.9536016,22.7103272,b'23h07m48.86s',b'22d42m37.18s',0.0401,0.0387,-0.0084,11.353,0.020,54.2,47.110,10.844,0.024,44.6,11.940,1,0,b'0000',b'AA',10,58450.33929699,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.180585,340.221092
346.9536167,22.7103327,b'23h07m48.87s',b'22d42m37.20s',0.0397,0.0395,-0.0056,11.300,0.020,55.4,45.370,10.792,0.024,45.0,8.213,1,0,b'0000',b'AA',10,59181.47958060,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.190041,356.694058
346.9535639,22.7102912,b'23h07m48.86s',b'22d42m37.05s',0.0426,0.0411,-0.0117,11.275,0.023,48.2,43.040,10.854,0.022,49.9,12.170,1,0,b'0000',b'AA',10,58089.35614193,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.190612,282.211799
346.9535731,22.7103207,b'23h07m48.86s',b'22d42m37.15s',0.0354,0.0348,-0.0132,11.270,0.018,59.1,61.870,10.783,0.018,61.2,15.750,1,0,b'0000',b'AA',10,57007.94789701,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.21383,313.251061
346.9536032,22.7103391,b'23h07m48.86s',b'22d42m37.22s',0.0433,0.0395,0.0094,11.379,0.021,52.4,45.580,10.892,0.023,47.4,10.220,1,0,b'0000',b'AA',10,58450.79733212,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.219949,345.306463
346.9536117,22.7103412,b'23h07m48.87s',b'22d42m37.23s',0.0432,0.0408,0.0041,11.357,0.018,60.7,47.700,10.848,0.025,43.8,7.772,1,0,b'0000',b'AA',10,58814.59683910,3469122701351028973,11.333,0.022,10.869,0.020,7.840,0.020,5.356,0.036,83964600,13.584,0.0474,12.913,0.0510,12.455,0.0520,0.222044,352.869003
