ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
239.8756319,25.9201461,b'15h59m30.15s',b'25d55m12.53s',0.0234,0.0175,-0.0083,2.352,0.247,4.4,0.302,3.906,0.009,117.6,120.900,1,0,b'0000',b'BA',0,59050.63209288,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.072278,101.199712
239.8755510,25.9201737,b'15h59m30.13s',b'25d55m12.63s',0.0301,0.0262,-0.0160,3.512,0.073,14.9,2.707,4.440,0.016,69.5,44.100,1,0,b'0000',b'AA',5,57060.79350433,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.20923,294.066671
239.8755899,25.9202137,b'15h59m30.14s',b'25d55m12.77s',0.0123,0.0192,-0.0057,3.110,0.075,14.6,1.391,3.426,0.010,109.0,58.670,1,0,b'0000',b'AA',5,58159.34977281,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.238376,344.156098
239.8756805,25.9201156,b'15h59m30.16s',b'25d55m12.42s',0.0140,0.0159,-0.0105,3.068,0.058,18.6,7.248,3.379,0.007,151.7,360.800,1,0,b'h000',b'AA',5,58318.02990858,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.259695,118.480626
239.8756794,25.9201954,b'15h59m30.16s',b'25d55m12.70s',0.0475,0.0501,-0.0345,2.892,0.139,7.8,0.479,4.030,0.022,49.8,33.060,1,0,b'0000',b'BA',10,58158.95705681,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.277866,53.969832
239.8755304,25.9202016,b'15h59m30.13s',b'25d55m12.73s',0.0142,0.0140,-0.0097,3.279,0.088,12.4,0.855,3.731,0.007,160.0,86.860,1,0,b'0000',b'AA',10,58159.67703352,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.317696,305.782021
239.8756587,25.9202296,b'15h59m30.16s',b'25d55m12.83s',0.0283,0.0382,-0.0016,2.751,0.196,5.5,0.281,4.261,0.020,54.5,22.270,1,0,b'0000',b'BA',5,58159.21835921,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.327073,28.822368
239.8755233,25.9200975,b'15h59m30.13s',b'25d55m12.35s',0.0343,0.0239,-0.0143,3.155,0.091,11.9,1.117,4.089,0.013,84.8,86.110,1,0,b'0000',b'AA',10,56880.64636531,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.338416,236.049065
239.8755038,25.9201734,b'15h59m30.12s',b'25d55m12.62s',0.0177,0.0243,0.0086,2.780,0.104,10.5,0.697,3.253,0.011,100.3,45.740,1,0,b'0000',b'AA',10,58887.28686521,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.354023,283.765422
239.8754981,25.9201276,b'15h59m30.12s',b'25d55m12.46s',0.0377,0.0273,-0.0105,3.651,0.055,19.7,5.381,3.982,0.012,87.6,121.800,1,0,b'h000',b'AA',10,57428.45832331,2400125701351044116,4.537,0.181,4.501,0.077,4.412,0.014,4.232,0.026,988086209,5.996,0.0203,5.151,0.0417,4.809,0.0156,0.371179,257.45233
