ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
30.0793986,24.4736905,b'02h00m19.06s',b'24d28m25.29s',0.0390,0.0351,-0.0129,10.707,0.020,55.3,68.620,10.499,0.021,52.1,18.540,1,0,b'0000',b'AA',10,57232.63973127,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.070156,271.47052
30.0793811,24.4737099,b'02h00m19.05s',b'24d28m25.36s',0.0378,0.0372,-0.0128,10.898,0.018,59.8,62.330,10.591,0.019,57.2,19.280,1,0,b'0000',b'AA',10,57964.07967980,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.146214,299.339007
30.0794258,24.4737343,b'02h00m19.06s',b'24d28m25.44s',0.0341,0.0331,-0.0130,10.760,0.018,60.3,71.390,10.436,0.020,53.5,17.560,1,0,b'0000',b'AA',10,57043.16494213,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.160622,6.795437
30.0794035,24.4737328,b'02h00m19.06s',b'24d28m25.44s',0.0372,0.0368,-0.0103,10.876,0.020,54.1,66.900,10.532,0.018,59.5,17.480,1,0,b'0000',b'AA',10,58487.76522691,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.163277,340.665249
30.0794621,24.4737171,b'02h00m19.07s',b'24d28m25.38s',0.0369,0.0355,-0.0119,10.908,0.016,66.4,79.190,10.564,0.019,55.8,16.950,1,0,b'0000',b'AA',10,58487.89613047,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.168963,54.730097
30.0794128,24.4737381,b'02h00m19.06s',b'24d28m25.46s',0.0384,0.0422,-0.0156,10.784,0.020,53.1,51.350,10.455,0.025,44.0,9.387,1,0,b'0000',b'AA',10,58695.56715763,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.174762,352.241853
30.0794278,24.4737384,b'02h00m19.06s',b'24d28m25.46s',0.0355,0.0364,-0.0094,10.829,0.021,51.7,46.150,10.488,0.019,57.3,19.030,1,0,b'0000',b'AA',10,58488.09248579,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.176109,8.344486
30.0793967,24.4737399,b'02h00m19.06s',b'24d28m25.46s',0.0348,0.0372,-0.0095,10.770,0.019,56.0,60.330,10.543,0.020,53.4,18.260,1,0,b'0000',b'AA',10,58126.92749723,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.195191,336.975458
30.0794129,24.4737445,b'02h00m19.06s',b'24d28m25.48s',0.0340,0.0343,-0.0021,10.849,0.016,66.1,80.320,10.442,0.019,56.7,19.010,1,0,b'0000',b'AA',10,56870.40687892,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.197572,353.238001
30.0794204,24.4737534,b'02h00m19.06s',b'24d28m25.51s',0.0378,0.0411,0.0064,10.871,0.021,51.9,75.830,10.539,0.020,54.8,18.690,1,0,b'0000',b'AA',5,59059.48193850,297124201351044202,10.863,0.022,10.548,0.020,7.019,0.017,4.421,0.032,118471851,13.364,0.0600,12.469,0.0620,12.102,0.0490,0.228254,0.329005
