ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
116.0290199,29.2491737,b'07h44m06.96s',b'29d14m57.03s',0.0947,0.0907,0.0290,12.751,0.033,33.1,39.800,12.508,0.057,18.9,8.762,1,0,b'0000',b'AA',10,57117.05056245,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,0.152135,304.113219
116.0292968,29.2491856,b'07h44m07.03s',b'29d14m57.07s',0.0766,0.0821,-0.0140,12.858,0.029,37.7,59.040,12.875,0.083,13.1,5.003,1,0,b'0000',b'AA',10,59139.13259168,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,0.754751,80.223513
116.0294174,29.2491049,b'07h44m07.06s',b'29d14m56.78s',0.0812,0.0787,-0.0159,12.747,0.030,35.8,72.770,12.853,0.063,17.3,9.754,1,0,b'0000',b'AA',10,58407.57093302,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.134278,98.22947
116.0293757,29.2493490,b'07h44m07.05s',b'29d14m57.66s',0.0829,0.0948,-0.0050,12.794,0.031,34.9,54.780,12.948,0.097,11.2,4.050,1,0,b'0000',b'AA',10,59138.67481174,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.223329,54.153439
116.0294212,29.2492852,b'07h44m07.06s',b'29d14m57.43s',0.0824,0.0868,0.0165,12.829,0.032,34.3,55.180,12.677,0.065,16.7,13.420,1,0,b'0000',b'AA',10,57312.20794051,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.234529,66.780346
116.0294504,29.2490134,b'07h44m07.07s',b'29d14m56.45s',0.0812,0.0827,0.0142,12.778,0.030,36.6,65.170,12.891,0.078,13.9,5.357,1,0,b'0000',b'AA',10,58043.10022304,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.32118,111.85202
116.0294786,29.2492487,b'07h44m07.07s',b'29d14m57.30s',0.0763,0.0735,-0.0242,12.615,0.030,36.3,55.600,12.518,0.047,23.3,14.490,1,0,b'0000',b'AA',10,57311.48656992,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.361994,74.877459
116.0295102,29.2491079,b'07h44m07.08s',b'29d14m56.79s',0.0745,0.0840,-0.0187,12.802,0.029,37.2,68.620,12.793,0.067,16.2,9.071,1,0,b'0000',b'AA',10,59139.00181574,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.422183,96.117438
116.0294641,29.2493321,b'07h44m07.07s',b'29d14m57.60s',0.0854,0.1070,0.0174,12.677,0.037,29.3,49.530,12.854,0.107,10.2,3.884,1,0,b'0000',b'AA',10,57683.67168079,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.428579,62.684403
116.0294533,29.2489189,b'07h44m07.07s',b'29d14m56.11s',0.0746,0.0919,0.0074,12.837,0.032,34.4,55.650,12.776,0.055,19.9,10.970,1,0,b'0000',b'AA',10,58565.16440623,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.489386,123.958389
116.0294318,29.2494391,b'07h44m07.06s',b'29d14m57.98s',0.0744,0.0850,-0.0268,12.643,0.028,39.1,59.830,12.729,0.067,16.1,10.340,1,0,b'0000',b'AA',10,57312.01120303,,,,,,,,,,157872698,14.654,,15.017,0.1253,15.138,0.1628,1.564289,48.292675
116.0295837,29.2490241,b'07h44m07.10s',b'29d14m56.49s',0.0721,0.0800,-0.0183,12.727,0.029,37.5,73.350,12.690,0.081,13.3,10.110,1,0,b'0000',b'AA',10,59139.26336752,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.70625,105.404586
116.0296200,29.2491313,b'07h44m07.11s',b'29d14m56.87s',0.0759,0.0773,-0.0220,12.682,0.028,38.4,77.320,12.850,0.069,15.8,10.730,1,0,b'0000',b'AA',10,56950.12415863,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.760255,92.191644
116.0295464,29.2493966,b'07h44m07.09s',b'29d14m57.83s',0.0742,0.0781,-0.0289,12.661,0.026,42.1,63.260,12.749,0.071,15.4,9.492,1,0,b'0000',b'AA',10,58197.61481147,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.766988,59.840036
116.0296100,29.2493000,b'07h44m07.11s',b'29d14m57.48s',0.0892,0.0962,-0.0270,12.682,0.033,32.5,48.370,12.733,0.108,10.0,4.828,1,0,b'0000',b'AA',10,57683.67155347,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.809984,72.641641
116.0295611,29.2494592,b'07h44m07.09s',b'29d14m58.05s',0.0717,0.0744,-0.0171,12.739,0.028,38.2,69.350,12.685,0.059,18.4,9.048,1,0,b'0000',b'AA',10,57312.33922669,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.927792,54.731527
116.0296790,29.2491481,b'07h44m07.12s',b'29d14m56.93s',0.0702,0.0843,-0.0243,12.810,0.029,37.9,64.340,12.695,0.050,21.6,15.070,1,0,b'0h00',b'AA',10,58197.22209992,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.9443,90.201415
116.0295694,29.2494697,b'07h44m07.10s',b'29d14m58.09s',0.0763,0.0847,-0.0086,12.762,0.032,33.9,59.210,12.424,0.051,21.3,10.610,1,0,b'0000',b'AA',10,57312.47038494,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,1.970966,54.271957
116.0296989,29.2490616,b'07h44m07.13s',b'29d14m56.62s',0.0782,0.0772,0.0219,12.657,0.031,34.7,79.660,12.442,0.059,18.3,5.728,1,0,b'0000',b'AA',10,56950.45294512,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,2.03187,99.01085
116.0297027,29.2490553,b'07h44m07.13s',b'29d14m56.60s',0.0760,0.0786,-0.0203,12.743,0.028,39.3,43.920,12.562,0.081,13.5,5.278,2,0,b'0000',b'AA',10,58928.66472205,,,,,,,,,,157872699,15.676,0.0983,13.985,,13.733,,2.047315,99.585426
