source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02448a094',55260.51715200,10.697,0.033,19.710,10.250,0.029,12.260,,,,,,,1.0,30,b'0011',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02452a095',55260.64958330,10.731,0.027,20.520,10.264,0.044,12.660,,,,,,,0.5,70,b'0011',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02440a095',55260.25254410,10.817,0.027,22.990,10.223,0.033,11.550,,,,,,,1.0,14,b'0011',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02444a095',55260.38484800,10.780,0.030,21.870,10.275,0.029,12.990,,,,,,,0.5,6,b'0011',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02433b119',55260.05402440,10.738,0.034,20.700,10.217,0.037,11.380,7.128,0.020,3.204,4.712,0.048,1.289,0.5,46,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02436a095',55260.12024010,10.754,0.025,21.120,10.268,0.030,12.770,7.109,0.020,3.186,4.596,0.052,1.130,1.0,30,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02429b120',55259.92172040,10.806,0.027,22.660,10.266,0.034,12.700,7.075,0.024,3.311,4.587,0.037,1.143,1.0,87,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02432a095',55259.98793610,10.712,0.029,20.050,10.275,0.025,12.980,7.144,0.024,3.266,4.693,0.059,1.227,1.0,66,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07926a183',55441.74686390,10.336,0.024,20.050,9.793,0.020,11.010,,,,,,,1.0,14,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02425b120',55259.78941640,10.743,0.030,20.830,10.261,0.034,12.580,7.136,0.021,3.233,4.702,0.043,1.253,0.5,114,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'02417b119',55259.52468110,10.683,0.039,19.390,10.260,0.031,12.530,7.140,0.023,3.246,4.546,0.052,1.248,1.0,32,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07945a160',55442.34216890,10.297,0.022,21.550,9.774,0.020,11.720,,,,,,,1.0,112,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07934a184',55442.01147220,10.336,0.019,20.030,9.767,0.025,12.030,,,,,,,1.0,28,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07937a105',55442.07756060,10.319,0.020,20.670,9.752,0.020,12.670,,,,,,,1.0,46,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07941a160',55442.20986470,10.327,0.020,20.370,9.754,0.020,12.580,,,,,,,1.0,89,b'0000',0.151512,50.097098
b'2556m016_ac51-026137',256.2516523,-1.5412530,b'17h05m00.40s',b'-01d32m28.51s',1,0,b'0000',b'07933a159',55441.94525640,10.304,0.024,21.250,9.799,0.020,10.800,,,,,,,1.0,13,b'0000',0.151512,50.097098
