ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
274.0483701,42.6604093,b'18h16m11.61s',b'42d39m37.47s',0.0331,0.0324,0.0128,10.861,0.017,63.8,179.400,10.292,0.019,58.4,5.667,1,0,b'0000',b'AA',10,58009.16936280,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,0.696803,65.813882
274.0483968,42.6605205,b'18h16m11.62s',b'42d39m37.87s',0.0366,0.0407,-0.0080,11.191,0.020,53.9,98.180,10.402,0.021,52.9,20.760,1,0,b'0000',b'AA',10,57285.75536095,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,0.984483,45.844415
274.0484688,42.6604790,b'18h16m11.63s',b'42d39m37.72s',0.0333,0.0336,-0.0100,10.883,0.016,68.3,65.780,10.250,0.019,58.2,15.520,1,0,b'0000',b'AA',10,57473.28663360,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.045091,59.118831
274.0484997,42.6604417,b'18h16m11.64s',b'42d39m37.59s',0.0305,0.0337,-0.0064,10.906,0.019,57.3,21.470,10.049,0.015,74.6,12.160,1,0,b'0000',b'AA',10,57473.94191639,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.058122,67.664256
274.0484335,42.6605388,b'18h16m11.62s',b'42d39m37.94s',0.0361,0.0342,-0.0039,10.846,0.019,57.9,45.580,10.049,0.019,56.1,14.220,1,0,b'0000',b'AA',10,58936.46646488,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.100275,46.907597
274.0485121,42.6604526,b'18h16m11.64s',b'42d39m37.63s',0.0408,0.0448,-0.0218,11.173,0.022,50.2,27.490,10.250,0.020,54.6,11.370,1,0,b'0000',b'AA',10,58572.11884524,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.103657,66.427526
274.0484282,42.6605490,b'18h16m11.62s',b'42d39m37.98s',0.0362,0.0332,-0.0090,10.665,0.019,55.9,55.890,10.000,0.019,58.6,15.250,1,0,b'0000',b'AA',10,59099.22276317,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.115707,45.037954
274.0484842,42.6605023,b'18h16m11.64s',b'42d39m37.81s',0.0343,0.0393,-0.0075,10.897,0.020,53.8,52.230,10.111,0.019,58.0,14.660,1,0,b'0000',b'AA',5,58936.92437211,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.12429,56.515649
274.0484741,42.6605205,b'18h16m11.63s',b'42d39m37.87s',0.0332,0.0364,-0.0145,10.881,0.016,67.3,61.200,10.079,0.018,58.9,15.760,1,0,b'0000',b'AA',10,57473.61427500,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.14025,53.026359
274.0484690,42.6605269,b'18h16m11.63s',b'42d39m37.90s',0.0336,0.0321,-0.0101,10.964,0.017,62.1,26.890,10.038,0.017,64.7,13.730,1,0,b'0000',b'AA',10,58936.33568876,,,,,,,,,,303838172,14.320,0.0460,13.448,0.0430,12.932,0.0405,1.14363,51.697216
