source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04613b110',55332.16499710,11.496,0.027,32.520,10.891,0.031,8.744,7.269,0.023,2.413,4.417,0.049,0.788,1.0,35,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04613b109',55332.16486980,11.401,0.034,32.920,10.980,0.025,8.131,7.146,0.026,3.460,4.386,0.027,0.819,1.0,36,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04620a085',55332.36338940,11.460,0.023,32.510,10.990,0.026,8.132,7.229,0.023,2.471,4.426,0.034,0.790,1.0,17,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04616a084',55332.23108540,11.518,0.023,32.600,10.916,0.029,8.454,7.244,0.023,2.421,4.445,0.028,0.809,1.0,28,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10002a191',55510.39635280,11.453,0.022,32.530,10.998,0.023,8.143,,,,,,,1.0,99,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04624a085',55332.49569340,11.445,0.024,32.570,10.852,0.032,9.424,7.272,0.022,2.419,4.417,0.038,0.788,1.0,33,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10010a192',55510.66096100,11.441,0.026,32.590,10.959,0.026,8.170,,,,,,,1.0,35,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10006b192',55510.52865690,11.451,0.030,32.540,10.966,0.034,8.151,,,,,,,1.0,59,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10017a168',55510.85935350,11.327,0.026,34.260,10.935,0.031,8.295,,,,,,,1.0,16,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10014a191',55510.79313780,11.455,0.023,32.530,11.073,0.028,8.614,,,,,,,1.0,17,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10021a167',55510.99153020,11.349,0.028,33.750,11.003,0.026,8.154,,,,,,,1.0,33,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10018a192',55510.92544180,11.488,0.026,32.500,11.022,0.029,8.222,,,,,,,1.0,21,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10025a167',55511.12383430,11.418,0.023,32.750,11.073,0.030,8.615,,,,,,,1.0,68,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10022a192',55511.05774590,11.438,0.025,32.600,10.978,0.024,8.132,,,,,,,1.0,49,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10033a167',55511.38831510,11.360,0.029,33.530,10.975,0.026,8.134,,,,,,,1.0,101,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'10029a168',55511.25613840,11.555,0.028,32.870,11.007,0.024,8.164,,,,,,,1.0,111,b'0000',0.133727,230.159895
b'3182p121_ac51-007597',318.1028309,11.4086562,b'21h12m24.68s',b'11d24m31.16s',1,0,b'0000',b'04609b109',55332.03256580,11.336,0.025,34.030,10.925,0.030,8.365,7.211,0.026,2.579,4.428,0.033,0.791,1.0,60,b'0000',0.133727,230.159895
