source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'12008a109',55576.68707980,11.062,0.019,8.714,10.376,0.019,3.431,,,,,,,1.0,84,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'11988a109',55576.02581250,11.109,0.027,7.143,10.382,0.023,3.312,,,,,,,1.0,57,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'01005b131',55212.81260140,11.350,0.025,5.564,10.565,0.025,2.404,7.649,0.028,1.087,5.192,0.075,0.961,1.0,123,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'12004a108',55576.55477540,11.092,0.026,7.656,10.404,0.030,2.881,,,,,,,0.5,43,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'11985b133',55575.95959670,11.087,0.021,7.823,10.377,0.021,3.427,,,,,,,1.0,78,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'11996a109',55576.29029390,11.100,0.021,7.399,10.381,0.022,3.324,,,,,,,1.0,13,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'12000a060',55576.42259830,11.050,0.021,9.227,10.361,0.020,3.808,,,,,,,1.0,15,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'11977b133',55575.69511530,11.085,0.018,7.892,10.413,0.021,2.728,,,,,,,1.0,87,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'11981b134',55575.82741960,11.099,0.026,7.446,10.370,0.024,3.571,,,,,,,1.0,120,b'0000',0.064178,63.707161
b'2072p015_ac51-052029',207.4701860,2.0792079,b'13h49m52.84s',b'02d04m45.15s',1,0,b'0000',b'06337a110',55389.15927630,11.405,0.029,6.338,10.602,0.024,2.835,7.671,0.030,1.138,5.210,0.072,0.955,1.0,76,b'0000',0.064178,63.707161
