ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
207.4701693,2.0791997,b'13h49m52.84s',b'02d04m45.12s',0.0351,0.0356,-0.0082,11.217,0.020,54.1,8.447,10.372,0.021,52.3,1.346,1,0,b'0000',b'AA',10,58498.06636912,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.003074,246.787744
207.4701703,2.0792015,b'13h49m52.84s',b'02d04m45.13s',0.0364,0.0381,-0.0115,11.347,0.018,60.7,5.414,10.605,0.022,50.0,1.915,1,0,b'0000',b'AA',10,56853.33994086,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.005324,11.302678
207.4701680,2.0791988,b'13h49m52.84s',b'02d04m45.12s',0.0339,0.0378,-0.0150,11.071,0.017,63.6,6.374,10.306,0.021,52.3,0.997,1,0,b'0000',b'AA',10,57571.16031054,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.008132,239.019594
207.4701714,2.0791965,b'13h49m52.84s',b'02d04m45.11s',0.0326,0.0372,-0.0111,11.135,0.018,59.9,10.220,10.316,0.019,55.9,2.657,1,0,b'0000',b'AA',5,58658.97194823,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.013397,158.211599
207.4701698,2.0792041,b'13h49m52.84s',b'02d04m45.13s',0.0338,0.0336,-0.0056,10.987,0.018,60.9,4.585,10.257,0.020,54.3,2.581,1,0,b'0000',b'AA',10,59023.42282325,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.01474,357.209133
207.4701758,2.0792004,b'13h49m52.84s',b'02d04m45.12s',0.0326,0.0346,-0.0139,11.006,0.017,65.0,5.160,10.243,0.017,64.7,2.163,1,0,b'0000',b'AA',10,59023.35737163,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.020846,86.052223
207.4701760,2.0791999,b'13h49m52.84s',b'02d04m45.12s',0.0327,0.0371,-0.0116,11.040,0.017,64.1,4.373,10.230,0.019,56.1,1.964,1,0,b'0000',b'AA',10,58134.41727038,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.021515,90.95547
207.4701761,2.0791991,b'13h49m52.84s',b'02d04m45.12s',0.0311,0.0341,-0.0118,11.065,0.016,66.5,6.854,10.236,0.016,66.1,1.669,1,0,b'0000',b'AA',10,58295.44795130,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.022164,98.398376
207.4701743,2.0791949,b'13h49m52.84s',b'02d04m45.10s',0.0344,0.0451,-0.0060,11.077,0.021,52.0,4.267,10.278,0.019,58.6,1.003,1,0,b'0000',b'AA',10,57931.38214813,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.024005,139.883109
207.4701705,2.0791933,b'13h49m52.84s',b'02d04m45.10s',0.0336,0.0358,-0.0087,11.099,0.019,58.6,5.483,10.309,0.019,56.1,2.589,1,0,b'0000',b'AA',10,57571.02927998,2072101501351052029,11.265,0.023,10.500,0.020,7.639,0.017,5.216,0.032,866975302,13.671,0.0603,12.845,0.0581,11.882,0.0390,0.024201,175.734906
