source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02493b078',55262.03412740,11.860,0.027,2.583,11.049,0.028,1.433,8.703,0.052,1.025,6.802,0.210,1.081,1.0,71,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02498a017',55262.16643140,11.811,0.028,2.161,11.043,0.026,1.412,8.744,0.054,0.944,6.886,0.207,1.123,1.0,50,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02489b078',55261.90182340,11.816,0.027,2.190,11.007,0.028,1.384,8.781,0.056,0.923,6.598,0.186,1.035,1.0,108,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02492a053',55261.96791170,11.804,0.028,2.126,11.099,0.028,1.808,8.796,0.052,0.927,6.983,0.229,1.184,1.0,89,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'08005a201',55444.33118760,11.673,0.024,2.948,10.976,0.026,1.519,,,,,,,1.0,123,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'08009a173',55444.46349180,11.712,0.026,2.390,10.996,0.029,1.413,,,,,,,1.0,84,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02485b078',55261.76951930,11.828,0.028,2.269,11.080,0.028,1.628,8.733,0.067,0.959,6.609,0.185,1.035,1.0,115,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'02488a053',55261.83560770,11.825,0.028,2.248,11.030,0.026,1.378,8.918,0.062,1.186,6.721,0.174,1.051,1.0,128,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'07999a147',55444.13279520,11.739,0.024,2.163,10.964,0.027,1.618,,,,,,,1.0,79,b'0000',0.093832,169.143423
b'2609p242_ac51-041708',260.6718554,24.6053544,b'17h22m41.25s',b'24d36m19.28s',1,0,b'0000',b'08001a159',55444.19888360,11.710,0.030,2.406,10.961,0.029,1.648,,,,,,,1.0,99,b'0000',0.093832,169.143423
