ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
260.6718490,24.6053787,b'17h22m41.24s',b'24d36m19.36s',0.0496,0.0487,-0.0187,12.197,0.026,42.5,2.047,11.354,0.026,42.2,0.611,1,0,b'0000',b'AA',10,57088.77273066,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.005324,214.968261
260.6718517,24.6053799,b'17h22m41.24s',b'24d36m19.37s',0.0404,0.0427,-0.0138,12.135,0.020,53.6,2.247,11.312,0.022,48.8,1.687,1,0,b'0000',b'AA',10,56726.67458333,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.005324,93.701782
260.6718503,24.6053774,b'17h22m41.24s',b'24d36m19.36s',0.0441,0.0438,-0.0158,11.894,0.021,50.8,2.014,11.116,0.026,41.3,0.778,1,0,b'0000',b'AA',10,58551.18701310,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.009221,174.011158
260.6718526,24.6053813,b'17h22m41.24s',b'24d36m19.37s',0.0454,0.0443,-0.0206,11.916,0.020,55.5,3.288,11.117,0.027,40.0,1.186,1,0,b'0000',b'AA',10,58186.77308766,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.00972,61.19203
260.6718499,24.6053835,b'17h22m41.24s',b'24d36m19.38s',0.0480,0.0457,-0.0180,12.205,0.021,51.4,2.376,11.422,0.025,43.5,1.329,1,0,b'0000',b'AA',10,57087.98463588,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.012673,358.511959
260.6718497,24.6053837,b'17h22m41.24s',b'24d36m19.38s',0.0441,0.0450,-0.0102,11.956,0.022,49.9,1.075,11.154,0.023,47.5,0.955,1,0,b'0000',b'AA',10,58915.60646767,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.013397,355.783858
260.6718518,24.6053756,b'17h22m41.24s',b'24d36m19.35s',0.0481,0.0545,-0.0177,12.110,0.025,42.9,1.347,11.290,0.025,43.5,1.017,1,0,b'0000',b'AA',10,56726.80625066,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.016835,159.597605
260.6718468,24.6053756,b'17h22m41.24s',b'24d36m19.35s',0.0419,0.0494,-0.0159,11.938,0.023,46.2,1.648,11.178,0.024,44.8,1.192,1,0,b'0000',b'AA',5,58347.28067285,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.018947,213.474042
260.6718553,24.6053829,b'17h22m41.25s',b'24d36m19.38s',0.0503,0.0446,-0.0174,11.942,0.023,47.2,2.585,11.148,0.024,44.4,1.139,1,0,b'0000',b'AA',10,58184.28552788,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.020155,58.959774
260.6718536,24.6053739,b'17h22m41.24s',b'24d36m19.35s',0.0452,0.0440,-0.0102,11.865,0.022,50.2,3.837,11.131,0.023,47.7,0.736,1,0,b'0000',b'AA',10,58551.05610950,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.02497,151.783091
260.6718431,24.6053759,b'17h22m41.24s',b'24d36m19.35s',0.0427,0.0445,-0.0215,11.778,0.020,55.0,1.609,11.079,0.023,48.0,0.639,1,0,b'0000',b'AA',10,57819.30894790,2609124201351041708,11.775,0.022,11.020,0.020,8.780,0.023,6.618,0.053,1014552380,15.203,0.0591,14.388,0.0681,13.443,0.0453,0.026971,236.833503
