source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'11366a054',55555.45890900,11.994,0.026,14.400,12.014,0.042,3.959,,,,,,,0.5,27,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'11369b133',55555.59121340,12.051,0.027,14.440,12.150,0.051,4.171,,,,,,,1.0,57,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05757a149',55369.97651190,12.020,0.028,14.370,12.042,0.042,3.919,10.798,0.334,0.861,7.573,,0.992,1.0,33,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05761a085',55370.10881570,11.982,0.028,14.440,12.017,0.035,3.953,10.665,0.281,0.878,7.319,,0.954,1.0,65,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05749a149',55369.71190430,12.013,0.028,14.370,12.113,0.044,4.019,10.659,,0.967,7.431,,0.952,1.0,32,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05753a149',55369.84420810,11.998,0.027,14.390,12.075,0.043,3.933,10.523,,0.907,6.959,,1.025,1.0,19,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05745a148',55369.57960050,12.018,0.028,14.370,11.989,0.042,4.034,11.180,0.504,0.881,7.459,,0.954,1.0,49,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05746a172',55369.64568880,12.004,0.026,14.380,11.970,0.038,4.122,11.011,0.493,0.864,7.591,,0.954,1.0,39,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05743a110',55369.51338500,11.958,0.027,14.580,12.079,0.036,3.938,10.707,0.286,0.871,7.518,,0.953,1.0,65,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05743a111',55369.51351230,11.932,0.030,14.830,12.037,0.042,3.923,10.433,0.259,0.961,7.806,,1.028,1.0,65,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05738a173',55369.38120860,11.922,0.028,14.940,12.067,0.044,3.923,11.301,0.509,0.898,7.118,,0.995,1.0,105,b'0000',0.046308,316.336856
b'1899p090_ac51-040739',189.5933010,9.5283293,b'12h38m22.39s',b'09d31m41.99s',1,0,b'0000',b'05741a099',55369.44729680,12.068,0.027,14.510,12.084,0.035,3.947,10.438,0.231,0.958,7.173,,0.965,1.0,84,b'0000',0.046308,316.336856
