source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02870b214',55274.52176790,11.609,0.035,5.015,10.704,0.027,2.069,6.492,0.022,1.986,3.372,0.044,0.720,1.0,94,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02873a189',55274.58785630,11.614,0.031,5.095,10.673,0.028,1.989,6.454,0.019,1.990,3.374,0.025,0.726,1.0,85,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02866a214',55274.38946390,11.593,0.030,5.057,10.649,0.030,1.987,6.487,0.018,1.966,3.403,0.027,0.766,1.0,111,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02869a141',55274.45555230,11.588,0.030,5.036,10.666,0.029,1.967,6.462,0.021,1.958,3.388,0.026,0.734,1.0,101,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02862a214',55274.25715990,11.601,0.031,5.077,10.655,0.024,1.974,6.465,0.020,1.952,3.398,0.032,0.752,1.0,120,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02865a190',55274.32324820,11.590,0.031,5.017,10.647,0.024,2.003,6.464,0.020,1.954,3.407,0.022,0.774,1.0,122,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02859a146',55274.12485590,11.545,0.031,5.163,10.646,0.025,1.997,6.468,0.021,1.947,3.347,0.029,0.781,1.0,100,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02861a190',55274.19094420,11.571,0.025,5.031,10.681,0.022,2.005,6.471,0.017,1.944,3.413,0.039,0.799,1.0,111,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'08641b089',55465.38000900,11.516,0.038,5.242,10.667,0.035,1.975,,,,,,,1.0,70,b'0000',0.123671,305.200234
b'0990p636_ac51-036411',97.6064767,63.6781298,b'06h30m25.55s',b'63d40m41.27s',2,0,b'd000',b'02859a145',55274.12472850,11.580,0.031,5.016,10.703,0.033,2.088,6.491,0.020,1.974,3.391,0.023,0.739,1.0,100,b'0000',0.123671,305.200234
