ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
106.8046438,64.5997355,b'07h07m13.11s',b'64d35m59.05s',0.0322,0.0332,-0.0036,10.675,0.017,64.1,13.760,9.726,0.019,57.9,5.623,1,0,b'0000',b'AA',5,58392.44815706,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.149441,263.776304
106.8046288,64.5997114,b'07h07m13.11s',b'64d35m58.96s',0.0352,0.0315,0.0080,10.740,0.021,52.7,2.868,9.754,0.015,70.2,1.396,1,0,b'0000',b'AA',10,58549.66583115,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.200208,239.052938
106.8046257,64.5997086,b'07h07m13.11s',b'64d35m58.95s',0.0320,0.0313,-0.0052,10.499,0.018,61.4,27.180,9.706,0.016,69.7,15.070,1,0,b'0000',b'AA',5,56743.18520289,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.209591,237.362391
106.8046230,64.5997104,b'07h07m13.11s',b'64d35m58.96s',0.0313,0.0299,-0.0107,10.507,0.018,59.5,3.302,9.619,0.016,67.6,1.515,1,0,b'0000',b'AA',10,57296.91921568,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.209748,239.467656
106.8046022,64.5997352,b'07h07m13.10s',b'64d35m59.05s',0.0302,0.0297,-0.0028,10.660,0.018,59.9,3.346,9.665,0.016,67.6,1.565,1,0,b'0000',b'AA',10,56935.84800561,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.213498,265.357402
106.8046039,64.5997274,b'07h07m13.10s',b'64d35m59.02s',0.0327,0.0311,-0.0112,10.651,0.017,65.6,3.537,9.745,0.018,60.0,1.824,1,0,b'0000',b'AA',5,58028.62609890,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.214997,257.820606
106.8046173,64.5997110,b'07h07m13.11s',b'64d35m58.96s',0.0306,0.0292,-0.0098,10.523,0.015,70.5,3.215,9.668,0.017,65.3,1.711,1,0,b'0000',b'AA',10,57464.88472698,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.216333,241.144966
106.8045969,64.5997341,b'07h07m13.10s',b'64d35m59.04s',0.0304,0.0313,-0.0071,10.619,0.017,65.3,5.228,9.756,0.016,67.8,1.674,1,0,b'0000',b'AA',10,58759.47176018,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.222001,264.509626
106.8046042,64.5997171,b'07h07m13.11s',b'64d35m58.98s',0.0299,0.0319,-0.0073,10.646,0.018,59.2,3.732,9.748,0.015,73.4,1.164,1,0,b'0000',b'AA',10,58549.99296294,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.225317,248.538622
106.8045930,64.5997296,b'07h07m13.10s',b'64d35m59.03s',0.0327,0.0311,0.0086,10.754,0.019,56.2,2.714,9.784,0.015,71.3,2.404,1,0,b'0000',b'AA',10,57664.40638933,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.230068,260.634152
106.8045907,64.5997387,b'07h07m13.10s',b'64d35m59.06s',0.0313,0.0284,-0.0113,10.730,0.016,66.0,5.012,9.758,0.015,73.3,2.264,1,0,b'0000',b'AA',10,57664.01342297,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.230601,268.837145
106.8045977,64.5997197,b'07h07m13.10s',b'64d35m58.99s',0.0341,0.0331,0.0079,10.423,0.026,42.5,3.909,9.594,0.015,73.1,1.184,1,0,b'0000',b'AA',10,59123.75833337,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.231562,251.604007
106.8046050,64.5997114,b'07h07m13.11s',b'64d35m58.96s',0.0300,0.0304,-0.0077,10.516,0.016,67.6,2.882,9.621,0.016,67.2,1.075,1,0,b'0000',b'AA',10,57461.54221977,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.232498,243.715439
106.8046254,64.5996969,b'07h07m13.11s',b'64d35m58.91s',0.0318,0.0281,-0.0103,10.604,0.017,63.4,2.543,9.722,0.015,70.8,1.138,1,0,b'0000',b'AA',10,58186.03630564,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.235345,228.756029
106.8045871,64.5997227,b'07h07m13.10s',b'64d35m59.00s',0.0282,0.0290,-0.0105,10.651,0.016,67.0,2.048,9.716,0.014,75.9,0.807,1,0,b'0000',b'AA',10,56935.45338539,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.24419,255.223148
106.8046085,64.5997023,b'07h07m13.11s',b'64d35m58.93s',0.0288,0.0267,-0.0096,10.539,0.014,76.0,1.746,9.652,0.015,73.3,0.967,1,0,b'0000',b'AA',10,56743.58020894,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.244249,236.242323
106.8045821,64.5997356,b'07h07m13.10s',b'64d35m59.05s',0.0298,0.0293,-0.0068,10.685,0.016,66.4,2.411,9.708,0.015,71.8,1.427,1,0,b'0000',b'AA',10,56935.05876523,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.244345,266.283114
106.8045911,64.5997164,b'07h07m13.10s',b'64d35m58.98s',0.0303,0.0289,-0.0095,10.549,0.016,69.8,2.186,9.671,0.015,70.8,1.991,1,0,b'0000',b'AA',10,58917.02896066,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.245117,249.7205
106.8045781,64.5997421,b'07h07m13.10s',b'64d35m59.07s',0.0309,0.0306,-0.0077,10.646,0.017,63.8,3.954,9.730,0.016,67.7,2.009,1,0,b'0000',b'AA',5,56934.99305882,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.250115,271.732149
106.8045917,64.5997100,b'07h07m13.10s',b'64d35m58.96s',0.0324,0.0318,-0.0131,10.771,0.016,68.2,5.152,9.804,0.017,64.3,0.749,1,0,b'0000',b'AA',10,57826.49592940,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.253193,244.750978
106.8045778,64.5997256,b'07h07m13.10s',b'64d35m59.01s',0.0304,0.0317,-0.0145,10.725,0.017,65.2,48.310,9.811,0.015,71.9,36.630,1,0,b'0000',b'AA',0,58028.16780956,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.255773,258.30645
106.8045806,64.5997199,b'07h07m13.10s',b'64d35m58.99s',0.0254,0.0273,-0.0094,10.500,0.016,66.9,2.655,9.615,0.013,83.7,1.906,1,0,b'0000',b'AA',10,57297.64071292,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.256566,253.618004
106.8045751,64.5997310,b'07h07m13.10s',b'64d35m59.03s',0.0303,0.0284,-0.0088,10.431,0.015,71.0,3.566,9.593,0.016,68.8,1.190,1,0,b'0000',b'AA',10,59123.69300907,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.256695,262.748686
106.8045743,64.5997321,b'07h07m13.10s',b'64d35m59.04s',0.0289,0.0287,-0.0115,10.635,0.015,72.4,5.879,9.728,0.015,73.5,2.425,1,0,b'0000',b'AA',10,58395.26245104,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.257448,263.657693
106.8045753,64.5997277,b'07h07m13.10s',b'64d35m59.02s',0.0317,0.0316,-0.0109,10.727,0.017,62.6,2.883,9.782,0.016,68.9,0.914,1,0,b'0000',b'AA',10,57664.07887495,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.258145,260.123494
106.8045737,64.5997308,b'07h07m13.10s',b'64d35m59.03s',0.0296,0.0317,-0.0088,10.489,0.018,61.7,3.392,9.555,0.016,68.9,2.693,1,0,b'0000',b'AA',10,57300.39554473,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.25893,262.65102
106.8045898,64.5997070,b'07h07m13.10s',b'64d35m58.95s',0.0318,0.0287,-0.0046,10.647,0.017,63.6,3.614,9.750,0.016,67.2,1.312,1,0,b'0000',b'AA',10,58549.92763844,1083165101351010227,10.440,0.023,9.518,0.019,7.100,0.016,4.966,0.032,535071464,13.674,0.0452,12.733,0.0384,11.690,0.0220,0.260585,242.878093
