ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
358.9590702,25.5010830,b'23h55m50.18s',b'25d30m03.90s',0.7399,0.6104,-0.2506,16.453,0.323,3.4,1.964,13.973,0.294,3.7,0.970,1,0,b'0000',b'BB',10,57019.25069434,,,,,,,,,,,,,,,,,1.382762,48.800514
358.9591786,25.5010743,b'23h55m50.20s',b'25d30m03.87s',1.0568,1.0068,-0.6112,16.051,0.313,3.5,0.859,14.868,,0.6,0.843,1,0,b'0000',b'BU',10,58667.43685194,,,,,,,,,,,,,,,,,1.6471,57.726714
358.9582046,25.5004128,b'23h55m49.97s',b'25d30m01.49s',0.9285,0.9403,-0.2948,16.237,0.313,3.5,1.155,15.399,,-1.6,0.959,1,0,b'0000',b'BU',5,57935.20559060,,,,,,,,,,,,,,,,,2.323,229.718616
358.9582656,25.5002793,b'23h55m49.98s',b'25d30m01.01s',0.6414,0.6699,0.1718,15.799,0.272,4.0,1.034,15.130,,-1.9,0.514,1,0,b'0000',b'BU',10,57739.45283797,,,,,,,,,,,,,,,,,2.531349,218.446775
358.9571869,25.5009327,b'23h55m49.72s',b'25d30m03.36s',1.6100,1.1684,0.4217,16.996,,-1.0,0.355,14.242,0.463,2.3,0.387,1,0,b'0000',b'UC',10,58666.84816970,,,,,,,,,,,,,,,,,5.092394,274.163811
358.9582857,25.4994529,b'23h55m49.99s',b'25d29m58.03s',1.3098,1.7848,-1.0812,15.788,0.400,2.7,0.637,15.495,,-0.9,0.652,1,0,b'0000',b'CU',10,59192.33399538,,,,,,,,,,,,,,,,,5.18203,196.925803
358.9600990,25.4996875,b'23h55m50.42s',b'25d29m58.88s',1.6026,1.3715,-0.4304,15.955,,1.8,0.968,15.000,,1.2,0.908,1,0,b'0000',b'UU',5,57380.64491267,,,,,,,,,,,,,,,,,6.010835,133.177488
358.9605360,25.4999551,b'23h55m50.53s',b'25d29m59.84s',0.7075,0.6432,-0.3239,15.911,0.224,4.9,1.008,15.546,,-0.5,0.558,1,0,b'0000',b'BU',10,57018.52779515,,,,,,,,,,,,,,,,,6.602868,118.489976
358.9566389,25.5006272,b'23h55m49.59s',b'25d30m02.26s',0.8234,0.9064,0.3417,17.213,,-0.8,1.118,14.204,0.341,3.2,0.612,1,0,b'0000',b'UB',5,57204.62416295,,,,,,,,,,,,,,,,,6.898313,263.925203
358.9600950,25.4993044,b'23h55m50.42s',b'25d29m57.50s',0.8922,0.7514,-0.0249,16.162,0.308,3.5,1.364,15.180,,-1.6,1.206,1,0,b'0000',b'BU',5,58299.72739067,,,,,,,,,,,,,,,,,7.018795,141.489143
358.9609058,25.5009698,b'23h55m50.62s',b'25d30m03.49s',1.2149,1.1986,-0.4864,16.571,0.391,2.8,0.729,15.062,,1.2,0.800,1,0,b'0000',b'CU',5,56842.70864975,,,,,,,,,,,,,,,,,7.02286,85.89002
358.9579786,25.4989535,b'23h55m49.91s',b'25d29m56.23s',1.3304,1.7280,0.0905,15.060,,1.6,0.774,14.266,,1.3,0.743,1,0,b'0000',b'UU',10,59031.36080590,,,,,,,,,,,,,,,,,7.205419,200.35699
358.9608716,25.5001858,b'23h55m50.61s',b'25d30m00.67s',1.4147,1.3421,-0.1391,16.416,,1.4,1.613,14.856,0.447,2.4,0.493,1,0,b'0000',b'UC',5,57935.33649380,,,,,,,,,,,,,,,,,7.273336,108.593073
358.9609007,25.5002133,b'23h55m50.62s',b'25d30m00.77s',1.5008,1.2430,0.2116,16.564,0.400,2.7,0.878,15.354,,0.5,0.748,1,0,b'0000',b'CU',10,57203.90242394,,,,,,,,,,,,,,,,,7.332437,107.624229
358.9610424,25.5007050,b'23h55m50.65s',b'25d30m02.54s',0.6649,0.6707,-0.3306,16.105,0.267,4.1,1.038,13.434,0.331,3.3,0.647,1,0,b'0000',b'BB',5,59031.09925372,,,,,,,,,,,,,,,,,7.462244,93.456744
