source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07377a068',55423.54669420,9.454,0.017,37.780,9.657,0.032,7.391,,,,,,,1.0,48,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07378a091',55423.61278250,9.541,0.016,37.790,9.706,0.023,7.727,,,,,,,1.0,36,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07373a019',55423.41439010,9.483,0.025,37.780,9.647,0.023,7.368,,,,,,,1.0,72,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07375a019',55423.48047850,9.553,0.022,37.800,9.705,0.025,7.715,,,,,,,1.0,61,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07366a092',55423.21599760,9.403,0.020,37.800,9.637,0.036,7.362,,,,,,,1.0,55,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07370a091',55423.34817440,9.744,0.026,37.990,9.651,0.023,7.373,,,,,,,1.0,70,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07446a093',55425.86169720,9.561,0.023,37.800,9.660,0.023,7.398,,,,,,,1.0,7,b'0011',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07442a094',55425.72952040,9.465,0.021,37.780,9.653,0.030,7.378,,,,,,,1.0,18,b'0011',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07453a070',55426.06021690,9.491,0.017,37.780,9.605,0.030,7.464,,,,,,,1.0,25,b'0011',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07450a093',55425.99400130,9.319,0.017,37.880,9.657,0.022,7.390,,,,,,,1.0,13,b'0011',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07358a092',55422.95138950,9.568,0.025,37.800,9.688,0.030,7.565,,,,,,,1.0,6,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'01988a185',55245.31009730,9.368,0.018,37.820,9.592,0.021,7.561,6.919,0.028,1.230,4.470,0.044,0.846,1.0,5,b'0000',0.120067,55.06824
b'2239m561_ac51-037308',222.8880985,-55.6773109,b'14h51m33.14s',b'-55d40m38.32s',1,0,b'HHd0',b'07457a070',55426.19252100,9.733,0.024,37.970,9.669,0.023,7.441,,,,,,,1.0,50,b'0011',0.120067,55.06824
