ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
244.6518505,-59.4548199,b'16h18m36.44s',b'-59d27m17.35s',0.0344,0.0327,0.0077,10.691,0.018,60.5,19.140,10.134,0.019,57.4,4.323,1,0,b'0000',b'AA',10,57623.82379329,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.019195,88.926428
244.6518413,-59.4548111,b'16h18m36.44s',b'-59d27m17.32s',0.0331,0.0363,-0.0064,10.478,0.021,52.3,9.010,9.839,0.019,56.9,3.731,1,0,b'h000',b'AA',5,58711.09790424,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.032089,4.245511
244.6518656,-59.4548151,b'16h18m36.45s',b'-59d27m17.33s',0.0295,0.0320,-0.0009,10.568,0.016,65.8,33.230,9.847,0.017,62.7,6.221,1,0,b'h000',b'AA',5,56723.39767186,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.050034,69.362504
244.6518666,-59.4548264,b'16h18m36.45s',b'-59d27m17.38s',0.0312,0.0294,-0.0130,10.422,0.016,65.8,14.040,9.724,0.015,71.0,4.347,1,0,b'0000',b'AA',5,59075.79338444,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.053854,115.333927
244.6518800,-59.4548209,b'16h18m36.45s',b'-59d27m17.36s',0.0353,0.0355,-0.0163,10.476,0.020,53.6,7.738,9.847,0.019,57.1,2.722,1,0,b'h000',b'AA',5,57983.61762404,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.073252,92.534982
244.6518823,-59.4548158,b'16h18m36.45s',b'-59d27m17.34s',0.0317,0.0353,-0.0115,10.478,0.016,66.7,15.440,9.866,0.021,52.4,3.963,1,0,b'h000',b'AA',5,58711.68658648,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.078842,78.945356
244.6518665,-59.4548025,b'16h18m36.45s',b'-59d27m17.29s',0.0332,0.0315,-0.0101,10.465,0.017,65.4,13.900,9.814,0.019,57.8,3.993,1,0,b'h000',b'AA',5,58912.35247047,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.079498,37.581421
244.6518717,-59.4548047,b'16h18m36.45s',b'-59d27m17.30s',0.0281,0.0289,-0.0111,10.436,0.015,74.0,19.330,9.810,0.015,74.6,4.176,1,0,b'h000',b'AA',5,58711.62113491,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.079972,46.47812
244.6518366,-59.4547968,b'16h18m36.44s',b'-59d27m17.27s',0.0301,0.0283,0.0011,10.445,0.018,60.8,14.930,9.719,0.015,72.5,4.888,1,0,b'0000',b'AA',5,59076.12038826,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.083723,355.740462
244.6518791,-59.4548078,b'16h18m36.45s',b'-59d27m17.31s',0.0294,0.0314,-0.0129,10.488,0.015,71.5,12.870,9.855,0.016,69.6,3.327,1,0,b'h000',b'AA',5,57984.40317069,2448059101351019621,10.722,0.022,10.035,0.020,7.562,0.018,5.730,0.038,62939180,13.604,0.0744,12.790,0.0876,12.040,0.0497,0.083949,58.452157
