ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
183.5742372,29.5286758,b'12h14m17.82s',b'29d31m43.23s',0.0348,0.0339,0.0010,11.315,0.023,46.4,21.750,10.094,0.016,65.9,4.377,1,0,b'0000',b'AA',10,56818.67100365,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.316892,41.624992
183.5742624,29.5286736,b'12h14m17.82s',b'29d31m43.22s',0.0340,0.0381,0.0049,11.483,0.021,51.2,13.210,10.158,0.017,62.3,4.057,1,0,b'0000',b'AA',10,57896.42395626,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.369048,51.653747
183.5742658,29.5286722,b'12h14m17.82s',b'29d31m43.22s',0.0372,0.0361,-0.0098,11.333,0.020,53.3,16.600,10.058,0.018,60.5,2.623,1,0,b'0000',b'AA',5,56818.21042343,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.374423,53.269945
183.5742421,29.5286957,b'12h14m17.82s',b'29d31m43.30s',0.0346,0.0337,0.0049,11.485,0.019,55.9,28.190,10.131,0.019,57.8,6.319,1,0,b'0000',b'AA',10,58256.97459535,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.38235,36.205191
183.5742589,29.5286850,b'12h14m17.82s',b'29d31m43.27s',0.0348,0.0345,-0.0085,11.466,0.020,55.5,32.670,10.187,0.018,61.7,4.580,1,0,b'0000',b'AA',5,58256.25475391,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.387869,45.884704
183.5742557,29.5286902,b'12h14m17.82s',b'29d31m43.28s',0.0383,0.0386,-0.0117,11.484,0.023,47.3,24.870,10.226,0.020,53.2,5.405,1,0,b'0000',b'AA',10,58987.98305410,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.394234,42.91605
183.5742504,29.5286948,b'12h14m17.82s',b'29d31m43.30s',0.0330,0.0361,-0.0081,11.318,0.023,46.8,6.283,10.076,0.017,64.6,4.964,1,0,b'0000',b'AA',10,56817.68400943,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.395753,39.521321
183.5742774,29.5286685,b'12h14m17.83s',b'29d31m43.21s',0.0352,0.0373,0.0075,11.441,0.021,51.2,25.490,10.175,0.019,57.9,6.523,1,0,b'0000',b'AA',5,58256.38565729,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.396897,57.953208
183.5742602,29.5286938,b'12h14m17.82s',b'29d31m43.30s',0.0344,0.0356,-0.0047,11.434,0.017,62.0,31.140,10.130,0.018,61.4,4.934,1,0,b'0000',b'AA',5,57177.50288204,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.413326,43.123738
183.5742800,29.5286751,b'12h14m17.83s',b'29d31m43.23s',0.0342,0.0375,-0.0123,11.472,0.018,59.7,38.720,10.162,0.017,64.5,7.201,1,0,b'0000',b'AA',10,57536.43948716,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.416706,55.777797
183.5742666,29.5286898,b'12h14m17.82s',b'29d31m43.28s',0.0338,0.0397,0.0088,11.512,0.024,45.5,33.590,10.152,0.016,67.0,5.405,1,0,b'0000',b'AA',10,57896.55485963,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.417238,46.486674
183.5742861,29.5286677,b'12h14m17.83s',b'29d31m43.20s',0.0385,0.0385,-0.0009,11.368,0.020,53.4,14.930,10.076,0.018,58.9,3.159,1,0,b'0000',b'AA',10,56817.94721648,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.418809,60.266014
183.5742791,29.5286807,b'12h14m17.83s',b'29d31m43.25s',0.0346,0.0361,-0.0120,11.302,0.020,55.2,23.260,10.065,0.018,59.7,3.544,1,0,b'0000',b'AA',10,56818.40779678,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.42611,53.322424
183.5742695,29.5286917,b'12h14m17.82s',b'29d31m43.29s',0.0367,0.0352,-0.0076,11.510,0.020,55.3,27.120,10.200,0.019,56.1,7.613,1,0,b'0000',b'AA',10,58623.71707713,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.428542,46.659686
183.5742932,29.5286639,b'12h14m17.83s',b'29d31m43.19s',0.0396,0.0442,-0.0160,11.450,0.025,44.0,27.080,10.190,0.022,50.3,2.716,1,0,b'0000',b'AA',10,57896.29305299,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.431945,63.306249
183.5742723,29.5286906,b'12h14m17.83s',b'29d31m43.29s',0.0351,0.0377,0.0119,11.477,0.020,54.0,37.280,10.135,0.018,61.8,2.835,1,0,b'0000',b'AA',5,57177.10915336,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.432295,47.839324
183.5742460,29.5287121,b'12h14m17.82s',b'29d31m43.36s',0.0340,0.0383,-0.0115,11.314,0.018,59.5,20.360,10.080,0.017,62.8,3.298,1,0,b'0000',b'AA',10,56818.34196319,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.437918,32.930374
183.5742782,29.5286875,b'12h14m17.83s',b'29d31m43.28s',0.0341,0.0356,-0.0057,11.474,0.021,51.1,13.890,10.161,0.018,60.9,4.885,1,0,b'0000',b'AA',5,57896.22760132,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.438985,50.53907
183.5742845,29.5286854,b'12h14m17.83s',b'29d31m43.27s',0.0380,0.0365,-0.0044,11.487,0.021,52.5,22.380,10.182,0.019,56.4,2.550,1,0,b'0000',b'AA',10,58256.51605137,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.449795,52.880845
183.5742104,29.5287299,b'12h14m17.81s',b'29d31m43.43s',0.0393,0.0400,-0.0115,11.548,0.023,47.4,16.540,10.114,0.018,60.4,4.433,1,0,b'0000',b'AA',10,58829.33710979,1834128701351060224,11.408,0.023,10.134,0.019,6.445,0.012,3.826,0.022,932037550,15.583,0.0906,14.607,0.0908,13.585,0.0630,0.449805,16.340129
