source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05908a182',55374.97451160,10.375,0.021,1.337,9.359,0.026,5.839,6.874,0.019,0.846,4.623,0.041,1.013,1.0,55,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05912a182',55375.10681540,10.366,0.021,1.318,9.312,0.020,6.153,6.855,0.025,0.864,4.625,0.052,1.015,1.0,15,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05904a181',55374.84220780,10.362,0.025,1.314,9.392,0.023,5.882,6.869,0.017,0.843,4.688,0.047,1.190,1.0,92,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05905b207',55374.90842340,10.405,0.029,1.486,9.414,0.025,6.019,6.835,0.021,0.976,4.549,0.040,1.111,1.0,74,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11337a075',55554.49610520,10.333,0.022,1.360,9.394,0.021,5.892,,,,,,,1.0,56,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05901b207',55374.77611960,10.385,0.030,1.371,9.414,0.031,6.021,6.832,0.021,1.007,4.591,0.033,1.012,1.0,90,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11329a075',55554.23162370,10.395,0.024,1.419,9.429,0.023,6.165,,,,,,,1.0,75,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11333a075',55554.36380080,10.312,0.030,1.477,9.386,0.022,5.858,,,,,,,1.0,92,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11325a075',55554.09931940,10.305,0.026,1.534,9.401,0.021,5.928,,,,,,,1.0,38,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11326b099',55554.16540790,10.346,0.031,1.322,9.351,0.023,5.861,,,,,,,1.0,58,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11321a075',55553.96701500,10.313,0.026,1.475,9.404,0.021,5.947,,,,,,,1.0,0,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11322a099',55554.03323090,10.352,0.024,1.314,9.379,0.025,5.840,,,,,,,1.0,19,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11317a075',55553.83483800,10.331,0.026,1.369,9.365,0.025,5.831,,,,,,,1.0,-15,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11318a099',55553.90092650,10.354,0.023,1.313,8.991,0.016,25.570,,,,,,,1.0,-16,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11310a099',55553.63644500,10.297,0.029,1.614,9.387,0.021,5.862,,,,,,,1.0,15,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11314a099',55553.76862210,10.424,0.027,1.641,9.399,0.020,5.917,,,,,,,1.0,-8,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05900a181',55374.70990410,10.354,0.025,1.312,9.402,0.020,5.933,6.888,0.020,0.885,4.574,0.035,1.037,1.0,77,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'11306b099',55553.50414070,10.330,0.024,1.373,9.356,0.027,5.846,,,,,,,1.0,54,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05916a182',55375.23911910,10.372,0.024,1.328,9.398,0.021,5.911,6.828,0.019,1.036,4.633,0.037,1.025,1.0,-10,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'06105b200',55381.52309690,10.406,0.026,1.493,9.361,0.021,5.837,6.904,0.019,0.977,4.600,0.035,1.006,1.0,24,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05896a181',55374.57760030,10.361,0.028,1.313,9.405,0.026,5.952,6.899,0.021,0.942,4.640,0.047,1.038,1.0,40,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05897b207',55374.64381580,10.346,0.023,1.321,9.388,0.022,5.865,6.850,0.019,0.886,4.559,0.035,1.075,1.0,60,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05889b207',55374.37920840,10.376,0.028,1.339,9.370,0.021,5.830,7.016,0.108,2.979,4.610,0.039,1.005,1.0,-16,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05893b207',55374.51151220,10.352,0.021,1.314,9.413,0.026,6.012,6.861,0.020,0.851,4.646,0.041,1.049,1.0,20,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05881b206',55374.11460080,10.358,0.024,1.312,9.387,0.020,5.862,6.899,0.024,0.940,4.600,0.034,1.006,1.0,13,b'0000',0.361221,150.81305
b'0205m288_ac51-046507',20.4646356,-28.3493676,b'01h21m51.51s',b'-28d20m57.72s',1,0,b'0000',b'05885b207',55374.24690460,10.342,0.021,1.331,9.417,0.025,6.044,6.886,0.018,0.875,4.626,0.044,1.016,1.0,-10,b'0000',0.361221,150.81305
