ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
173.2478807,10.3950704,b'11h32m59.49s',b'10d23m42.25s',0.0673,0.0711,-0.0121,12.956,0.029,37.5,0.649,11.921,0.040,27.1,1.269,1,0,b'0000',b'AA',10,57006.66038039,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.003074,59.844958
173.2478789,10.3950707,b'11h32m59.49s',b'10d23m42.25s',0.0626,0.0703,0.0080,12.926,0.030,36.2,1.733,11.850,0.038,28.3,0.727,1,0,b'0000',b'AA',10,56640.44955722,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.004347,302.902163
173.2478802,10.3950736,b'11h32m59.49s',b'10d23m42.26s',0.0638,0.0712,-0.0193,12.882,0.027,39.6,1.476,11.901,0.040,27.3,0.995,1,0,b'0000',b'AA',10,56640.05417256,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.01304,3.127744
173.2478737,10.3950657,b'11h32m59.49s',b'10d23m42.24s',0.0716,0.0856,0.0252,13.131,0.033,33.2,4.160,12.049,0.042,26.0,0.905,1,0,b'0000',b'AA',5,58256.18484535,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.027145,235.242093
173.2478845,10.3950766,b'11h32m59.49s',b'10d23m42.28s',0.0729,0.0756,-0.0065,12.947,0.030,36.8,0.908,11.835,0.043,25.2,0.848,1,0,b'0000',b'AA',10,56640.12000637,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.028668,33.846891
173.2478816,10.3950610,b'11h32m59.49s',b'10d23m42.22s',0.0599,0.0716,-0.0080,12.980,0.031,34.7,1.054,11.921,0.034,31.5,0.978,1,0,b'0000',b'AA',10,57534.66656212,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.032961,170.081542
173.2478894,10.3950674,b'11h32m59.49s',b'10d23m42.24s',0.0638,0.0773,-0.0087,12.983,0.029,37.0,1.772,11.811,0.057,18.9,1.196,1,0,b'0000',b'AA',10,57176.31787671,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.034638,105.70658
173.2478759,10.3950795,b'11h32m59.49s',b'10d23m42.29s',0.0741,0.0877,-0.0185,13.033,0.034,31.6,1.239,12.022,0.042,26.0,0.880,1,0,b'0000',b'AA',10,57368.80395935,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.037138,336.998999
173.2478708,10.3950762,b'11h32m59.49s',b'10d23m42.27s',0.0799,0.0982,-0.0297,13.003,0.035,31.0,0.794,12.002,0.050,21.6,0.729,1,0,b'0000',b'AA',10,56817.87743539,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.039481,304.417327
173.2478894,10.3950623,b'11h32m59.49s',b'10d23m42.22s',0.0700,0.0800,0.0077,13.136,0.032,33.5,1.170,12.096,0.047,22.9,0.800,1,0,b'0000',b'AA',10,58622.66653957,1738110601351013668,12.843,0.024,11.754,0.022,9.469,0.038,7.347,0.146,863699750,15.919,0.0842,15.260,0.0782,14.534,0.1133,0.043358,129.788139
