source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01856a052',55240.92776000,11.118,0.034,3.932,10.191,0.025,2.163,7.371,0.028,2.878,4.846,0.049,1.143,1.0,102,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01857b077',55240.99397580,11.110,0.023,3.841,10.222,0.028,2.456,7.354,0.023,2.875,4.739,0.032,0.915,1.0,83,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01849b078',55240.72936740,11.118,0.033,3.927,10.208,0.026,2.304,7.383,0.024,2.906,4.701,0.045,0.958,1.0,103,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01853b078',55240.86167160,11.104,0.026,3.779,10.223,0.022,2.467,7.389,0.023,2.929,4.760,0.037,0.922,1.0,121,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01845b077',55240.59693580,11.113,0.026,3.871,10.230,0.023,2.567,,,,,,,1.0,67,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07281a199',55420.38692550,10.993,0.019,3.639,10.121,0.020,2.101,,,,,,,1.0,107,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07427a151',55425.21558490,10.973,0.021,3.834,10.139,0.030,2.030,,,,,,,1.0,105,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07269a199',55419.99001370,10.979,0.023,3.775,10.091,0.021,2.364,,,,,,,1.0,48,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07277a199',55420.25462160,10.995,0.023,3.621,10.108,0.020,2.192,,,,,,,1.0,117,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07270a224',55420.05622930,11.002,0.029,3.567,10.146,0.022,2.019,,,,,,,1.0,63,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07266a224',55419.92392540,11.015,0.025,3.501,10.112,0.022,2.166,,,,,,,1.0,38,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07273a152',55420.12231760,10.977,0.021,3.793,10.120,0.020,2.107,,,,,,,1.0,78,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07262a224',55419.79162140,10.995,0.025,3.621,10.099,0.025,2.276,,,,,,,1.0,33,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07265a199',55419.85770970,10.991,0.021,3.653,10.116,0.026,2.137,,,,,,,1.0,34,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07258a224',55419.65931740,11.026,0.024,3.465,10.130,0.026,2.058,,,,,,,1.0,51,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07261a199',55419.72540570,11.003,0.026,3.566,10.135,0.021,2.042,,,,,,,1.0,41,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07255a176',55419.52701350,11.012,0.024,3.512,10.096,0.023,2.309,,,,,,,1.0,70,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07257a199',55419.59310180,10.986,0.028,3.700,10.146,0.022,2.019,,,,,,,1.0,58,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07250a223',55419.39470960,10.817,0.025,8.530,10.087,0.023,2.423,,,,,,,1.0,105,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07253a160',55419.46079790,11.013,0.035,3.506,10.119,0.021,2.112,,,,,,,1.0,86,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07243a153',55419.13010180,11.022,0.024,3.474,10.156,0.022,2.019,,,,,,,1.0,81,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'07246a223',55419.26240570,10.987,0.023,3.687,10.126,0.021,2.078,,,,,,,1.0,120,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01880a053',55241.72183970,11.120,0.026,3.949,10.149,0.032,2.017,7.389,0.022,2.929,4.666,0.038,1.065,1.0,101,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01884a053',55241.85414390,11.063,0.023,3.495,10.102,0.018,2.253,7.345,0.023,2.894,4.750,0.047,0.916,1.0,124,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01869b078',55241.39101560,11.117,0.026,3.918,10.176,0.033,2.076,7.387,0.023,2.923,4.761,0.045,0.923,0.5,34,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01876a053',55241.58953550,11.101,0.033,3.744,10.214,0.023,2.366,7.333,0.023,2.941,4.724,0.052,0.924,1.0,65,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01865b078',55241.25871140,11.007,0.027,3.537,10.204,0.028,2.270,7.385,0.024,2.914,4.718,0.043,0.930,1.0,40,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01868a053',55241.32479990,11.139,0.026,4.199,10.171,0.022,2.056,7.342,0.022,2.903,4.739,0.052,0.915,1.0,34,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01864a026',55241.19249570,11.091,0.022,3.660,10.171,0.024,2.056,7.327,0.020,2.972,4.745,0.047,0.915,1.0,50,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01865b077',55241.25858410,11.073,0.028,3.539,10.175,0.026,2.072,7.328,0.025,2.965,4.721,0.036,0.927,1.0,41,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01860a053',55241.06019150,11.112,0.027,3.862,10.216,0.021,2.387,7.373,0.025,2.881,4.847,0.057,1.146,1.0,68,b'0000',0.032382,266.178514
b'2433p257_ac51-045279',243.5550000,26.0711694,b'16h14m13.20s',b'26d04m16.21s',1,0,b'0000',b'01862a017',55241.12628000,11.101,0.023,3.753,10.191,0.029,2.162,,,,,,,1.0,57,b'0000',0.032382,266.178514
