source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05789b153',55371.06563080,15.596,0.189,1.955,14.925,,1.357,11.100,,1.018,6.724,,0.961,1.0,43,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11245a129',55551.46023790,15.437,0.147,1.912,14.556,0.225,1.220,,,,,,,1.0,75,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05793b153',55371.19793450,15.460,0.133,1.912,14.621,0.245,1.195,10.665,,0.978,,,,1.0,22,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11238a153',55551.26184490,15.652,0.274,1.988,14.681,0.246,1.180,,,,,,,1.0,105,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11241a128',55551.32793340,15.551,0.159,1.934,14.979,0.367,1.169,,,,,,,1.0,117,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11237a128',55551.19562900,15.484,0.175,1.915,15.139,0.381,1.193,,,,,,,1.0,85,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11238a152',55551.26171760,15.309,0.133,1.956,15.298,0.445,1.228,,,,,,,1.0,105,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11233a129',55551.06345190,15.326,0.141,1.944,14.570,0.245,1.214,,,,,,,1.0,42,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11234b152',55551.12954050,15.112,0.111,2.231,15.072,0.379,1.182,,,,,,,1.0,63,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11230a152',55550.99723600,15.218,0.122,2.045,14.802,0.416,1.164,,,,,,,1.0,24,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11233a128',55551.06332460,15.608,0.176,1.961,15.401,0.517,1.254,,,,,,,1.0,42,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11226a152',55550.86493160,15.628,0.171,1.973,14.611,0.248,1.199,,,,,,,1.0,4,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11226a153',55550.86505900,15.537,0.161,1.929,15.197,0.421,1.205,,,,,,,1.0,5,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05820a128',55372.05784410,15.640,0.195,1.980,14.864,,1.326,10.786,,0.986,7.520,,0.895,1.0,46,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11222a152',55550.73275450,15.389,0.143,1.919,14.356,0.187,1.359,,,,,,,1.0,16,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05816a128',55371.92554030,15.425,0.154,1.913,14.614,0.224,1.198,10.667,,0.975,7.546,,0.894,1.0,87,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05816a129',55371.92566770,15.321,0.127,1.948,14.709,0.257,1.174,10.800,,0.976,7.546,,0.931,1.0,86,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05809b153',55371.72714830,15.448,0.138,1.912,14.982,,1.357,10.621,,0.979,7.763,,0.910,0.5,96,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05812a129',55371.79336390,15.457,0.153,1.912,15.430,0.453,1.261,10.537,,0.978,7.513,,0.894,1.0,116,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05805b153',55371.59484460,15.290,0.123,1.970,14.482,0.239,1.259,11.227,0.541,1.001,7.734,0.507,0.980,1.0,53,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05808a129',55371.66106010,15.534,0.152,1.928,14.635,0.243,1.191,10.896,,0.980,7.767,,0.964,1.0,74,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05801b153',55371.46254200,15.914,0.231,2.221,14.642,0.275,1.189,10.912,,0.984,,,,1.0,19,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05804a129',55371.52875640,15.475,0.165,1.914,14.805,0.294,1.163,11.101,,1.028,7.038,,0.931,1.0,33,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'11249a128',55551.59241490,15.337,0.138,1.939,14.686,0.283,1.178,,,,,,,1.0,35,b'0000',4.168067,12.670776
b'0030p015_ac51-004368',3.1391940,1.0040096,b'00h12m33.41s',b'01d00m14.43s',1,0,b'0000',b'05797b153',55371.33023830,15.254,0.122,2.003,14.485,0.284,1.257,10.816,0.345,1.101,,,,1.0,6,b'0000',4.168067,12.670776
