source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06368a153',55390.18536200,15.968,0.212,2.064,14.449,0.196,1.006,10.655,,1.079,7.867,,0.939,0.5,15,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06372a153',55390.31766570,15.547,0.161,1.982,14.624,0.244,1.006,10.823,,1.088,7.180,,0.974,1.0,-3,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06361b178',55389.98697010,15.652,0.179,1.954,14.851,0.259,1.077,,,,7.431,,0.929,1.0,62,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06364a153',55390.05305830,15.554,0.168,1.979,14.353,0.184,1.038,10.700,,1.084,7.680,,1.003,1.0,41,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06357b178',55389.85466630,16.357,0.445,2.379,14.665,0.239,1.014,10.286,0.199,1.592,7.541,,0.963,1.0,104,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06360a153',55389.92075460,15.702,0.174,1.955,14.664,0.233,1.014,10.737,,1.083,7.829,0.517,1.003,1.0,83,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06356a153',55389.78845070,15.115,0.098,2.823,15.045,0.364,1.170,11.180,,1.158,7.272,,0.931,1.0,110,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06353b178',55389.72236250,15.666,0.175,1.954,14.427,0.188,1.011,10.796,,1.120,7.173,,0.941,1.0,91,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00734a123',55203.84580600,15.446,0.159,2.057,14.596,0.221,1.002,10.387,0.223,1.465,7.375,,0.931,1.0,-5,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06349b178',55389.59005880,15.636,0.162,1.956,14.118,0.149,1.260,11.279,,1.200,7.339,,0.940,1.0,48,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06352a153',55389.65614700,15.707,0.200,1.956,14.582,0.217,1.001,10.782,0.344,1.181,7.942,,0.997,1.0,70,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'11693a099',55566.27068610,16.177,0.326,2.223,14.850,0.274,1.076,,,,,,,1.0,101,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'11697a099',55566.40286310,15.725,0.179,1.958,14.907,0.322,1.101,,,,,,,1.0,89,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'11685a099',55566.00607730,15.796,0.197,1.977,14.690,0.242,1.021,,,,,,,1.0,18,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'11689a099',55566.13838170,15.530,0.155,1.991,14.620,0.285,1.006,,,,,,,1.0,60,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06341b178',55389.32545150,14.806,0.109,4.833,14.266,0.170,1.092,11.179,0.439,1.091,7.860,,0.942,1.0,-3,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'06345b178',55389.45775510,16.043,0.224,2.117,14.412,0.207,1.015,10.853,,1.098,7.406,,0.929,1.0,11,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00753a099',55204.44136800,15.618,0.156,1.959,14.078,0.152,1.325,11.077,0.408,1.103,7.113,,0.944,1.0,78,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00757a099',55204.57367260,15.853,0.193,2.000,14.752,0.274,1.039,11.298,,1.205,7.680,,1.037,1.0,36,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00746b123',55204.24284730,15.487,0.164,2.020,14.285,0.179,1.077,10.765,,1.087,7.277,,0.936,1.0,93,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00749a100',55204.30906330,15.600,0.171,1.963,14.406,0.200,1.017,,,,,,,1.0,111,b'0000',0.478098,238.089111
b'0244m076_ac51-002762',24.6234161,-8.2078702,b'01h38m29.62s',b'-08d12m28.33s',1,0,b'0000',b'00742a124',55204.11054270,15.643,0.164,1.955,14.430,0.181,1.010,11.254,,1.170,7.568,,1.073,1.0,52,b'0000',0.478098,238.089111
