ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
14.1603717,0.6114793,b'00h56m38.49s',b'00d36m41.33s',0.8593,0.8796,-0.4506,16.299,0.311,3.5,0.531,15.047,0.400,2.7,0.682,1,0,b'0000',b'BC',10,58831.20566774,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.065921,267.809302
14.1603552,0.6114933,b'00h56m38.49s',b'00d36m41.38s',0.7019,0.6067,-0.2485,15.858,0.209,5.2,0.914,14.945,0.406,2.7,0.538,1,0,b'0000',b'BC',10,56657.81250132,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.134115,290.91714
14.1604297,0.6114894,b'00h56m38.50s',b'00d36m41.36s',0.7817,0.8360,0.2020,16.737,0.452,2.4,1.110,14.572,0.285,3.8,0.953,1,0,b'0000',b'CB',5,57574.79504030,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.146858,76.678333
14.1604084,0.6115245,b'00h56m38.50s',b'00d36m41.49s',0.8045,0.8238,-0.3383,16.263,0.364,3.0,0.538,14.476,0.277,3.9,0.504,1,0,b'0000',b'CB',10,56657.28532135,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.173351,22.463117
14.1603849,0.6114318,b'00h56m38.49s',b'00d36m41.15s',0.7549,0.7220,-0.2670,16.080,0.312,3.5,0.694,15.004,0.377,2.9,0.636,1,0,b'0000',b'BC',0,56846.26659045,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.174492,186.039602
14.1604409,0.6114836,b'00h56m38.51s',b'00d36m41.34s',0.6768,0.6866,0.0688,16.268,0.313,3.5,0.664,14.238,0.260,4.2,1.098,1,0,b'0000',b'BB',5,57024.30500678,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.183697,85.954153
14.1604384,0.6115396,b'00h56m38.51s',b'00d36m41.54s',0.7623,0.6986,-0.1756,16.064,0.278,3.9,0.473,14.837,0.312,3.5,0.652,1,0,b'0000',b'BB',10,56845.87184390,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.276384,39.077782
14.1604602,0.6114307,b'00h56m38.51s',b'00d36m41.15s',0.5721,0.5981,-0.2294,16.002,0.214,5.1,0.858,14.895,0.293,3.7,0.781,1,0,b'0000',b'BB',5,58831.66357515,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.3088,125.081104
14.1604529,0.6114140,b'00h56m38.51s',b'00d36m41.09s',0.9670,0.9263,-0.1923,16.409,0.361,3.0,0.589,14.785,0.397,2.7,0.833,1,0,b'0000',b'CC',5,57207.90985838,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.328212,136.379307
14.1603057,0.6114317,b'00h56m38.47s',b'00d36m41.15s',0.8750,0.8299,-0.3574,16.478,0.432,2.5,0.996,14.559,0.300,3.6,0.529,1,0,b'0000',b'CB',10,58306.66946235,136100001351048785,15.675,0.049,14.588,0.061,11.626,0.229,8.123,,,,,,,,,0.349755,240.18788
