ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
345.9596671,-0.8934951,b'23h03m50.32s',b'-00d53m36.58s',0.6924,0.5658,-0.2107,15.876,0.199,5.4,1.133,14.754,0.358,3.0,0.565,1,0,b'0000',b'BC',10,59169.64045745,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.054637,348.987473
345.9596493,-0.8935302,b'23h03m50.32s',b'-00d53m36.71s',0.7112,0.6996,-0.3720,16.466,0.315,3.4,0.459,14.699,0.286,3.8,0.471,1,0,b'0000',b'BB',5,58804.97658758,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.104094,225.69692
345.9596337,-0.8934853,b'23h03m50.31s',b'-00d53m36.55s',0.7089,0.7170,-0.2243,15.819,0.216,5.0,0.698,14.429,,1.6,1.146,1,0,b'0000',b'BU',10,57180.08872941,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.158043,304.236208
345.9597027,-0.8934483,b'23h03m50.33s',b'-00d53m36.41s',0.6155,0.5511,-0.1584,15.652,0.177,6.1,0.586,14.707,,1.5,0.854,1,0,b'0000',b'BU',10,58437.90309044,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.251377,27.919982
345.9595993,-0.8935002,b'23h03m50.30s',b'-00d53m36.60s',0.7415,0.6455,-0.1913,16.016,0.224,4.8,0.853,15.175,0.403,2.7,0.463,1,0,b'0000',b'BC',10,57716.65509689,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.256916,277.892649
345.9596337,-0.8934450,b'23h03m50.31s',b'-00d53m36.40s',0.6282,0.5793,-0.2902,15.575,0.177,6.1,1.342,14.636,,-0.2,0.472,1,0,b'0000',b'BU',10,58441.23985609,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.268002,330.821287
345.9595935,-0.8934798,b'23h03m50.30s',b'-00d53m36.53s',0.5109,0.5273,-0.1186,15.507,0.156,7.0,0.885,15.212,0.433,2.5,0.856,1,0,b'0000',b'BC',10,57716.72054869,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.296055,291.54506
345.9597502,-0.8935379,b'23h03m50.34s',b'-00d53m36.74s',0.5822,0.5644,0.0729,15.552,0.235,4.6,1.260,14.793,0.290,3.7,0.735,1,0,b'0000',b'BB',10,56998.15112358,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.305663,109.183942
345.9597071,-0.8934312,b'23h03m50.33s',b'-00d53m36.35s',0.7502,0.8872,-0.2277,16.031,0.285,3.8,0.942,15.053,0.522,2.1,0.781,1,0,b'0000',b'BC',0,57547.14567324,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.313536,25.208943
345.9595795,-0.8934919,b'23h03m50.30s',b'-00d53m36.57s',0.8364,0.8166,-0.5230,15.917,0.252,4.3,0.498,14.411,,1.7,0.304,1,0,b'0000',b'BU',10,58278.20284189,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.332217,281.311272
345.9597616,-0.8934836,b'23h03m50.34s',b'-00d53m36.54s',0.6214,0.7557,-0.3180,15.679,0.317,3.4,0.728,14.995,0.393,2.8,0.510,1,0,b'0000',b'BC',10,58804.91113588,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.343142,73.920657
345.9596182,-0.8935997,b'23h03m50.31s',b'-00d53m36.96s',1.1110,1.1295,-0.4837,16.486,0.508,2.1,0.808,14.715,0.378,2.9,0.983,1,0,b'0000',b'CC',10,58438.23022174,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.37288,210.002578
345.9597630,-0.8934593,b'23h03m50.34s',b'-00d53m36.45s',0.6928,0.6397,-0.2684,15.828,0.202,5.4,1.128,14.702,,0.6,0.752,1,0,b'0000',b'BU',5,59006.64607550,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.381286,61.399564
345.9596814,-0.8934035,b'23h03m50.32s',b'-00d53m36.25s',0.6116,0.6883,-0.3168,15.857,0.202,5.4,1.192,15.147,,0.8,0.824,1,0,b'0000',b'BU',10,58641.99464059,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.385585,6.109068
345.9597614,-0.8935805,b'23h03m50.34s',b'-00d53m36.89s',0.5248,0.4910,-0.2029,15.284,0.157,6.9,1.365,14.227,,0.7,1.197,1,0,b'0000',b'BU',10,58275.06141568,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.415514,127.647622
345.9595505,-0.8934872,b'23h03m50.29s',b'-00d53m36.55s',0.4601,0.5052,-0.1510,15.516,0.165,6.6,1.174,14.307,0.389,2.8,0.630,1,0,b'0000',b'BC',10,58274.79973640,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.437908,280.803204
345.9597467,-0.8936050,b'23h03m50.34s',b'-00d53m36.98s',0.5792,0.5563,-0.1549,15.770,0.190,5.7,1.004,15.125,0.456,2.4,0.500,1,0,b'0000',b'BC',10,57910.72337000,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.439533,141.087095
345.9595419,-0.8935138,b'23h03m50.29s',b'-00d53m36.65s',0.6620,0.6453,-0.2621,15.984,0.220,4.9,1.855,14.479,0.355,3.1,0.512,1,0,b'0000',b'BB',5,57546.29391038,3463001601351058825,15.811,0.051,15.016,0.076,11.928,0.312,8.594,,,,,,,,,0.461304,268.30065
