source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01534a189',55230.32064070,13.069,0.049,21.070,13.114,0.089,3.918,10.253,,1.151,7.079,0.473,1.405,1.0,128,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01530b188',55230.18820900,13.066,0.050,20.740,13.141,0.102,4.039,10.454,0.267,1.333,6.888,,1.233,1.0,102,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01534a187',55230.32051340,13.030,0.053,20.770,13.167,0.095,4.235,10.964,,1.324,6.805,,1.253,1.0,128,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01526a188',55230.05590480,13.108,0.051,20.490,13.096,0.082,4.144,11.272,0.539,1.227,7.464,,1.473,1.0,70,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07304a091',55421.13504160,13.045,0.037,20.730,13.002,0.071,4.607,,,,,,,1.0,69,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07296a091',55420.87043340,13.136,0.046,20.860,13.032,0.075,3.992,,,,,,,1.0,124,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07300a091',55421.00273750,13.092,0.053,25.720,12.945,0.072,5.162,,,,,,,1.0,91,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07292a090',55420.73812940,13.125,0.048,20.950,13.257,0.093,4.220,,,,,,,1.0,108,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07293b115',55420.80421770,13.190,0.065,21.530,13.256,0.098,4.201,,,,,,,1.0,125,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07288a090',55420.60582530,13.107,0.042,20.550,13.086,0.078,3.968,,,,,,,1.0,76,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07289b116',55420.67204100,13.133,0.052,21.160,13.114,0.085,6.633,,,,,,,1.0,91,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07284a090',55420.47351530,13.140,0.054,21.230,13.067,0.085,4.041,,,,,,,1.0,53,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07285b116',55420.53973690,13.115,0.043,21.010,13.053,0.083,4.530,,,,,,,1.0,63,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07277b115',55420.27512310,13.041,0.038,20.890,12.946,0.073,4.045,,,,,,,1.0,50,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07281b115',55420.40742700,13.244,0.044,21.200,13.311,0.099,4.549,,,,,,,1.0,48,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01557a164',55231.04837800,13.097,0.049,20.830,13.058,0.093,5.410,10.946,0.412,1.264,7.594,,1.095,1.0,69,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'07273b115',55420.14281920,13.000,0.037,20.620,13.121,0.093,4.071,,,,,,,1.0,68,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01549a164',55230.78376940,13.139,0.052,20.930,13.199,0.107,4.213,10.548,,1.291,7.453,,1.201,1.0,43,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01553a164',55230.91607370,13.017,0.040,20.870,12.870,0.069,5.450,10.795,0.474,1.325,7.419,,1.734,1.0,46,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01545a164',55230.65146510,13.070,0.043,20.480,13.070,0.076,4.166,10.410,0.293,1.447,7.473,,1.156,1.0,61,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01546a188',55230.71755360,12.954,0.038,20.960,13.006,0.083,4.027,10.582,,1.181,6.615,,1.335,1.0,51,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01541a164',55230.51903350,13.074,0.055,20.780,13.186,0.089,3.957,10.596,,1.341,6.975,,1.095,1.0,78,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01542b188',55230.58524930,13.035,0.043,21.230,13.006,0.094,4.764,10.765,0.393,1.267,6.993,,1.112,1.0,68,b'0000',3.906027,214.001376
b'0387p393_ac51-021162',39.1153796,38.9690305,b'02h36m27.69s',b'38d58m08.51s',3,0,b'hhh0',b'01538a188',55230.45294500,13.027,0.041,21.110,13.209,0.100,3.980,10.902,,1.317,7.371,,1.290,1.0,92,b'0000',3.906027,214.001376
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'07300a091',55421.00273750,13.435,0.064,63.800,13.224,0.097,9.314,,,,,,,1.0,91,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'07296a091',55420.87043340,12.884,0.033,59.910,13.063,0.069,9.083,,,,,,,1.0,124,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'01538a188',55230.45294500,12.853,0.035,60.360,12.965,0.061,9.188,10.329,0.253,1.232,7.298,,0.910,1.0,92,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'07304a091',55421.13504160,13.430,0.055,63.690,13.101,0.074,9.109,,,,,,,1.0,69,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'07293b116',55420.80434510,8.726,0.295,,8.794,0.288,29940.000,,,,,,,1.0,126,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'01541a164',55230.51903350,12.818,0.035,60.990,13.001,0.062,9.126,11.058,0.397,1.349,7.022,,0.918,1.0,78,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'01546a188',55230.71755360,12.894,0.032,59.800,13.036,0.068,9.090,10.282,0.209,1.247,7.377,,0.911,1.0,51,b'0000',8.140324,244.516889
b'0387p393_ac51-021364',39.1135346,38.9689571,b'02h36m27.25s',b'38d58m08.25s',2,0,b'hhh0',b'01545a164',55230.65146510,12.855,0.031,60.320,12.953,0.063,9.220,10.258,0.236,1.253,7.631,,0.945,1.0,61,b'0000',8.140324,244.516889
