source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05565a171',55363.62911470,8.602,0.019,57.680,8.683,0.020,38.380,7.332,0.024,7.204,5.590,0.068,1.200,1.0,58,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'11246a018',55551.48812460,8.721,0.023,57.460,8.738,0.020,38.510,,,,,,,1.0,46,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05557a170',55363.36450710,8.772,0.028,58.050,8.602,0.021,39.410,7.283,0.028,7.012,5.514,0.066,1.183,1.0,114,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05561a171',55363.49681090,8.696,0.019,57.300,8.723,0.021,38.410,7.302,0.023,7.044,5.540,0.068,1.178,1.0,79,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05551b105',55363.16611520,8.688,0.023,57.270,8.688,0.019,38.360,7.255,0.026,7.068,5.548,0.085,1.179,1.0,93,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05553a123',55363.23220330,8.708,0.023,57.360,8.449,0.056,46.610,7.274,0.023,7.016,5.504,0.090,1.187,1.0,112,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05546a195',55363.03381080,8.617,0.021,57.510,8.716,0.023,38.380,7.303,0.023,7.048,5.599,0.076,1.208,1.0,61,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05549a111',55363.09989900,8.645,0.026,57.310,8.630,0.021,38.870,7.261,0.023,7.044,5.490,0.072,1.197,1.0,76,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05545a170',55362.96759520,8.618,0.023,57.500,8.626,0.024,38.930,7.210,0.024,7.435,5.552,0.065,1.180,1.0,48,b'0000',0.175974,225.762647
b'1933p257_ac51-014498',192.6107212,25.5007659,b'12h50m26.57s',b'25d30m02.76s',1,0,b'0000',b'05545a171',55362.96772250,8.566,0.023,58.290,8.668,0.024,38.450,7.337,0.027,7.243,5.543,0.096,1.178,1.0,49,b'0000',0.175974,225.762647
