ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
225.2968051,1.7019796,b'15h01m11.23s',b'01d42m07.13s',0.0330,0.0307,0.0080,9.146,0.019,57.7,107.700,9.197,0.015,72.7,64.290,1,0,b'0000',b'AA',10,58678.59698924,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.018442,94.486577
225.2967959,1.7019856,b'15h01m11.23s',b'01d42m07.15s',0.0298,0.0316,-0.0090,9.179,0.017,64.4,89.670,9.325,0.016,69.3,75.200,1,0,b'0000',b'AA',10,57785.84911478,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.02497,323.802593
225.2967971,1.7019727,b'15h01m11.23s',b'01d42m07.10s',0.0306,0.0314,-0.0054,9.156,0.018,59.2,109.500,9.245,0.015,72.5,70.460,1,0,b'0000',b'AA',10,57418.10570531,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.028337,201.657286
225.2967946,1.7019870,b'15h01m11.23s',b'01d42m07.15s',0.0273,0.0288,-0.0112,9.202,0.014,77.2,148.200,9.322,0.015,72.8,64.730,1,0,b'0000',b'AA',10,58149.53628779,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.031793,322.364606
225.2967914,1.7019822,b'15h01m11.23s',b'01d42m07.14s',0.0278,0.0295,-0.0075,9.204,0.017,63.3,103.500,9.250,0.014,77.9,75.470,1,0,b'0000',b'AA',10,58516.25470810,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.031942,284.355404
225.2967912,1.7019868,b'15h01m11.23s',b'01d42m07.15s',0.0315,0.0299,-0.0090,9.225,0.015,72.7,138.000,9.345,0.017,64.1,67.210,1,0,b'0000',b'AA',5,58320.44563450,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.040075,307.706474
225.2967940,1.7019900,b'15h01m11.23s',b'01d42m07.16s',0.0268,0.0264,-0.0110,9.183,0.013,80.6,154.400,9.285,0.014,78.1,88.580,1,0,b'0000',b'AA',10,57951.54773425,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.042031,329.047397
225.2967899,1.7019731,b'15h01m11.23s',b'01d42m07.10s',0.0272,0.0290,-0.0053,9.165,0.017,62.6,97.480,9.241,0.015,73.1,83.050,1,0,b'0000',b'AA',10,57054.22948433,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.044007,235.648571
225.2968001,1.7019927,b'15h01m11.23s',b'01d42m07.17s',0.0274,0.0281,-0.0102,9.172,0.014,76.8,109.900,9.302,0.014,76.8,72.330,1,0,b'0000',b'AA',10,58149.60173975,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.045692,0.45094
225.2968126,1.7019764,b'15h01m11.24s',b'01d42m07.12s',0.0278,0.0309,-0.0096,9.038,0.018,60.9,130.700,9.233,0.016,69.6,85.580,1,0,b'0000',b'AA',10,56873.47126083,2253101501351045422,9.106,0.022,9.102,0.019,8.688,0.025,7.470,0.119,983646093,11.786,0.1080,11.022,0.1470,10.319,0.0640,0.047117,105.952075
