source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01034a112',55213.76993210,15.308,0.123,1.161,15.117,0.326,0.915,10.505,,1.205,7.950,,1.170,1.0,0,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01030a112',55213.63762740,15.571,0.158,1.309,14.750,0.266,1.031,,,,,,,1.0,17,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01037a088',55213.83614810,15.620,0.161,1.367,14.837,0.244,0.986,8.666,,3.261,7.861,,1.207,1.0,-8,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01034a113',55213.77005940,15.593,0.162,1.334,15.190,0.362,0.909,11.439,,1.077,7.267,,1.131,1.0,0,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12086a115',55579.29713120,15.422,0.142,1.186,14.693,,0.953,,,,,,,1.0,105,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12082b115',55579.16482680,15.381,0.155,1.168,14.589,0.235,1.157,,,,,,,1.0,68,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12090a115',55579.42943550,15.249,0.133,1.181,15.159,0.377,0.911,,,,,,,1.0,81,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12089a091',55579.36321960,15.292,0.121,1.164,15.058,,1.014,,,,,,,1.0,101,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12094a115',55579.56161250,15.826,0.198,1.662,15.576,,1.232,,,,,,,1.0,38,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12093a091',55579.49552400,15.441,0.171,1.196,15.264,0.522,0.908,,,,,,,1.0,59,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12101a091',55579.76000550,15.422,0.134,1.185,14.874,0.291,0.971,,,,,,,1.0,1,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12097a091',55579.62782840,15.312,0.125,1.160,15.009,0.316,0.931,,,,,,,1.0,19,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06716a166',55401.69617350,15.343,0.129,1.160,15.449,0.462,0.916,11.406,,1.027,7.869,0.537,1.219,1.0,82,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06717b191',55401.76238910,15.396,0.132,1.173,15.137,0.316,0.913,11.309,,1.039,7.766,,1.072,1.0,102,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06701b191',55401.23317400,15.140,0.111,1.290,15.264,0.397,0.908,11.158,,1.035,7.663,,1.105,1.0,7,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06712a165',55401.56386970,15.227,0.118,1.194,15.189,0.412,0.909,11.119,,1.031,7.258,,1.160,1.0,39,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06713b191',55401.63008520,15.614,0.170,1.359,15.060,0.360,0.922,11.353,,1.286,7.730,,1.151,1.0,61,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06708a165',55401.43156600,15.173,0.118,1.246,14.926,,0.942,11.478,,1.023,7.888,,1.072,1.0,4,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06709b191',55401.49778150,15.272,0.133,1.170,15.469,0.453,0.917,11.144,,1.032,7.794,,1.080,1.0,19,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'12105a091',55579.89230980,15.230,0.122,1.192,,,,,,,,,,1.0,-6,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06705b191',55401.36547770,15.412,0.143,1.181,14.799,,0.932,11.456,,1.064,7.968,,1.107,1.0,-4,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01053a088',55214.36549440,15.283,0.118,1.166,15.480,0.481,0.918,11.075,,1.056,7.236,,1.147,1.0,101,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06697b191',55401.10087020,15.349,0.149,1.161,14.965,,0.963,10.729,,1.158,7.543,,1.085,1.0,26,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01045a089',55214.10088490,15.159,0.106,1.264,14.871,0.250,0.972,11.104,,1.045,7.268,,1.135,1.0,47,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01049a089',55214.23318970,15.142,0.110,1.288,14.857,0.272,0.977,11.206,,1.102,7.521,,1.086,1.0,88,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01041a088',55213.96845290,15.301,0.129,1.162,15.342,,1.111,10.753,,1.103,7.797,,1.072,1.0,7,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01042a112',55214.03466900,15.010,0.100,1.587,14.735,0.265,1.040,11.201,,1.035,7.575,,1.079,1.0,25,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'06720a166',55401.82847730,14.975,0.103,1.706,15.166,,1.048,11.286,,1.056,7.879,,1.077,1.0,110,b'0000',0.183233,105.731457
b'0384m107_ac51-040154',37.9465098,-10.3363938,b'02h31m47.16s',b'-10d20m11.02s',1,0,b'0000',b'01038a113',55213.90236420,15.001,0.094,1.617,15.027,0.316,0.928,11.409,,1.021,7.911,,1.139,1.0,-5,b'0000',0.183233,105.731457
