ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
38.7029985,-44.3256992,b'02h34m48.72s',b'-44d19m32.52s',0.1315,0.1583,-0.0616,13.755,0.052,21.0,3.309,13.651,0.102,10.7,1.295,1,0,b'0000',b'AA',0,58103.48086012,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.033388,186.652802
38.7029870,-44.3257157,b'02h34m48.72s',b'-44d19m32.58s',0.1155,0.1041,-0.0335,13.637,0.040,27.3,3.482,13.482,0.114,9.5,0.844,1,0,b'0000',b'AB',10,58464.06633749,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.098403,199.893415
38.7029703,-44.3257143,b'02h34m48.71s',b'-44d19m32.57s',0.1291,0.1378,-0.0269,13.686,0.057,19.1,2.583,13.675,0.150,7.2,1.674,1,0,b'0000',b'AB',0,58670.46023208,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.116188,221.164898
38.7029680,-44.3257148,b'02h34m48.71s',b'-44d19m32.57s',0.1236,0.1225,0.0422,13.614,0.047,23.0,3.550,13.350,0.095,11.4,1.046,1,0,b'0000',b'AA',10,58302.68646539,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.121514,222.709169
38.7030063,-44.3256536,b'02h34m48.72s',b'-44d19m32.35s',0.1384,0.1267,-0.0303,13.624,0.047,23.1,3.288,13.682,0.127,8.6,1.153,1,0,b'0000',b'AB',5,59034.25251888,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.132057,7.058199
38.7029925,-44.3257296,b'02h34m48.72s',b'-44d19m32.63s',0.1298,0.1297,-0.0404,13.742,0.046,23.6,4.193,13.480,0.096,11.3,0.958,1,0,b'0000',b'AA',10,58104.20082939,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.143869,187.715931
38.7030189,-44.3257305,b'02h34m48.72s',b'-44d19m32.63s',0.1282,0.1131,-0.0357,13.707,0.042,25.8,4.432,13.778,0.150,7.3,1.328,1,0,b'0000',b'AB',10,58831.71985844,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.15371,161.538746
38.7029413,-44.3256990,b'02h34m48.71s',b'-44d19m32.52s',0.1142,0.1046,-0.0458,13.676,0.042,26.0,2.575,13.567,0.093,11.7,1.367,1,0,b'0000',b'AA',10,57208.57507064,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.154599,257.903202
38.7030239,-44.3257324,b'02h34m48.73s',b'-44d19m32.64s',0.1137,0.1093,-0.0229,13.513,0.043,25.2,2.189,13.649,0.130,8.4,0.838,2,0,b'0000',b'AB',10,57208.31262762,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.164573,158.038526
38.7029409,-44.3257138,b'02h34m48.71s',b'-44d19m32.57s',0.1074,0.1037,-0.0449,13.599,0.045,24.4,3.631,13.626,0.116,9.3,0.807,1,0,b'0000',b'AB',10,58104.33186013,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.174654,240.623589
38.7029658,-44.3257355,b'02h34m48.71s',b'-44d19m32.65s',0.1659,0.1476,-0.0367,13.866,0.051,21.4,4.541,13.762,0.139,7.8,1.532,1,0,b'0000',b'AB',5,59034.90639866,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.185971,208.267513
38.7030013,-44.3257425,b'02h34m48.72s',b'-44d19m32.67s',0.1362,0.1135,-0.0276,13.735,0.042,26.0,2.345,13.640,0.098,11.0,0.900,1,0,b'0000',b'AA',5,57574.21450751,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.189019,178.98516
38.7030164,-44.3257414,b'02h34m48.72s',b'-44d19m32.67s',0.1456,0.1255,0.0186,13.610,0.057,19.1,2.541,13.709,0.112,9.7,2.436,1,0,b'0000',b'AB',10,57743.23732846,395044001351013028,13.674,0.025,13.518,0.028,9.939,0.040,8.330,0.202,178897667,15.676,0.1116,14.966,0.1226,14.555,0.1228,0.189792,167.142329
