ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
19.7858348,-34.1918285,b'01h19m08.60s',b'-34d11m30.58s',0.0970,0.0919,-0.0400,12.785,0.039,27.5,15.820,13.055,0.077,14.1,1.323,1,0,b'0000',b'AA',5,58657.17788682,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.136778,79.172687
19.7859458,-34.1916561,b'01h19m08.63s',b'-34d11m29.96s',0.0872,0.0889,-0.0393,13.113,0.033,33.3,23.300,13.229,0.082,13.2,2.715,1,0,b'0000',b'AA',0,58657.11256257,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.635513,67.182838
19.7860049,-34.1918145,b'01h19m08.64s',b'-34d11m30.53s',0.1097,0.0894,-0.0242,13.019,0.036,30.4,15.260,13.077,0.077,14.1,1.653,1,0,b'0000',b'AA',5,58292.73718657,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.644143,80.16194
19.7860190,-34.1917771,b'01h19m08.64s',b'-34d11m30.40s',0.0866,0.0769,-0.0218,12.932,0.030,36.4,12.190,12.735,0.076,14.3,0.931,1,0,b'0000',b'AA',10,57929.12826880,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.711423,77.509326
19.7860450,-34.1918968,b'01h19m08.65s',b'-34d11m30.83s',0.0808,0.0732,-0.0059,12.890,0.032,33.7,13.130,12.889,0.060,18.2,2.340,1,0,b'0000',b'AA',5,56835.28575847,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.7291,86.73344
19.7860502,-34.1917571,b'01h19m08.65s',b'-34d11m30.33s',0.0821,0.0716,-0.0236,12.924,0.027,40.7,12.200,12.909,0.085,12.8,1.644,1,0,b'0000',b'AA',5,57197.54979969,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.818151,76.488636
19.7860668,-34.1918099,b'01h19m08.66s',b'-34d11m30.52s',0.0994,0.0818,-0.0366,12.963,0.032,33.7,12.980,12.899,0.073,14.8,1.596,1,0,b'0000',b'AA',10,58093.92655885,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.828627,80.469414
19.7860647,-34.1917979,b'01h19m08.66s',b'-34d11m30.47s',0.0906,0.0855,-0.0350,12.929,0.032,34.2,12.820,12.794,0.077,14.1,1.984,1,0,b'0000',b'AA',10,57928.40817341,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.829949,79.585852
19.7860794,-34.1918574,b'01h19m08.66s',b'-34d11m30.69s',0.0811,0.0841,-0.0381,13.012,0.031,34.5,11.780,12.796,0.056,19.3,2.718,1,0,b'0000',b'AA',5,58094.38484841,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.842696,83.995862
19.7860672,-34.1917872,b'01h19m08.66s',b'-34d11m30.43s',0.0815,0.0844,-0.0237,12.911,0.030,35.8,12.740,12.897,0.068,16.1,1.745,1,0,b'0000',b'AA',10,56647.65906510,201034901351062053,12.838,0.023,12.828,0.026,10.342,0.070,8.648,0.462,144026469,14.780,0.0949,14.181,0.1226,13.892,0.0883,2.844468,78.849818
