source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05666a202',55367.00330560,12.551,0.032,12.690,12.642,0.058,2.438,,,,,,,1.0,56,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05665a178',55366.93709000,12.522,0.031,12.830,12.553,0.058,2.311,,,,,,,1.0,45,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05673a117',55367.20169760,12.559,0.027,12.670,12.506,0.048,2.365,,,,,,,1.0,104,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05669a178',55367.06939380,12.609,0.031,12.690,12.499,0.047,2.380,,,,,,,1.0,70,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'11449b098',55558.23297200,12.658,0.036,12.940,12.563,0.050,2.311,,,,,,,0.5,46,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'11293b104',55553.07475890,12.576,0.034,12.650,12.663,0.052,2.506,,,,,,,0.5,68,b'0000',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05574a200',55363.96044730,12.547,0.031,12.710,12.578,0.049,2.318,11.298,0.465,0.909,7.704,,1.113,0.5,50,b'0000',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'05677a178',55367.33400130,12.580,0.029,12.650,12.555,0.052,2.311,10.296,0.278,1.411,7.518,,1.047,1.0,124,b'0011',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'11312a079',55553.66993480,12.781,0.042,14.340,12.625,0.054,2.393,,,,,,,0.5,87,b'0000',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'11316a079',55553.80223910,12.572,0.034,12.650,12.517,0.055,2.344,,,,,,,1.0,126,b'0000',0.418019,13.931975
b'1960p272_ac51-064155',195.5005716,27.7827827,b'13h02m00.14s',b'27d46m58.02s',1,0,b'0000',b'11285b103',55552.81015000,12.555,0.037,12.680,12.489,0.049,2.409,,,,,,,0.5,128,b'0000',0.418019,13.931975
