ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
195.5005442,27.7826841,b'13h02m00.13s',b'27d46m57.66s',0.0656,0.0715,-0.0118,12.633,0.025,43.2,16.420,12.601,0.060,18.2,2.085,1,0,b'0000',b'AA',5,58110.91472828,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.052521,14.763724
195.5005481,27.7826839,b'13h02m00.13s',b'27d46m57.66s',0.0710,0.0755,-0.0157,12.616,0.030,35.9,19.690,12.621,0.055,19.7,2.557,1,0,b'0000',b'AA',10,58481.44327397,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.05634,27.273701
195.5005199,27.7826684,b'13h02m00.12s',b'27d46m57.61s',0.1063,0.0912,-0.0226,12.653,0.043,25.1,13.540,12.586,0.069,15.6,1.167,1,0,b'0000',b'AA',0,56650.39505322,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.064252,264.858717
195.5005638,27.7826652,b'13h02m00.14s',b'27d46m57.59s',0.0726,0.0769,-0.0209,12.606,0.027,39.6,20.040,12.675,0.073,14.9,1.945,1,0,b'0000',b'AA',5,58634.31514749,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.077756,102.841664
195.5005432,27.7826925,b'13h02m00.13s',b'27d46m57.69s',0.0643,0.0711,0.0189,12.605,0.027,39.6,17.550,12.587,0.056,19.5,3.226,1,0,b'0000',b'AA',0,56828.93543145,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.081667,7.171672
195.5005364,27.7826968,b'13h02m00.13s',b'27d46m57.71s',0.0654,0.0651,0.0148,12.592,0.026,41.4,19.580,12.674,0.059,18.3,3.070,1,0,b'0000',b'AA',5,57910.30442863,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.097147,353.222573
195.5005689,27.7826595,b'13h02m00.14s',b'27d46m57.57s',0.0653,0.0716,-0.0197,12.544,0.029,37.0,17.580,12.733,0.054,20.1,4.045,1,0,b'0000',b'AA',5,58111.76572895,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.099501,112.32609
195.5005138,27.7826889,b'13h02m00.12s',b'27d46m57.68s',0.0709,0.0821,0.0132,12.651,0.027,39.6,15.890,12.563,0.063,17.2,2.170,1,0,b'0000',b'AA',5,58111.04563184,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.107663,309.192711
195.5005283,27.7826987,b'13h02m00.13s',b'27d46m57.72s',0.0742,0.0844,-0.0047,12.567,0.030,36.7,11.730,12.653,0.059,18.3,1.934,1,0,b'0000',b'AA',10,56654.28243256,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.109835,340.16712
195.5005561,27.7826409,b'13h02m00.13s',b'27d46m57.51s',0.0750,0.0859,0.0159,12.696,0.033,32.9,16.000,12.565,0.055,19.6,2.492,1,0,b'0000',b'AA',10,57546.46428821,1960127201351064155,12.580,0.023,12.558,0.024,11.295,0.153,8.642,,612655027,14.231,0.0519,13.672,0.0664,13.369,0.0575,0.116634,153.918921
