source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05877b173',55373.97847690,12.289,0.031,15.600,11.860,0.035,3.685,8.952,0.066,1.606,6.652,0.177,1.052,1.0,63,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05873b173',55373.84617310,12.232,0.027,15.950,11.806,0.034,4.045,9.002,0.078,1.548,6.924,0.221,1.003,1.0,105,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05884a149',55374.17699620,12.260,0.027,15.730,11.834,0.039,3.826,9.131,0.073,1.594,7.014,0.283,1.014,1.0,13,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05881b173',55374.11078070,12.224,0.026,16.040,11.902,0.036,3.585,9.146,0.080,1.615,6.628,0.184,1.064,1.0,23,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05888a149',55374.30930000,12.223,0.027,16.050,11.816,0.036,3.960,9.086,0.082,1.550,7.196,0.290,1.061,1.0,-5,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05885b174',55374.24308440,12.257,0.031,15.740,11.854,0.041,3.711,9.098,0.076,1.559,6.827,0.210,1.004,1.0,5,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05892a149',55374.44160380,12.229,0.028,15.980,11.893,0.035,3.594,9.081,0.081,1.546,7.494,0.490,1.175,1.0,6,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05889b174',55374.37538820,12.264,0.028,15.700,11.838,0.035,3.798,8.947,0.065,1.614,6.792,0.236,1.008,1.0,-5,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05900a148',55374.70608390,12.282,0.032,15.620,11.899,0.037,3.588,8.992,0.076,1.556,7.395,0.361,1.134,1.0,85,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05896a149',55374.57390750,12.282,0.027,15.620,11.782,0.032,4.304,9.032,0.076,1.535,6.948,0.249,1.005,1.0,42,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'11314a132',55553.77244230,12.454,0.031,16.610,11.939,0.040,3.612,,,,,,,1.0,0,b'0000',0.061931,315.641028
b'0107m091_ac51-005314',10.7983378,-9.6377777,b'00h43m11.60s',b'-09d38m16.00s',1,0,b'0000',b'05900a149',55374.70621120,12.196,0.029,16.410,11.839,0.039,3.795,9.023,0.079,1.537,6.738,0.226,1.019,1.0,85,b'0000',0.061931,315.641028
