source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12017a135',55576.98772560,12.870,0.041,1.877,12.169,0.051,1.613,,,,,,,1.0,35,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12017a137',55576.98785290,12.835,0.041,1.644,12.100,0.043,1.388,,,,,,,1.0,36,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12009a136',55576.72324410,12.894,0.034,2.097,12.266,0.062,2.283,,,,,,,1.0,30,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12013a136',55576.85554850,12.797,0.034,1.512,12.184,0.054,1.691,,,,,,,1.0,20,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00966b158',55211.52546340,12.779,0.035,1.499,12.083,0.042,1.371,9.040,0.071,0.868,6.556,0.164,1.075,1.0,62,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06636a121',55399.04513060,12.687,0.034,1.993,11.962,0.049,1.785,8.935,0.066,0.971,6.651,0.187,1.032,1.0,62,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00969a134',55211.59167950,12.760,0.035,1.521,12.084,0.047,1.372,8.980,0.071,0.903,6.624,0.190,1.042,1.0,47,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00969a133',55211.59155210,12.721,0.034,1.691,12.021,0.038,1.458,9.070,0.078,0.873,7.037,0.253,1.050,1.0,47,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00977a133',55211.85628890,12.786,0.034,1.500,12.125,0.042,1.441,9.009,0.072,0.878,6.580,0.197,1.062,1.0,20,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00973a134',55211.72398410,12.795,0.034,1.510,11.970,0.041,1.725,9.005,0.070,0.880,6.839,0.219,1.011,1.0,30,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06609b146',55398.18521990,12.715,0.031,1.733,12.008,0.039,1.509,9.233,0.094,1.107,7.019,0.247,1.044,1.0,39,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06605b146',55398.05291620,12.711,0.034,1.767,11.941,0.036,1.963,8.978,0.067,0.905,6.502,0.163,1.112,1.0,59,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06617b146',55398.44982730,12.697,0.030,1.886,12.024,0.036,1.449,9.022,0.083,0.872,7.134,0.301,1.082,1.0,29,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06613b146',55398.31752360,12.666,0.032,2.251,12.063,0.043,1.373,8.980,0.072,0.902,7.241,0.325,1.124,1.0,22,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06621b146',55398.58213110,12.704,0.032,1.822,11.971,0.036,1.716,9.014,0.076,0.875,7.032,0.320,1.048,1.0,57,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06620a121',55398.51591560,12.709,0.029,1.783,11.963,0.035,1.780,8.940,0.071,0.963,7.100,0.291,1.070,1.0,42,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06628a121',55398.78052300,12.724,0.030,1.674,12.029,0.044,1.433,9.027,0.073,0.870,6.740,0.247,1.013,1.0,118,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06624a121',55398.64821930,12.723,0.030,1.682,12.018,0.037,1.467,9.065,0.083,0.872,6.497,0.186,1.116,1.0,75,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00965a133',55211.45924740,12.777,0.037,1.500,11.997,0.048,1.559,9.071,0.091,0.874,7.054,0.261,1.055,1.0,81,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'06632a121',55398.91282680,12.710,0.031,1.769,12.009,0.041,1.503,9.082,0.074,0.879,6.692,0.216,1.021,1.0,100,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12021a136',55577.12002990,12.867,0.036,1.852,12.110,0.042,1.406,,,,,,,1.0,69,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'11998a159',55576.39254690,12.926,0.044,2.456,12.076,0.044,1.369,,,,,,,1.0,101,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00962a158',55211.39315870,12.770,0.037,1.505,12.124,0.044,1.439,9.108,0.076,0.899,6.571,0.175,1.066,1.0,101,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'11994b160',55576.26036980,12.846,0.035,1.707,12.243,0.050,2.090,,,,,,,1.0,114,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'11991a087',55576.12806550,12.742,0.034,1.577,12.109,0.044,1.403,,,,,,,1.0,71,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'11998a160',55576.39267420,12.891,0.039,2.062,12.117,0.050,1.422,,,,,,,1.0,101,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00961a134',55211.32694270,12.803,0.032,1.524,12.045,0.035,1.395,9.065,0.072,0.872,7.016,0.305,1.043,1.0,123,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12002b160',55576.52485120,12.841,0.031,1.678,12.265,0.049,2.274,,,,,,,1.0,62,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12001a136',55576.45876280,12.865,0.038,1.840,12.075,0.044,1.369,,,,,,,1.0,81,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12005a136',55576.59106710,12.779,0.036,1.499,12.087,0.052,1.374,,,,,,,1.0,47,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12005a135',55576.59093970,12.857,0.038,1.777,12.062,0.045,1.374,,,,,,,1.0,46,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00958b157',55211.26072670,12.771,0.032,1.503,12.073,0.041,1.369,9.076,0.077,0.876,6.783,0.206,1.010,1.0,113,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'12006a160',55576.65715560,12.857,0.037,1.780,12.156,0.046,1.552,,,,,,,1.0,38,b'0011',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00950a158',55210.99611720,12.750,0.036,1.547,12.064,0.045,1.372,9.196,0.082,1.029,6.673,0.198,1.026,1.0,37,b'0000',0.088442,209.897967
b'0250p151_ac51-041218',25.0426973,15.3485087,b'01h40m10.25s',b'15d20m54.63s',1,0,b'0000',b'00954b157',55211.12842200,12.740,0.030,1.588,12.035,0.041,1.417,9.031,0.077,0.869,6.878,0.239,1.015,1.0,71,b'0000',0.088442,209.897967
