ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
25.8061581,-9.8559329,b'01h43m13.48s',b'-09d51m21.36s',0.1404,0.1278,-0.0465,13.738,0.045,24.3,2.952,13.389,0.165,6.6,0.753,1,0,b'0000',b'AB',5,59040.32741520,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.012294,212.84236
25.8061643,-9.8559317,b'01h43m13.48s',b'-09d51m21.35s',0.1113,0.1085,-0.0394,13.500,0.040,27.4,3.841,13.035,0.076,14.2,0.829,1,0,b'0000',b'AA',10,58312.36490376,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.016552,111.864165
25.8061661,-9.8559277,b'01h43m13.48s',b'-09d51m21.34s',0.1315,0.1239,-0.0300,13.774,0.044,24.7,4.764,13.097,0.108,10.1,0.620,1,0,b'0000',b'AA',10,57945.16467554,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.023205,69.058287
25.8061554,-9.8559357,b'01h43m13.48s',b'-09d51m21.37s',0.1271,0.1254,-0.0417,13.699,0.043,25.1,2.845,13.352,0.119,9.2,0.805,1,0,b'0000',b'AB',5,57748.87675995,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.026261,218.488455
25.8061680,-9.8559351,b'01h43m13.48s',b'-09d51m21.37s',0.1562,0.1392,-0.0346,13.879,0.049,22.3,3.817,13.502,0.107,10.1,1.366,1,0,b'0000',b'AA',5,57580.75941574,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.033809,122.904872
25.8061571,-9.8559394,b'01h43m13.48s',b'-09d51m21.38s',0.1344,0.1385,-0.0503,13.770,0.046,23.6,2.437,13.652,0.153,7.1,1.170,1,0,b'0000',b'AB',10,59040.45819102,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.035313,196.907038
25.8061559,-9.8559393,b'01h43m13.48s',b'-09d51m21.38s',0.1310,0.1198,-0.0356,13.644,0.049,22.1,1.468,13.336,0.113,9.6,0.697,1,0,b'0000',b'AB',5,56666.37522900,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.036497,203.477893
25.8061721,-9.8559345,b'01h43m13.48s',b'-09d51m21.36s',0.1097,0.1154,-0.0382,13.740,0.041,26.7,3.417,13.501,0.154,7.1,0.401,1,0,b'0000',b'AB',10,57217.35971433,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.045898,110.68011
25.8061641,-9.8559170,b'01h43m13.48s',b'-09d51m21.30s',0.1237,0.1179,-0.0362,13.814,0.043,25.4,2.513,13.004,0.087,12.5,0.942,1,0,b'0000',b'AA',5,57030.74170134,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.048985,17.261585
25.8061733,-9.8559226,b'01h43m13.48s',b'-09d51m21.32s',0.1015,0.0964,-0.0185,13.458,0.037,29.5,2.858,13.014,0.073,14.8,0.939,1,0,b'0000',b'AA',10,58312.10322409,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.054203,60.545472
25.8061598,-9.8559476,b'01h43m13.48s',b'-09d51m21.41s',0.1301,0.1163,-0.0365,13.711,0.041,26.3,3.040,13.300,0.090,12.0,0.817,1,0,b'0000',b'AA',10,56664.20105723,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.063364,180.641452
25.8061410,-9.8559281,b'01h43m13.47s',b'-09d51m21.34s',0.1760,0.1510,0.0339,13.773,0.065,16.7,1.821,13.112,0.153,7.1,0.454,1,0,b'0000',b'AB',5,59043.72835090,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.067758,275.795557
25.8061400,-9.8559328,b'01h43m13.47s',b'-09d51m21.36s',0.1038,0.1126,-0.0388,13.569,0.041,26.3,2.323,13.271,0.078,13.9,1.173,1,0,b'0000',b'AA',10,58109.64058361,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.071622,261.912573
25.8061471,-9.8559455,b'01h43m13.48s',b'-09d51m21.40s',0.1247,0.1231,-0.0413,13.737,0.043,25.2,3.121,13.323,0.087,12.5,0.608,1,0,b'0000',b'AA',10,57030.93882100,261010701351060322,13.600,0.025,13.056,0.027,10.303,0.055,8.444,0.284,107722724,15.628,0.0830,15.249,0.1236,14.405,0.0957,0.072147,219.350894
