ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.9495731,43.4536497,b'08h15m47.90s',b'43d27m13.14s',0.1636,0.1764,-0.0697,14.236,0.056,19.4,0.744,13.721,0.129,8.4,0.553,1,0,b'0000',b'AB',10,57480.21689764,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.008132,97.593355
123.9495765,43.4536485,b'08h15m47.90s',b'43d27m13.13s',0.2041,0.2313,-0.0228,14.614,0.075,14.5,1.314,14.145,0.255,4.3,0.477,1,0,b'0000',b'AB',5,58203.83452830,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.017922,107.635155
123.9495765,43.4536560,b'08h15m47.90s',b'43d27m13.16s',0.1676,0.1769,-0.0539,14.254,0.067,16.3,0.646,13.396,0.117,9.3,0.730,1,0,b'0000',b'AB',10,57679.60754851,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.027491,38.1824
123.9495800,43.4536560,b'08h15m47.90s',b'43d27m13.16s',0.1596,0.1884,-0.0509,14.343,0.062,17.6,0.603,13.882,0.120,9.0,0.993,1,0,b'0000',b'AB',10,57480.08586648,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.033949,50.425418
123.9495865,43.4536542,b'08h15m47.90s',b'43d27m13.16s',0.1478,0.1831,-0.0294,14.271,0.059,18.3,0.610,13.376,0.119,9.1,0.278,1,0,b'0000',b'AB',10,57479.69264573,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.045692,70.676934
123.9495866,43.4536568,b'08h15m47.90s',b'43d27m13.16s',0.2331,0.2681,-0.0667,14.680,0.086,12.6,0.584,14.098,0.202,5.4,0.668,1,0,b'0000',b'AB',10,58775.37116035,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.049845,60.564213
123.9495496,43.4536589,b'08h15m47.89s',b'43d27m13.17s',0.2153,0.2049,0.0352,14.530,0.073,14.9,0.648,14.146,0.169,6.4,0.643,1,0,b'0000',b'AB',10,58046.69803086,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.062235,301.005296
123.9495970,43.4536491,b'08h15m47.90s',b'43d27m13.14s',0.1921,0.2349,0.0434,14.501,0.080,13.5,0.411,13.752,0.137,8.0,0.534,1,0,b'0000',b'AB',10,58774.91325312,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.070626,92.629054
123.9495972,43.4536532,b'08h15m47.90s',b'43d27m13.15s',0.2179,0.2251,-0.0546,14.512,0.082,13.3,0.402,13.921,0.128,8.5,0.598,1,0,b'0000',b'AB',10,58200.88995544,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.072016,80.794461
123.9495567,43.4536315,b'08h15m47.89s',b'43d27m13.07s',0.1869,0.1982,-0.0586,14.393,0.067,16.3,1.160,13.701,0.124,8.8,0.426,1,0,b'0000',b'AB',10,57315.22228956,1248143901351013164,14.576,0.030,13.970,0.040,12.077,0.330,8.790,,,,,,,,,0.075099,207.559412
