,Player,Pos,Ht,Wt,Birth Date, ,Exp,College
0,Ivica Zubac,C,7-1,265,"March 18, 1997",ba,2,
1,Brandon Ingram,SG,6-9,190,"September 2, 1997",us,2,Duke University
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,1,"University of California, Los Angeles"
3,Kyle Kuzma,SF,6-9,220,"July 24, 1995",us,1,University of Utah
4,Josh Hart,SG,6-5,209,"March 6, 1995",us,1,Villanova University
5,Moritz Wagner,C,6-11,245,"April 26, 1997",de,R,University of Michigan
6,Isaac Bonga,G,6-8,179,"November 8, 1999",de,R,
7,Kentavious Caldwell-Pope,SG,6-5,205,"February 18, 1993",us,5,University of Georgia
8,Rajon Rondo,PG,6-1,186,"February 22, 1986",us,12,University of Kentucky
9,LeBron James,PF,6-8,250,"December 30, 1984",us,15,
10,Lance Stephenson,SG,6-5,230,"September 5, 1990",us,8,University of Cincinnati
11,Svi Mykhailiuk,SF,6-8,205,"June 10, 1997",ua,R,University of Kansas
12,JaVale McGee,C,7-0,270,"January 19, 1988",us,10,"University of Nevada, Reno"
13,Alex Caruso  (TW),G,6-5,186,"February 28, 1994",us,1,Texas A&M University
14,Michael Beasley,PF,6-9,235,"January 9, 1989",us,10,Kansas State University
15,Johnathan Williams  (TW),C,6-9,228,"May 22, 1995",us,R,"University of Missouri, Gonzaga University"
16,Tyson Chandler,C,7-1,240,"October 2, 1982",us,17,
