,Player,Pos,Ht,Wt,Birth Date, ,Exp,College
0,LeBron James,PG,6-9,250,"December 30, 1984",us,16,
1,Danny Green,SG,6-6,215,"June 22, 1987",us,10,UNC
2,Kentavious Caldwell-Pope,SG,6-5,205,"February 18, 1993",us,6,Georgia
3,Dwight Howard,C,6-10,265,"December 8, 1985",us,15,
4,JaVale McGee,C,7-0,270,"January 19, 1988",us,11,Nevada
5,Anthony Davis,PF,6-10,253,"March 11, 1993",us,7,Kentucky
6,Alex Caruso,PG,6-5,186,"February 28, 1994",us,2,Texas A&M
7,Kyle Kuzma,PF,6-8,220,"July 24, 1995",us,2,Utah
8,Quinn Cook,PG,6-1,179,"March 23, 1993",us,3,Duke
9,Troy Daniels,SG,6-4,205,"July 15, 1991",us,6,Virginia Commonwealth
10,Jared Dudley,SF,6-6,237,"July 10, 1985",us,12,Boston College
11,Rajon Rondo,PG,6-1,186,"February 22, 1986",us,13,Kentucky
12,Avery Bradley,SG,6-3,180,"November 26, 1990",us,9,Texas
13,Kostas Antetokounmpo  (TW),PF,6-10,200,"November 20, 1997",gr,1,Dayton
14,Zach Norvell  (TW),SG,6-5,206,"December 9, 1997",us,R,Gonzaga
15,Talen Horton-Tucker,G-F,6-4,235,"November 25, 2000",us,R,Iowa State
16,DeMarcus Cousins,C-F,6-11,270,"August 13, 1990",us,9,Kentucky
