Name,J2000_RA,J2000_Dec
BLANK_SKY2,57.3952,-24.3781
BLANK_SKY6,322.5919,-23.0951
BLANK_SKY7,312.1284,-36.5756
MAXI J1820+070,275.091,7.1856
GRS 1915+105,288.7981,10.9458
BLANK_SKY17,233.4943,-3.4427
BLANK_SKY14,258.4627,57.472
Cyg X-1,299.5903,35.2016
Cyg X-2,326.1715,38.3214
Cyg X-3,308.1074,40.9577
Cen X-3,170.3158,-60.623
GX 17+2,274.0057,-14.0363
GX 9+9,262.934,-16.9614
Cir X-1,230.1702,-57.1667
BLANK_SKY5,352.7624,-70.3217
BLANK_SKY9,311.3196,-12.6268
BLANK_SKY18,244.3452,20.0333
Her X-1,254.4575,35.3423
Sco X-1,244.9794,-15.6403
Cas A,350.85,58.815
BLANK_SKY11,319.0534,3.8279
Crab,83.6331,22.0145
4U 1728-34,262.9905,-33.834
4U 1630-472,248.5067,-47.393
4U 1608-52,243.179,-52.423
4U 1636-536,250.231,-53.751
H 1417-624,215.3033,-62.6983
BLANK_SKY13,234.3967,-20.1846
GX 301-2,186.6565,-62.7703
8hr,124,-78.75
Dusty10,153,-80.8333
Antlia,157.5,-35.3333
Centaurus,192.5,-41.3333
MAXI J1727-203,262.1247,-20.3823
Dusty11,170,-85.3333
BLANK_SKY3,50.3109,-57.196
XTE J1946+274,296.414,27.3654
BLANK_SKY19,151.749,2.1364
GX 13+1,273.6314,-17.1574
NGC 6624,275.9188,-30.361
Swift J1756.9-2508,269.2389,-25.1077
IGR J16328-4726,248.1577,-47.3948
BLANK_SKY20,145.0792,23.0907
Swift J1658.2-4242,254.55,-42.7
BLANK_SKY15,142.4784,5.7199
BLANK_SKY21,193.2758,68.4275
2A 1822-371,276.445,-37.1052
MAXIJ1820+070,275.1083,7.0369
BLANK_SKY12,129.9525,4.7236
Aql X-1,287.8169,0.58494
Swift_J0243.6+6124,40.918,61.4341
GRO J1008-57,152.4333,-58.295
MAXI J1535-571,233.832,-57.23
BLANK_SKY16,176.7384,-20.6881
BLANK_SKY1,49.5352,-7.315
BLANK_SKY8,50.1817,17.5512
B1509-58,228.4813,-59.1358
Cosmos Field,150.1191,2.2058
GRO J1750-27,267.2908,-26.6369
1ES 1959+650,299.9992,65.1486
Crab_offset,82.188,22.6265
M87,187.7042,12.3911
Perseus,49.9467,41.5131
BLANK_SKY10,345.6352,27.1995
PSR J2032+4127,308.0547,41.4568
BLANK_SKY4,327.119,-42.4725
CasA,350.8499,58.815
Crab offset,85.1883,21.1787
Vega,279.2347,38.7837
GX339-4,255.7056,-48.7896
Swift J0243.6+6124,40.918,61.434
Burst,95.9,-39.9
MAXI J1543-564,235.823,-56.414
B0540-69,85.0452,-69.3317
0817_C,36.2267,52.6293
Granat 1716-249,259.9039,-25.0176
Vela X-1,135.5286,-40.5547
PSR B1509-58,228.4813,-59.1357
H1743-322,266.565,-32.2333
4U 0115+63,19.6325,63.7425
H 1743-322,266.565,-32.2333
GS 1826-238,277.3675,-23.7969
